mode,variant,model,year,n,events,prevalence,ap,ap_lift,estimable,top20_k,top20_tp
common_rows,fixedpre_protocol_max,current_only,2020,106,38,0.3584905660377358,0.40294898028217163,0.04445841424443581,True,22,8
common_rows,fixedpre_protocol_max,current_only,2021,105,33,0.3142857142857143,0.46383739541209806,0.14955168112638378,True,21,12
common_rows,fixedpre_protocol_max,current_only,2022,105,71,0.6761904761904762,0.8557932996593751,0.1796028234688989,True,21,20
common_rows,fixedpre_protocol_max,current_only,2023,80,14,0.175,0.28153189386125255,0.10653189386125256,True,16,3
common_rows,fixedpre_protocol_max,current_only,2024,91,16,0.17582417582417584,0.19989868353076007,0.02407450770658423,True,19,1
common_rows,fixedpre_protocol_max,current_plus_trajectory,2005,129,81,0.627906976744186,0.7598376676607599,0.13193069091657383,True,26,20
common_rows,fixedpre_protocol_max,current_plus_trajectory,2006,100,13,0.13,0.575740190163267,0.44574019016326705,True,20,9
common_rows,fixedpre_protocol_max,current_plus_trajectory,2007,137,41,0.29927007299270075,0.6394783386491338,0.3402082656564331,True,28,21
common_rows,fixedpre_protocol_max,current_plus_trajectory,2008,140,33,0.2357142857142857,0.5579609995353912,0.32224671382110553,True,28,15
common_rows,fixedpre_protocol_max,current_plus_trajectory,2009,143,70,0.48951048951048953,0.5429076580787331,0.05339716856824356,True,29,19
common_rows,fixedpre_protocol_max,current_plus_trajectory,2010,142,74,0.5211267605633803,0.7188822206072668,0.19775546004388656,True,29,21
common_rows,fixedpre_protocol_max,current_plus_trajectory,2011,94,31,0.32978723404255317,0.4752875543055079,0.14550032026295473,True,19,9
common_rows,fixedpre_protocol_max,current_plus_trajectory,2012,99,15,0.15151515151515152,0.7094708284907099,0.5579556769755584,True,20,11
common_rows,fixedpre_protocol_max,current_plus_trajectory,2013,138,92,0.6666666666666666,0.7567988402611824,0.09013217359451575,True,28,21
common_rows,fixedpre_protocol_max,current_plus_trajectory,2014,129,49,0.3798449612403101,0.5490955593994991,0.16925059815918897,True,26,18
common_rows,fixedpre_protocol_max,current_plus_trajectory,2015,115,60,0.5217391304347826,0.7143761602711963,0.19263702983641373,True,23,18
common_rows,fixedpre_protocol_max,current_plus_trajectory,2016,97,33,0.3402061855670103,0.6161148480679617,0.27590866250095136,True,20,12
common_rows,fixedpre_protocol_max,current_plus_trajectory,2017,109,13,0.11926605504587157,0.27709750623205,0.15783145118617842,True,22,5
common_rows,fixedpre_protocol_max,current_plus_trajectory,2018,122,98,0.8032786885245902,0.8894086507665584,0.08612996224196823,True,25,23
common_rows,fixedpre_protocol_max,current_plus_trajectory,2019,84,27,0.32142857142857145,0.567305491824145,0.24587692039557357,True,17,12
common_rows,fixedpre_protocol_max,current_plus_trajectory,2020,106,38,0.3584905660377358,0.4560636132194773,0.09757304718174148,True,22,10
common_rows,fixedpre_protocol_max,current_plus_trajectory,2021,105,33,0.3142857142857143,0.5038912378892191,0.1896055236035048,True,21,11
common_rows,fixedpre_protocol_max,current_plus_trajectory,2022,105,71,0.6761904761904762,0.890072449969661,0.21388197377918472,True,21,20
common_rows,fixedpre_protocol_max,current_plus_trajectory,2023,80,14,0.175,0.3398686277649814,0.1648686277649814,True,16,4
common_rows,fixedpre_protocol_max,current_plus_trajectory,2024,91,16,0.17582417582417584,0.2511576074715735,0.07533343164739767,True,19,5
common_rows,fixedpre_protocol_max,trajectory_plus_oisst,2005,129,81,0.627906976744186,0.781843820153669,0.153936843409483,True,26,23
common_rows,fixedpre_protocol_max,trajectory_plus_oisst,2006,100,13,0.13,0.3624471303413235,0.23244713034132347,True,20,6
common_rows,fixedpre_protocol_max,trajectory_plus_oisst,2007,137,41,0.29927007299270075,0.5768245094091516,0.2775544364164509,True,28,17
common_rows,fixedpre_protocol_max,trajectory_plus_oisst,2008,140,33,0.2357142857142857,0.5129929132734667,0.27727862755918103,True,28,15
common_rows,fixedpre_protocol_max,trajectory_plus_oisst,2009,143,70,0.48951048951048953,0.5199562500666216,0.030445760556132073,True,29,16
common_rows,fixedpre_protocol_max,trajectory_plus_oisst,2010,142,74,0.5211267605633803,0.6417335950543389,0.12060683449095866,True,29,17
common_rows,fixedpre_protocol_max,trajectory_plus_oisst,2011,94,31,0.32978723404255317,0.5877007510819121,0.25791351703935894,True,19,11
common_rows,fixedpre_protocol_max,trajectory_plus_oisst,2012,99,15,0.15151515151515152,0.7060813486030877,0.5545661970879362,True,20,10
common_rows,fixedpre_protocol_max,trajectory_plus_oisst,2013,138,92,0.6666666666666666,0.7209732452200955,0.05430657855342891,True,28,20
common_rows,fixedpre_protocol_max,trajectory_plus_oisst,2014,129,49,0.3798449612403101,0.5107373369484761,0.13089237570816603,True,26,16
common_rows,fixedpre_protocol_max,trajectory_plus_oisst,2015,115,60,0.5217391304347826,0.7708558344021398,0.2491167039673572,True,23,18
common_rows,fixedpre_protocol_max,trajectory_plus_oisst,2016,97,33,0.3402061855670103,0.5615806812375583,0.221374495670548,True,20,12
