cell_id,year,region_group,eligible_primary,event_primary,annual_area_m2_primary,eligible_variant,event_variant,annual_area_m2_variant,variant
westcoast_0279,2007,Baja California Norte,True,0,1012442.0,True,1,1216813.0,allhist_protocol_max
westcoast_0321,2021,Baja California Sur,True,0,169221.0,True,1,174440.0,allhist_protocol_max
westcoast_0195,2006,Southern California,True,1,84333.0,True,0,40097.0,fixedpre_vf75_noq3_max
westcoast_0195,2006,Southern California,True,1,84333.0,True,0,40097.0,fixedpre_vf75_q3_max
westcoast_0001,2014,Washington outer coast,True,1,105880.0,True,0,31462.75,fixedpre_protocol_mean
westcoast_0001,2023,Washington outer coast,True,1,67372.0,True,0,31616.0,fixedpre_protocol_mean
westcoast_0002,2015,Washington outer coast,True,0,241991.0,True,1,125016.25,fixedpre_protocol_mean
westcoast_0002,2019,Washington outer coast,True,0,314940.0,True,1,146396.5,fixedpre_protocol_mean
westcoast_0003,2006,Washington outer coast,True,0,168484.0,True,1,114940.5,fixedpre_protocol_mean
westcoast_0003,2015,Washington outer coast,True,0,236236.0,True,1,102113.25,fixedpre_protocol_mean
westcoast_0003,2023,Washington outer coast,True,0,112134.0,True,1,54745.75,fixedpre_protocol_mean
westcoast_0004,2006,Washington outer coast,True,0,218351.0,True,1,140241.5,fixedpre_protocol_mean
westcoast_0004,2007,Washington outer coast,True,0,158673.0,True,1,61684.5,fixedpre_protocol_mean
westcoast_0008,2006,Washington outer coast,True,1,44584.0,True,0,25204.5,fixedpre_protocol_mean
westcoast_0008,2016,Washington outer coast,True,1,66736.0,True,0,24449.75,fixedpre_protocol_mean
westcoast_0010,2012,Washington outer coast,True,0,173217.0,True,1,86558.75,fixedpre_protocol_mean
westcoast_0010,2019,Washington outer coast,True,0,331849.0,True,1,131312.75,fixedpre_protocol_mean
westcoast_0011,2008,Washington outer coast,True,1,255688.0,True,0,103598.25,fixedpre_protocol_mean
westcoast_0011,2009,Washington outer coast,True,1,172104.0,True,0,72698.75,fixedpre_protocol_mean
westcoast_0011,2012,Washington outer coast,True,0,231652.0,True,1,97747.25,fixedpre_protocol_mean
westcoast_0013,2006,Washington outer coast,True,0,478236.0,True,1,291453.0,fixedpre_protocol_mean
westcoast_0013,2007,Washington outer coast,True,0,354235.0,True,1,177752.5,fixedpre_protocol_mean
westcoast_0013,2019,Washington outer coast,True,1,875816.0,True,0,334615.25,fixedpre_protocol_mean
westcoast_0014,2005,Washington outer coast,True,1,163311.0,True,0,58454.0,fixedpre_protocol_mean
westcoast_0014,2011,Washington outer coast,True,1,128172.0,True,0,51385.0,fixedpre_protocol_mean
westcoast_0014,2021,Washington outer coast,True,1,46391.0,True,0,18333.25,fixedpre_protocol_mean
westcoast_0015,2012,Washington outer coast,True,0,228040.0,True,1,103861.75,fixedpre_protocol_mean
westcoast_0015,2021,Washington outer coast,True,1,248863.0,True,0,90521.5,fixedpre_protocol_mean
