year,cell_quarters,mean_fixed_valid_fraction,share_fixed_vf50,share_fixed_vf75,mean_passes,passes5,passes7,passes8,passes_total,passes5_share,passes7_share,passes8_share,sensor_component_minus_total_passes
1999,660,0.9402088758627356,0.953030303030303,0.9393939393939394,4.214116046186423,4861250.0,2876445.0,0.0,7737695.0,0.6282555722343669,0.37174442776563305,0.0,0.0
2000,660,0.9710423620276875,0.9818181818181818,0.9757575757575757,5.064333903499181,3470579.0,5824153.0,0.0,9294732.0,0.37339204616120186,0.6266079538387982,0.0,0.0
2001,660,0.9817567020984925,0.9924242424242424,0.9848484848484849,5.006236924014873,4618250.0,4786788.0,0.0,9405038.0,0.49104001493667543,0.5089599850633245,0.0,0.0
2002,660,0.9716071985159858,0.9803030303030303,0.9696969696969697,5.236154735876156,4239789.0,5297533.0,0.0,9537322.0,0.44454711710478056,0.5554528828952194,0.0,0.0
2003,660,0.9911280444224417,0.9984848484848485,0.9954545454545455,5.5045012306274055,5975784.0,4552761.0,0.0,10528545.0,0.5675792808977879,0.43242071910221214,0.0,0.0
2004,660,0.9894772179341997,0.996969696969697,0.9939393939393939,5.786583367341697,6118720.0,4909892.0,0.0,11028612.0,0.5548041766271222,0.4451958233728778,0.0,0.0
2005,660,0.9905140880866117,0.9984848484848485,0.9954545454545455,5.296746158414287,5514328.0,4445672.0,0.0,9960000.0,0.5536473895582329,0.44635261044176705,0.0,0.0
2006,660,0.9796478092366675,0.990909090909091,0.9848484848484849,5.6174996555933765,5621873.0,4903059.0,0.0,10524932.0,0.5341481541163401,0.46585184588365985,0.0,0.0
2007,660,0.9855759243443558,0.9984848484848485,0.9939393939393939,5.2220454315755465,4657485.0,5208410.0,0.0,9865895.0,0.47207931971706574,0.5279206802829343,0.0,0.0
2008,660,0.978063839391069,0.9939393939393939,0.9772727272727273,5.620049088963153,5291295.0,5415106.0,0.0,10706401.0,0.4942178982461053,0.5057821017538947,0.0,0.0
2009,660,0.9915899057945485,1.0,0.9984848484848485,5.922783640455944,6242162.0,4917263.0,0.0,11159425.0,0.5593623327366778,0.44063766726332226,0.0,0.0
2010,660,0.9826814591512457,0.9939393939393939,0.9833333333333333,5.198220971787733,4960062.0,4945651.0,0.0,9905713.0,0.5007274085166812,0.49927259148331876,0.0,0.0
2011,660,0.9818167029761153,0.990909090909091,0.9833333333333333,5.326010071047157,5059790.0,5044486.0,0.0,10104276.0,0.5007573031457178,0.4992426968542823,0.0,0.0
2012,660,0.9220103098646343,0.9621212121212122,0.9136363636363637,2.798586879808172,0.0,5162209.0,0.0,5162209.0,0.0,1.0,0.0,0.0
2013,660,0.9723397136700279,0.9818181818181818,0.9621212121212122,5.336255907925797,0.0,5789755.0,4180310.0,9970065.0,0.0,0.580713866960747,0.419286133039253,0.0
2014,660,0.9962635836218265,0.9984848484848485,0.9939393939393939,6.517670267860597,0.0,5284948.0,6769166.0,12054114.0,0.0,0.43843520975494343,0.5615647902450566,0.0
2015,660,0.9980333316461595,0.9984848484848485,0.9984848484848485,6.612235800194324,0.0,5582340.0,6812537.0,12394877.0,0.0,0.4503747798384768,0.5496252201615232,0.0
2016,660,0.9958582648300234,1.0,0.9954545454545455,6.1174485279784365,0.0,4975124.0,6344925.0,11320049.0,0.0,0.43949668415746257,0.5605033158425374,0.0
2017,660,0.9962993447332213,0.996969696969697,0.996969696969697,6.283803438261832,0.0,5277523.0,6535813.0,11813336.0,0.0,0.44674281676234384,0.5532571832376562,0.0
2018,660,0.9918257332132334,0.9939393939393939,0.9893939393939394,6.441381343679691,0.0,5240665.0,6930585.0,12171250.0,0.0,0.43057738523159084,0.5694226147684092,0.0
2019,660,0.9902819490691241,0.990909090909091,0.9878787878787879,5.955948115454495,0.0,5002666.0,5960609.0,10963275.0,0.0,0.45631127559967255,0.5436887244003274,0.0
2020,660,0.9956692043327907,1.0,0.9939393939393939,6.457746767753133,0.0,5459945.0,6572991.0,12032936.0,0.0,0.4537500241005188,0.5462499758994812,0.0
2021,660,0.9909956077903067,0.9954545454545455,0.9924242424242424,6.23982765220508,0.0,5297150.0,6432261.0,11729411.0,0.0,0.4516126172064394,0.5483873827935606,0.0
2022,660,0.998442748114747,1.0,0.9984848484848485,7.335450787332035,0.0,0.0,14125402.0,14125402.0,0.0,0.0,1.0,0.0
2023,660,0.9973879012667121,1.0,0.9984848484848485,6.115283282541871,0.0,0.0,11525887.0,11525887.0,0.0,0.0,1.0,0.0
2024,660,0.9991652004678169,1.0,1.0,6.700170015711874,0.0,0.0,12599916.0,12599916.0,0.0,0.0,1.0,0.0
2025,660,0.9945279730943407,0.996969696969697,0.9954545454545455,6.7024434149625804,0.0,0.0,12534370.0,12534370.0,0.0,0.0,1.0,0.0
