mode,variant,model,n,events,prevalence,pooled_ap,macro_year_ap_lift,estimable_years,top20_recall_micro
native,fixedpre_protocol_q23max,current_only,2444,980,0.40098199672667756,0.5830788281739241,0.17418637164867684,20,0.3163265306122449
native,fixedpre_protocol_q23max,current_plus_trajectory,2444,980,0.40098199672667756,0.591675377916488,0.19950557083033077,20,0.3193877551020408
native,fixedpre_protocol_q23max,trajectory_plus_oisst,2444,980,0.40098199672667756,0.5737693122795963,0.1897010659524177,20,0.3122448979591837
native,fixedpre_vf75_all4_max,current_only,2400,929,0.38708333333333333,0.5639166590311041,0.18280940046622246,20,0.31216361679224974
native,fixedpre_vf75_all4_max,current_plus_trajectory,2400,929,0.38708333333333333,0.5633155033655277,0.1936173135514361,20,0.3132400430570506
native,fixedpre_vf75_all4_max,trajectory_plus_oisst,2400,929,0.38708333333333333,0.5411231672732753,0.1816156878958925,20,0.30570505920344454
native,fixedpre_vf75_noq3_max,current_only,2594,1001,0.38589051657671547,0.5688777050082913,0.17215293710853913,20,0.3196803196803197
native,fixedpre_vf75_noq3_max,current_plus_trajectory,2594,1001,0.38589051657671547,0.5780983715351224,0.20018737878221654,20,0.3246753246753247
native,fixedpre_vf75_noq3_max,trajectory_plus_oisst,2594,1001,0.38589051657671547,0.5524981513494506,0.17743019685717462,20,0.3076923076923077
native,fixedpre_vf75_q3_max,current_only,2525,977,0.38693069306930694,0.5708879548998744,0.1811194134999986,20,0.3203684749232344
native,fixedpre_vf75_q3_max,current_plus_trajectory,2525,977,0.38693069306930694,0.5804475288548572,0.20291482204915257,20,0.32446264073694986
native,fixedpre_vf75_q3_max,trajectory_plus_oisst,2525,977,0.38693069306930694,0.5530680303688388,0.18294082524521788,20,0.3091095189355169
native,legacy_allhist_vf75_max,current_only,2614,1008,0.3856159143075746,0.5649939433284785,0.17653421471286107,20,0.32043650793650796
native,legacy_allhist_vf75_max,current_plus_trajectory,2614,1008,0.3856159143075746,0.5706615552424545,0.20042407543393503,20,0.32341269841269843
native,legacy_allhist_vf75_max,trajectory_plus_oisst,2614,1008,0.3856159143075746,0.5438218378494796,0.17791956075515838,20,0.30456349206349204
