outcome_definition,model,forecast_year,n,events,prevalence,average_precision,ap_lift,recall_top_5pct,recall_top_10pct,recall_top_20pct,recall_top_30pct
annual_max_decline_sensitivity,march_plus_current_crw5km_oisst,2021,117,41,0.3504273504273504,0.5065777842629929,0.15615043383564253,0.0975609756097561,0.1951219512195122,0.2926829268292683,0.4146341463414634
annual_max_decline_sensitivity,march_plus_current_crw5km_oisst,2022,117,38,0.3247863247863248,0.5302058719214403,0.2054195471351155,0.10526315789473684,0.23684210526315788,0.34210526315789475,0.5
annual_max_decline_sensitivity,march_plus_current_crw5km_oisst,2023,110,74,0.6727272727272727,0.8756443699946295,0.20291709726735674,0.08108108108108109,0.14864864864864866,0.2702702702702703,0.3918918918918919
annual_max_decline_sensitivity,march_plus_current_crw5km_oisst,2024,87,14,0.16091954022988506,0.4209392684654608,0.26001972823557573,0.21428571428571427,0.21428571428571427,0.5714285714285714,0.6428571428571429
annual_max_decline_sensitivity,march_plus_current_winter_oisst,2005,150,44,0.29333333333333333,0.4112061021131346,0.11787276877980124,0.045454545454545456,0.1590909090909091,0.3409090909090909,0.45454545454545453
annual_max_decline_sensitivity,march_plus_current_winter_oisst,2006,143,89,0.6223776223776224,0.6782830542076543,0.05590543183003194,0.0898876404494382,0.1348314606741573,0.20224719101123595,0.2696629213483146
annual_max_decline_sensitivity,march_plus_current_winter_oisst,2007,133,19,0.14285714285714285,0.5114619932782034,0.36860485042106056,0.21052631578947367,0.42105263157894735,0.631578947368421,0.7894736842105263
annual_max_decline_sensitivity,march_plus_current_winter_oisst,2008,158,47,0.2974683544303797,0.577358444073222,0.2798900896428423,0.10638297872340426,0.2765957446808511,0.46808510638297873,0.5957446808510638
annual_max_decline_sensitivity,march_plus_current_winter_oisst,2009,160,40,0.25,0.4803309689338514,0.2303309689338514,0.15,0.275,0.4,0.475
annual_max_decline_sensitivity,march_plus_current_winter_oisst,2010,159,79,0.4968553459119497,0.5857092487303157,0.08885390281836603,0.05063291139240506,0.11392405063291139,0.24050632911392406,0.379746835443038
annual_max_decline_sensitivity,march_plus_current_winter_oisst,2011,157,77,0.49044585987261147,0.6581927894807824,0.16774692960817095,0.09090909090909091,0.12987012987012986,0.2727272727272727,0.42857142857142855
annual_max_decline_sensitivity,march_plus_current_winter_oisst,2012,140,51,0.36428571428571427,0.5836091842986704,0.2193234700129561,0.0784313725490196,0.17647058823529413,0.3137254901960784,0.5294117647058824
annual_max_decline_sensitivity,march_plus_current_winter_oisst,2013,144,26,0.18055555555555555,0.4523165550072111,0.27176099945165555,0.11538461538461539,0.34615384615384615,0.5769230769230769,0.6153846153846154
annual_max_decline_sensitivity,march_plus_current_winter_oisst,2014,151,95,0.6291390728476821,0.6972948176970127,0.06815574484933062,0.05263157894736842,0.11578947368421053,0.22105263157894736,0.3473684210526316
annual_max_decline_sensitivity,march_plus_current_winter_oisst,2015,132,52,0.3939393939393939,0.5577495307670322,0.16381013682763823,0.09615384615384616,0.19230769230769232,0.34615384615384615,0.4423076923076923
annual_max_decline_sensitivity,march_plus_current_winter_oisst,2016,108,53,0.49074074074074076,0.7237638429744842,0.2330231022337434,0.11320754716981132,0.20754716981132076,0.33962264150943394,0.4339622641509434
annual_max_decline_sensitivity,march_plus_current_winter_oisst,2017,108,37,0.3425925925925926,0.6460937618847644,0.3035011692921718,0.10810810810810811,0.21621621621621623,0.43243243243243246,0.5945945945945946
annual_max_decline_sensitivity,march_plus_current_winter_oisst,2018,122,17,0.13934426229508196,0.2437029934940828,0.10435873119900085,0.058823529411764705,0.17647058823529413,0.35294117647058826,0.4117647058823529
annual_max_decline_sensitivity,march_plus_current_winter_oisst,2019,134,104,0.7761194029850746,0.9073327706268228,0.13121336764174818,0.0673076923076923,0.1346153846153846,0.25,0.375
annual_max_decline_sensitivity,march_plus_current_winter_oisst,2020,93,29,0.3118279569892473,0.611282395779357,0.29945443879010963,0.10344827586206896,0.2413793103448276,0.4827586206896552,0.6551724137931034
annual_max_decline_sensitivity,march_plus_current_winter_oisst,2021,117,41,0.3504273504273504,0.500812085758081,0.1503847353307306,0.0975609756097561,0.1951219512195122,0.2926829268292683,0.3902439024390244
annual_max_decline_sensitivity,march_plus_current_winter_oisst,2022,117,38,0.3247863247863248,0.5280258396408013,0.2032395148544765,0.10526315789473684,0.21052631578947367,0.34210526315789475,0.5
annual_max_decline_sensitivity,march_plus_current_winter_oisst,2023,110,74,0.6727272727272727,0.8758398126483975,0.20311253992112477,0.08108108108108109,0.14864864864864866,0.2702702702702703,0.40540540540540543
annual_max_decline_sensitivity,march_plus_current_winter_oisst,2024,87,14,0.16091954022988506,0.38998317555042594,0.2290636353205409,0.21428571428571427,0.21428571428571427,0.42857142857142855,0.5714285714285714
annual_max_decline_sensitivity,prior_current,2005,150,44,0.29333333333333333,0.38547409930678245,0.09214076597344911,0.045454545454545456,0.18181818181818182,0.3409090909090909,0.4318181818181818
annual_max_decline_sensitivity,prior_current,2006,143,89,0.6223776223776224,0.7758299952017771,0.1534523728241547,0.07865168539325842,0.14606741573033707,0.2696629213483146,0.38202247191011235
annual_max_decline_sensitivity,prior_current,2007,133,19,0.14285714285714285,0.4541639749514663,0.31130683209432347,0.15789473684210525,0.3684210526315789,0.5789473684210527,0.7368421052631579
annual_max_decline_sensitivity,prior_current,2008,158,47,0.2974683544303797,0.5411822268825064,0.24371387245212667,0.10638297872340426,0.2553191489361702,0.44680851063829785,0.48936170212765956
