feature_set,model,cell_id,year,region_group,y_true,y_pred,y_proba,split,is_false_negative
canopy_noaa,SVM,cell_185,2024,Central California,1,0,0.3501849821498682,test,True
canopy_noaa,SVM,cell_186,2021,Central California,1,0,0.1572572653469076,test,True
canopy_noaa,SVM,cell_186,2022,Central California,1,0,0.1713013047246266,test,True
canopy_noaa,SVM,cell_186,2023,Central California,1,0,0.1577363822626727,test,True
canopy_noaa,SVM,cell_186,2024,Central California,1,0,0.3741551095572032,test,True
canopy_noaa,SVM,cell_191,2021,Central California,1,0,0.1263404279669542,test,True
canopy_noaa,SVM,cell_191,2022,Central California,1,0,0.1587812929397737,test,True
canopy_noaa,SVM,cell_191,2023,Central California,1,0,0.1470023347829836,test,True
canopy_noaa,SVM,cell_191,2024,Central California,1,0,0.3886457229142099,test,True
canopy_noaa,SVM,cell_196,2022,Central California,1,0,0.1607424472120361,test,True
canopy_noaa,SVM,cell_196,2023,Central California,1,0,0.1759020719127255,test,True
canopy_noaa,SVM,cell_196,2024,Central California,1,0,0.4132670104191048,test,True
canopy_noaa,SVM,cell_197,2021,Central California,1,0,0.1104187113877516,test,True
canopy_noaa,SVM,cell_197,2022,Central California,1,0,0.1778507906909869,test,True
canopy_noaa,SVM,cell_197,2023,Central California,1,0,0.1668108612794497,test,True
canopy_noaa,SVM,cell_197,2024,Central California,1,0,0.3657809882602356,test,True
canopy_noaa,SVM,cell_202,2022,Central California,1,0,0.2446075975696831,test,True
canopy_noaa,SVM,cell_202,2023,Central California,1,0,0.2918186999256703,test,True
canopy_noaa,SVM,cell_202,2024,Central California,1,0,0.3820569734528368,test,True
canopy_noaa,SVM,cell_203,2022,Central California,1,0,0.3161835468019979,test,True
canopy_noaa,SVM,cell_203,2023,Central California,1,0,0.3399623986380628,test,True
canopy_noaa,SVM,cell_207,2022,Central California,1,0,0.2892799484899445,test,True
canopy_noaa,SVM,cell_207,2023,Central California,1,0,0.3218940472517575,test,True
canopy_noaa,SVM,cell_219,2022,Central California,1,0,0.1823581202147115,test,True
canopy_noaa,SVM,cell_219,2023,Central California,1,0,0.2167838463821233,test,True
canopy_noaa,SVM,cell_219,2024,Central California,1,0,0.3848019159473336,test,True
canopy_noaa,SVM,cell_225,2022,Central California,1,0,0.1524273874103838,test,True
canopy_noaa,SVM,cell_225,2023,Central California,1,0,0.2602388901724697,test,True
canopy_noaa,SVM,cell_230,2022,Central California,1,0,0.1265122547953288,test,True
canopy_noaa,SVM,cell_230,2023,Central California,1,0,0.2011466819206501,test,True
canopy_noaa,SVM,cell_231,2022,Central California,1,0,0.1306095636209784,test,True
canopy_noaa,SVM,cell_231,2023,Central California,1,0,0.2310476864439558,test,True
canopy_noaa,SVM,cell_240,2022,Central California,1,0,0.1702232608356918,test,True
canopy_noaa,SVM,cell_240,2023,Central California,1,0,0.1322216052782159,test,True
canopy_noaa,SVM,cell_240,2024,Central California,1,0,0.2116658875016916,test,True
canopy_noaa,SVM,cell_247,2022,Central California,1,0,0.158523898034111,test,True
canopy_noaa,SVM,cell_247,2024,Central California,1,0,0.2335376420275559,test,True
canopy_noaa,SVM,cell_284,2022,Central California,1,0,0.1455530962626522,test,True
canopy_noaa,SVM,cell_284,2023,Central California,1,0,0.3392428773564677,test,True
canopy_noaa,SVM,cell_285,2022,Central California,1,0,0.1495297058761258,test,True
