spec_id,domain,model,n,events,prevalence,pooled_ap,macro_year_ap_lift,estimable_years,top20_recall_micro
g05_fixed_500_oy50,oisst_matched_domain,trajectory_plus_oisst,3636,1455,0.40016501650165015,0.5782503465265614,0.1708907415872287,20,0.3037800687285223
g10_area_scaled_o00,full_kelp_domain,current_only,2598,1008,0.38799076212471134,0.5751687835873152,0.17643625413190192,20,0.3194444444444444
g10_area_scaled_o00,full_kelp_domain,current_plus_trajectory,2598,1008,0.38799076212471134,0.582673117208732,0.1999351931123563,20,0.32341269841269843
g10_area_scaled_o00,oisst_matched_domain,current_only,2598,1008,0.38799076212471134,0.5751687835873152,0.17643625413190192,20,0.3194444444444444
g10_area_scaled_o00,oisst_matched_domain,current_plus_trajectory,2598,1008,0.38799076212471134,0.582673117208732,0.1999351931123563,20,0.32341269841269843
g10_area_scaled_o00,oisst_matched_domain,trajectory_plus_oisst,2598,1008,0.38799076212471134,0.5605241346737768,0.18133430506890177,20,0.30654761904761907
g10_area_scaled_ox50,full_kelp_domain,current_only,2657,996,0.3748588633797516,0.5676993285188022,0.20530945349257196,20,0.33032128514056225
g10_area_scaled_ox50,full_kelp_domain,current_plus_trajectory,2657,996,0.3748588633797516,0.5738575961543179,0.2232259263311581,20,0.3313253012048193
g10_area_scaled_ox50,oisst_matched_domain,current_only,2643,989,0.37419598940597804,0.567845371250456,0.20302511363798087,20,0.32962588473205257
g10_area_scaled_ox50,oisst_matched_domain,current_plus_trajectory,2643,989,0.37419598940597804,0.5733869046170217,0.21958926059280218,20,0.3316481294236603
g10_area_scaled_ox50,oisst_matched_domain,trajectory_plus_oisst,2643,989,0.37419598940597804,0.5497816716909666,0.20014338057615574,20,0.3083923154701719
g10_area_scaled_oxy50,full_kelp_domain,current_only,2679,1046,0.3904441955953714,0.5808570186030848,0.1992725510927557,20,0.3135755258126195
g10_area_scaled_oxy50,full_kelp_domain,current_plus_trajectory,2679,1046,0.3904441955953714,0.5921297400187683,0.2170556182468371,20,0.31453154875717015
g10_area_scaled_oxy50,oisst_matched_domain,current_only,2665,1040,0.3902439024390244,0.580779239724191,0.19684854675355049,20,0.3144230769230769
g10_area_scaled_oxy50,oisst_matched_domain,current_plus_trajectory,2665,1040,0.3902439024390244,0.5917066916347042,0.21518474038086635,20,0.31346153846153846
g10_area_scaled_oxy50,oisst_matched_domain,trajectory_plus_oisst,2665,1040,0.3902439024390244,0.566695655238898,0.198893774031416,20,0.31346153846153846
g10_area_scaled_oy50,full_kelp_domain,current_only,2624,1019,0.38833841463414637,0.5809925131901116,0.17350576583006386,20,0.3120706575073602
g10_area_scaled_oy50,full_kelp_domain,current_plus_trajectory,2624,1019,0.38833841463414637,0.5961067653656407,0.19402926962149952,20,0.3199214916584887
g10_area_scaled_oy50,oisst_matched_domain,current_only,2610,1013,0.3881226053639847,0.5809481801497947,0.1702949497122,20,0.3129318854886476
g10_area_scaled_oy50,oisst_matched_domain,current_plus_trajectory,2610,1013,0.3881226053639847,0.5953764544616791,0.1899409024264545,20,0.3188548864758144
g10_area_scaled_oy50,oisst_matched_domain,trajectory_plus_oisst,2610,1013,0.3881226053639847,0.5751140520395939,0.1749309442911755,20,0.3070088845014807
g20_area_scaled_o00,full_kelp_domain,current_only,1084,395,0.3643911439114391,0.5593408985971042,0.20256897054673778,20,0.3189873417721519
g20_area_scaled_o00,full_kelp_domain,current_plus_trajectory,1084,395,0.3643911439114391,0.5482629185541864,0.2046365950357934,20,0.3265822784810127
g20_area_scaled_o00,oisst_matched_domain,current_only,1084,395,0.3643911439114391,0.5593408985971042,0.20256897054673778,20,0.3189873417721519
g20_area_scaled_o00,oisst_matched_domain,current_plus_trajectory,1084,395,0.3643911439114391,0.5482629185541864,0.2046365950357934,20,0.3265822784810127
g20_area_scaled_o00,oisst_matched_domain,trajectory_plus_oisst,1084,395,0.3643911439114391,0.5134282917687762,0.18749025686200227,20,0.3012658227848101
g20_area_scaled_ox50,full_kelp_domain,current_only,1176,423,0.3596938775510204,0.5773452655847231,0.2224219218910939,20,0.33569739952718675
g20_area_scaled_ox50,full_kelp_domain,current_plus_trajectory,1176,423,0.3596938775510204,0.5745724286424154,0.2397218632389682,20,0.34515366430260047
g20_area_scaled_ox50,oisst_matched_domain,current_only,1176,423,0.3596938775510204,0.5773452655847231,0.2224219218910939,20,0.33569739952718675
g20_area_scaled_ox50,oisst_matched_domain,current_plus_trajectory,1176,423,0.3596938775510204,0.5745724286424154,0.2397218632389682,20,0.34515366430260047
g20_area_scaled_ox50,oisst_matched_domain,trajectory_plus_oisst,1176,423,0.3596938775510204,0.5372325777252631,0.2302620740262015,20,0.3309692671394799
g20_area_scaled_oxy50,full_kelp_domain,current_only,1158,436,0.3765112262521589,0.5707547837550994,0.2013991877715744,20,0.33256880733944955
