spec_id,domain,model,year,n,events,prevalence,ap,ap_lift,estimable,top20_k,top20_tp
g05_area_scaled_ox50,full_kelp_domain,current_only,2016,225,79,0.3511111111111111,0.5522957454171649,0.20118463430605377,True,45,28
g05_area_scaled_ox50,full_kelp_domain,current_only,2017,254,52,0.2047244094488189,0.27818658291607484,0.07346217346725595,True,51,13
g05_area_scaled_ox50,full_kelp_domain,current_only,2018,275,212,0.7709090909090909,0.8217589856970051,0.05084989478791424,True,55,50
g05_area_scaled_ox50,full_kelp_domain,current_only,2019,201,55,0.2736318407960199,0.5130095811127662,0.2393777403167463,True,41,24
g05_area_scaled_ox50,full_kelp_domain,current_only,2020,239,96,0.401673640167364,0.43764031993795893,0.03596667977059492,True,48,19
g05_area_scaled_ox50,full_kelp_domain,current_only,2021,237,92,0.3881856540084388,0.4838056306195705,0.0956199766111317,True,48,27
g05_area_scaled_ox50,full_kelp_domain,current_only,2022,227,145,0.6387665198237885,0.827619972423368,0.18885345259957953,True,46,44
g05_area_scaled_ox50,full_kelp_domain,current_only,2023,181,28,0.15469613259668508,0.2487894595228119,0.09409332692612682,True,37,8
g05_area_scaled_ox50,full_kelp_domain,current_only,2024,211,62,0.2938388625592417,0.3915934113185588,0.0977545487593171,True,43,16
g05_area_scaled_ox50,full_kelp_domain,current_plus_trajectory,2005,311,174,0.5594855305466238,0.7421665201577414,0.18268098961111767,True,63,50
g05_area_scaled_ox50,full_kelp_domain,current_plus_trajectory,2006,285,56,0.19649122807017544,0.5965084949021952,0.4000172668320197,True,57,31
g05_area_scaled_ox50,full_kelp_domain,current_plus_trajectory,2007,331,91,0.27492447129909364,0.5337892930310077,0.2588648217319141,True,67,36
g05_area_scaled_ox50,full_kelp_domain,current_plus_trajectory,2008,331,101,0.30513595166163143,0.55180290915955,0.24666695749791856,True,67,43
g05_area_scaled_ox50,full_kelp_domain,current_plus_trajectory,2009,341,168,0.49266862170087977,0.5749257730204343,0.08225715131955458,True,69,42
g05_area_scaled_ox50,full_kelp_domain,current_plus_trajectory,2010,331,156,0.47129909365558914,0.7083306166847715,0.23703152302918234,True,67,50
