spec_id,grid_size_m,grid_size_km,threshold_policy,origin_name,origin_x_m,origin_y_m,minimum_footprint_pixels,candidate_cells,stable_cells,eligible_test_rows,test_events,test_prevalence,oisst_supported_cells,oisst_cell_coverage,oisst_max_distance_km,current_lift,current_ci_low,current_ci_high,trajectory_increment,trajectory_ci_low,trajectory_ci_high,oisst_increment,oisst_ci_low,oisst_ci_high,current_top20_recall,trajectory_top20_recall,trajectory_top20_recall_delta,global_label_jaccard,global_top20_spatial_jaccard,same_size_label_jaccard,same_size_top20_spatial_jaccard
g10_area_scaled_oy50,10000,10,area_scaled,oy50,0.0,5000.0,500,179,169,2624,1019,0.38833841463414637,168,0.9940828402366864,215.70033164859638,0.17350576583006386,0.13714088454794476,0.22234630773495553,0.02052350379143566,-0.00015798296913194365,0.03992433050996214,-0.015009958135278995,-0.0417067419491403,0.010099431281761625,0.3120706575073602,0.3199214916584887,0.007850834151128527,0.8063580721406348,0.633776806877875,0.8063580721406348,0.633776806877875
g10_area_scaled_oxy50,10000,10,area_scaled,oxy50,5000.0,5000.0,500,180,169,2679,1046,0.3904441955953714,168,0.9940828402366864,216.5332849555026,0.1992725510927557,0.16241342616174118,0.24460338751537838,0.017783067154081404,-0.0020292818254483156,0.03709839647772569,-0.016290966349450448,-0.04949671725357559,0.008181627889221218,0.3135755258126195,0.31453154875717015,0.0009560229445506607,0.7481619442669522,0.5073011178602551,0.7481619442669522,0.5073011178602551
g20_area_scaled_o00,20000,20,area_scaled,o00,0.0,0.0,2000,70,66,1084,395,0.3643911439114391,66,1.0,35.76774865761611,0.20256897054673778,0.15511684611039583,0.263980585203976,0.002067624489055632,-0.0359737725255291,0.0354537890966967,-0.01714633817379114,-0.048195345252842775,0.008929387937938996,0.3189873417721519,0.3265822784810127,0.0075949367088608,0.8101137662839568,0.5758604173889313,1.0,1.0
g20_area_scaled_ox50,20000,20,area_scaled,ox50,10000.0,0.0,2000,75,71,1176,423,0.3596938775510204,71,1.0,36.22026325825574,0.2224219218910939,0.18035742799602883,0.27678783944828633,0.01729994134787429,-0.022649525736919956,0.057369322796411215,-0.009459789212766719,-0.042225924487887936,0.01672783655055989,0.33569739952718675,0.34515366430260047,0.009456264775413725,0.8024441160603288,0.5910440388342899,0.8382733831285161,0.5951753967963052
g20_area_scaled_oy50,20000,20,area_scaled,oy50,0.0,10000.0,2000,65,62,1054,394,0.3738140417457306,62,1.0,23.28533855126546,0.205147228760085,0.15664621126071976,0.27057577045914544,0.026747500626786498,3.569095623650171e-06,0.055043187685302634,-0.023772870009351292,-0.06109439631277333,0.006729215106459397,0.32741116751269034,0.3299492385786802,0.0025380710659898553,0.8314410743591778,0.6233391725398221,0.8043795412895587,0.611899236440039
g20_area_scaled_oxy50,20000,20,area_scaled,oxy50,10000.0,10000.0,2000,74,70,1158,436,0.3765112262521589,70,1.0,24.62782103420545,0.2013991877715744,0.1579572824571026,0.2606423932271773,0.0374695396463334,0.008337338867919314,0.0734931162935204,-0.029418066975267408,-0.06645398043729173,-0.0025359649120754967,0.33256880733944955,0.32339449541284404,-0.009174311926605505,0.8068660273885595,0.6090556931479012,0.7532741678880238,0.48956332730721785
g20_fixed_500_o00,20000,20,fixed_500,o00,0.0,0.0,500,105,98,1571,598,0.38064926798217696,97,0.9897959183673469,228.47718268444717,0.20461474233110688,0.17941151406500833,0.24236178002775718,0.013087477769098934,-0.01382465476442694,0.03534914572241273,-0.018306401054269457,-0.04628513156587471,0.005080619010529562,0.3277591973244147,0.33612040133779264,0.00836120401337792,0.8188259248947116,0.5939065995674331,1.0,1.0
g20_fixed_500_ox50,20000,20,fixed_500,ox50,10000.0,0.0,500,112,104,1659,623,0.3755274261603376,104,1.0,36.22026325825574,0.2106626025194806,0.16977974950907262,0.2547351957921203,0.013846911773474194,-0.005555346673614629,0.03582073518622768,-0.012764844055797952,-0.038146489382621225,0.007202609617554746,0.3274478330658106,0.3274478330658106,0.0,0.8144711909432512,0.5940436634934871,0.8343495013563966,0.5896457074394995
g20_fixed_500_oy50,20000,20,fixed_500,oy50,0.0,10000.0,500,112,108,1718,672,0.3911525029103609,106,0.9814814814814815,216.5332849555026,0.19806812083574374,0.14164087462485936,0.27034428483731204,0.023798772856858007,-0.0009933839462480658,0.04873201022851874,-0.02674816153435757,-0.05937979055087078,-0.0026222066580957816,0.31845238095238093,0.3244047619047619,0.005952380952380987,0.8431245081925451,0.6550010752951617,0.8057039877746276,0.614744072072652
g20_fixed_500_oxy50,20000,20,fixed_500,oxy50,10000.0,10000.0,500,114,106,1712,655,0.38259345794392524,105,0.9905660377358491,214.94453312345715,0.1952236895504907,0.15789525857674652,0.24064659272208194,0.02655118267631561,0.00578971394334327,0.050929166182318394,-0.02454805482934147,-0.05722426866113032,-0.0014580024247117713,0.3236641221374046,0.332824427480916,0.009160305343511421,0.8192555312768705,0.6254671726122738,0.7504967662991855,0.49733231440538556
