spec_id,domain,year,train_start,train_end,n_train,events_train,n_test,events_test
g05_area_scaled_oy50,full_kelp_domain,2018,1989,2017,7926,3162,275,207
g05_area_scaled_oy50,full_kelp_domain,2019,1989,2018,8201,3369,203,60
g05_area_scaled_oy50,full_kelp_domain,2020,1989,2019,8404,3429,239,88
g05_area_scaled_oy50,full_kelp_domain,2021,1989,2020,8643,3517,235,96
g05_area_scaled_oy50,full_kelp_domain,2022,1989,2021,8878,3613,220,142
g05_area_scaled_oy50,full_kelp_domain,2023,1989,2022,9098,3755,180,38
g05_area_scaled_oy50,full_kelp_domain,2024,1989,2023,9278,3793,201,49
g05_area_scaled_oy50,oisst_matched_domain,2005,1989,2004,4046,1653,298,169
g05_area_scaled_oy50,oisst_matched_domain,2006,1989,2005,4344,1822,267,50
g05_area_scaled_oy50,oisst_matched_domain,2007,1989,2006,4611,1872,321,90
g05_area_scaled_oy50,oisst_matched_domain,2008,1989,2007,4932,1962,327,103
g05_area_scaled_oy50,oisst_matched_domain,2009,1989,2008,5259,2065,329,154
g05_area_scaled_oy50,oisst_matched_domain,2010,1989,2009,5588,2219,321,156
g05_area_scaled_oy50,oisst_matched_domain,2011,1989,2010,5909,2375,283,112
g05_area_scaled_oy50,oisst_matched_domain,2012,1989,2011,6192,2487,281,58
g05_area_scaled_oy50,oisst_matched_domain,2013,1989,2012,6473,2545,333,207
g05_area_scaled_oy50,oisst_matched_domain,2014,1989,2013,6806,2752,295,123
g05_area_scaled_oy50,oisst_matched_domain,2015,1989,2014,7101,2875,248,115
g05_area_scaled_oy50,oisst_matched_domain,2016,1989,2015,7349,2990,225,84
g05_area_scaled_oy50,oisst_matched_domain,2017,1989,2016,7574,3074,261,51
g05_area_scaled_oy50,oisst_matched_domain,2018,1989,2017,7835,3125,271,205
g05_area_scaled_oy50,oisst_matched_domain,2019,1989,2018,8106,3330,200,59
g05_area_scaled_oy50,oisst_matched_domain,2020,1989,2019,8306,3389,236,87
g05_area_scaled_oy50,oisst_matched_domain,2021,1989,2020,8542,3476,233,94
g05_area_scaled_oy50,oisst_matched_domain,2022,1989,2021,8775,3570,218,142
g05_area_scaled_oy50,oisst_matched_domain,2023,1989,2022,8993,3712,176,34
g05_area_scaled_oy50,oisst_matched_domain,2024,1989,2023,9169,3746,197,47
g05_area_scaled_oxy50,full_kelp_domain,2005,1989,2004,4138,1693,310,184
g05_area_scaled_oxy50,full_kelp_domain,2006,1989,2005,4448,1877,281,52
g05_area_scaled_oxy50,full_kelp_domain,2007,1989,2006,4729,1929,328,90
g05_area_scaled_oxy50,full_kelp_domain,2008,1989,2007,5057,2019,328,99
g05_area_scaled_oxy50,full_kelp_domain,2009,1989,2008,5385,2118,338,162
g05_area_scaled_oxy50,full_kelp_domain,2010,1989,2009,5723,2280,333,168
g05_area_scaled_oxy50,full_kelp_domain,2011,1989,2010,6056,2448,290,115
g05_area_scaled_oxy50,full_kelp_domain,2012,1989,2011,6346,2563,292,72
g05_area_scaled_oxy50,full_kelp_domain,2013,1989,2012,6638,2635,344,207
g05_area_scaled_oxy50,full_kelp_domain,2014,1989,2013,6982,2842,308,123
g05_area_scaled_oxy50,full_kelp_domain,2015,1989,2014,7290,2965,259,121
g05_area_scaled_oxy50,full_kelp_domain,2016,1989,2015,7549,3086,230,82
g05_area_scaled_oxy50,full_kelp_domain,2017,1989,2016,7779,3168,266,55
g05_area_scaled_oxy50,full_kelp_domain,2018,1989,2017,8045,3223,282,218
g05_area_scaled_oxy50,full_kelp_domain,2019,1989,2018,8327,3441,208,60
g05_area_scaled_oxy50,full_kelp_domain,2020,1989,2019,8535,3501,245,88
g05_area_scaled_oxy50,full_kelp_domain,2021,1989,2020,8780,3589,244,102
g05_area_scaled_oxy50,full_kelp_domain,2022,1989,2021,9024,3691,230,149
g05_area_scaled_oxy50,full_kelp_domain,2023,1989,2022,9254,3840,183,34
g05_area_scaled_oxy50,full_kelp_domain,2024,1989,2023,9437,3874,214,59
g05_area_scaled_oxy50,oisst_matched_domain,2005,1989,2004,4091,1671,306,184
g05_area_scaled_oxy50,oisst_matched_domain,2006,1989,2005,4397,1855,278,51
g05_area_scaled_oxy50,oisst_matched_domain,2007,1989,2006,4675,1906,325,89
g05_area_scaled_oxy50,oisst_matched_domain,2008,1989,2007,5000,1995,325,98
g05_area_scaled_oxy50,oisst_matched_domain,2009,1989,2008,5325,2093,335,160
g05_area_scaled_oxy50,oisst_matched_domain,2010,1989,2009,5660,2253,329,167
g05_area_scaled_oxy50,oisst_matched_domain,2011,1989,2010,5989,2420,286,111
g05_area_scaled_oxy50,oisst_matched_domain,2012,1989,2011,6275,2531,289,72
g05_area_scaled_oxy50,oisst_matched_domain,2013,1989,2012,6564,2603,341,207
g05_area_scaled_oxy50,oisst_matched_domain,2014,1989,2013,6905,2810,305,121
g05_area_scaled_oxy50,oisst_matched_domain,2015,1989,2014,7210,2931,258,121
g05_area_scaled_oxy50,oisst_matched_domain,2016,1989,2015,7468,3052,229,82
g05_area_scaled_oxy50,oisst_matched_domain,2017,1989,2016,7697,3134,263,55
g05_area_scaled_oxy50,oisst_matched_domain,2018,1989,2017,7960,3189,279,217
g05_area_scaled_oxy50,oisst_matched_domain,2019,1989,2018,8239,3406,205,59
g05_area_scaled_oxy50,oisst_matched_domain,2020,1989,2019,8444,3465,241,86
g05_area_scaled_oxy50,oisst_matched_domain,2021,1989,2020,8685,3551,242,100
g05_area_scaled_oxy50,oisst_matched_domain,2022,1989,2021,8927,3651,227,148
g05_area_scaled_oxy50,oisst_matched_domain,2023,1989,2022,9154,3799,179,31
g05_area_scaled_oxy50,oisst_matched_domain,2024,1989,2023,9333,3830,210,56
g05_fixed_500_o00,full_kelp_domain,2005,1989,2004,2912,1167,224,137
g05_fixed_500_o00,full_kelp_domain,2006,1989,2005,3136,1304,206,31
g05_fixed_500_o00,full_kelp_domain,2007,1989,2006,3342,1335,238,70
g05_fixed_500_o00,full_kelp_domain,2008,1989,2007,3580,1405,237,67
g05_fixed_500_o00,full_kelp_domain,2009,1989,2008,3817,1472,238,113
g05_fixed_500_o00,full_kelp_domain,2010,1989,2009,4055,1585,234,118
g05_fixed_500_o00,full_kelp_domain,2011,1989,2010,4289,1703,201,77
g05_fixed_500_o00,full_kelp_domain,2012,1989,2011,4490,1780,208,40
g05_fixed_500_o00,full_kelp_domain,2013,1989,2012,4698,1820,238,151
g05_fixed_500_o00,full_kelp_domain,2014,1989,2013,4936,1971,204,73
g05_fixed_500_o00,full_kelp_domain,2015,1989,2014,5140,2044,180,84
g05_fixed_500_o00,full_kelp_domain,2016,1989,2015,5320,2128,166,57
g05_fixed_500_o00,full_kelp_domain,2017,1989,2016,5486,2185,175,27
g05_fixed_500_o00,full_kelp_domain,2018,1989,2017,5661,2212,200,159
g05_fixed_500_o00,full_kelp_domain,2019,1989,2018,5861,2371,139,39
g05_fixed_500_o00,full_kelp_domain,2020,1989,2019,6000,2410,165,58
g05_fixed_500_o00,full_kelp_domain,2021,1989,2020,6165,2468,161,54
g05_fixed_500_o00,full_kelp_domain,2022,1989,2021,6326,2522,160,109
g05_fixed_500_o00,full_kelp_domain,2023,1989,2022,6486,2631,120,14
g05_fixed_500_o00,full_kelp_domain,2024,1989,2023,6606,2645,139,30
g05_fixed_500_o00,oisst_matched_domain,2005,1989,2004,2912,1167,224,137
g05_fixed_500_o00,oisst_matched_domain,2006,1989,2005,3136,1304,206,31
g05_fixed_500_o00,oisst_matched_domain,2007,1989,2006,3342,1335,238,70
g05_fixed_500_o00,oisst_matched_domain,2008,1989,2007,3580,1405,237,67
g05_fixed_500_o00,oisst_matched_domain,2009,1989,2008,3817,1472,238,113
g05_fixed_500_o00,oisst_matched_domain,2010,1989,2009,4055,1585,234,118
g05_fixed_500_o00,oisst_matched_domain,2011,1989,2010,4289,1703,201,77
g05_fixed_500_o00,oisst_matched_domain,2012,1989,2011,4490,1780,208,40
g05_fixed_500_o00,oisst_matched_domain,2013,1989,2012,4698,1820,238,151
g05_fixed_500_o00,oisst_matched_domain,2014,1989,2013,4936,1971,204,73
g05_fixed_500_o00,oisst_matched_domain,2015,1989,2014,5140,2044,180,84
g05_fixed_500_o00,oisst_matched_domain,2016,1989,2015,5320,2128,166,57
g05_fixed_500_o00,oisst_matched_domain,2017,1989,2016,5486,2185,175,27
g05_fixed_500_o00,oisst_matched_domain,2018,1989,2017,5661,2212,200,159
g05_fixed_500_o00,oisst_matched_domain,2019,1989,2018,5861,2371,139,39
g05_fixed_500_o00,oisst_matched_domain,2020,1989,2019,6000,2410,165,58
g05_fixed_500_o00,oisst_matched_domain,2021,1989,2020,6165,2468,161,54
g05_fixed_500_o00,oisst_matched_domain,2022,1989,2021,6326,2522,160,109
g05_fixed_500_o00,oisst_matched_domain,2023,1989,2022,6486,2631,120,14
g05_fixed_500_o00,oisst_matched_domain,2024,1989,2023,6606,2645,139,30
g05_fixed_500_ox50,full_kelp_domain,2005,1989,2004,2772,1115,210,125
g05_fixed_500_ox50,full_kelp_domain,2006,1989,2005,2982,1240,193,24
g05_fixed_500_ox50,full_kelp_domain,2007,1989,2006,3175,1264,229,70
g05_fixed_500_ox50,full_kelp_domain,2008,1989,2007,3404,1334,227,66
g05_fixed_500_ox50,full_kelp_domain,2009,1989,2008,3631,1400,229,108
g05_fixed_500_ox50,full_kelp_domain,2010,1989,2009,3860,1508,225,108
g05_fixed_500_ox50,full_kelp_domain,2011,1989,2010,4085,1616,196,77
g05_fixed_500_ox50,full_kelp_domain,2012,1989,2011,4281,1693,200,41
g05_fixed_500_ox50,full_kelp_domain,2013,1989,2012,4481,1734,229,150
g05_fixed_500_ox50,full_kelp_domain,2014,1989,2013,4710,1884,200,71
g05_fixed_500_ox50,full_kelp_domain,2015,1989,2014,4910,1955,171,84
g05_fixed_500_ox50,full_kelp_domain,2016,1989,2015,5081,2039,158,58
g05_fixed_500_ox50,full_kelp_domain,2017,1989,2016,5239,2097,170,30
g05_fixed_500_ox50,full_kelp_domain,2018,1989,2017,5409,2127,188,155
g05_fixed_500_ox50,full_kelp_domain,2019,1989,2018,5597,2282,129,32
g05_fixed_500_ox50,full_kelp_domain,2020,1989,2019,5726,2314,158,61
g05_fixed_500_ox50,full_kelp_domain,2021,1989,2020,5884,2375,159,60
g05_fixed_500_ox50,full_kelp_domain,2022,1989,2021,6043,2435,158,106
g05_fixed_500_ox50,full_kelp_domain,2023,1989,2022,6201,2541,116,14
g05_fixed_500_ox50,full_kelp_domain,2024,1989,2023,6317,2555,136,32
g05_fixed_500_ox50,oisst_matched_domain,2005,1989,2004,2772,1115,210,125
g05_fixed_500_ox50,oisst_matched_domain,2006,1989,2005,2982,1240,193,24
g05_fixed_500_ox50,oisst_matched_domain,2007,1989,2006,3175,1264,229,70
