C,l1_ratio,inner_macro_ap_lift,inner_rows,domain,year,model_family,feature_set
0.05,0.5,0.23094196196221586,919,full_oisst_domain,2007,elastic_net,current_plus_trajectory
0.05,0.0,0.23075357020130915,919,full_oisst_domain,2007,elastic_net,current_plus_trajectory
0.2,0.5,0.23065920784479457,919,full_oisst_domain,2007,elastic_net,current_plus_trajectory
1.0,1.0,0.23009286402553916,919,full_oisst_domain,2007,elastic_net,current_plus_trajectory
0.2,0.0,0.23002968041958008,919,full_oisst_domain,2007,elastic_net,current_plus_trajectory
1.0,0.5,0.22983425891147724,919,full_oisst_domain,2007,elastic_net,current_plus_trajectory
1.0,0.0,0.22967274349467307,919,full_oisst_domain,2007,elastic_net,current_plus_trajectory
0.2,1.0,0.15815158921587028,919,full_oisst_domain,2007,elastic_net,trajectory_plus_oisst
0.2,0.5,0.15706043694340557,919,full_oisst_domain,2007,elastic_net,trajectory_plus_oisst
0.05,0.0,0.1564888384453875,919,full_oisst_domain,2007,elastic_net,trajectory_plus_oisst
0.05,0.5,0.15632220042518383,919,full_oisst_domain,2007,elastic_net,trajectory_plus_oisst
1.0,1.0,0.1563011014872392,919,full_oisst_domain,2007,elastic_net,trajectory_plus_oisst
1.0,0.0,0.15628823948415316,919,full_oisst_domain,2007,elastic_net,trajectory_plus_oisst
1.0,0.5,0.15626865262934095,919,full_oisst_domain,2007,elastic_net,trajectory_plus_oisst
0.2,0.0,0.1560248447611441,919,full_oisst_domain,2007,elastic_net,trajectory_plus_oisst
0.05,1.0,0.1542302528476699,919,full_oisst_domain,2007,elastic_net,trajectory_plus_oisst
1.0,,0.2111340352693213,919,full_oisst_domain,2007,hierarchical_additive,current_only
0.2,,0.20489603531305414,919,full_oisst_domain,2007,hierarchical_additive,current_only
0.05,,0.19450181368455075,919,full_oisst_domain,2007,hierarchical_additive,current_only
0.2,,0.2104617330100841,919,full_oisst_domain,2007,hierarchical_additive,current_plus_trajectory
0.05,,0.20966070833311867,919,full_oisst_domain,2007,hierarchical_additive,current_plus_trajectory
1.0,,0.2080463317316863,919,full_oisst_domain,2007,hierarchical_additive,current_plus_trajectory
1.0,,0.16460761438360774,919,full_oisst_domain,2007,hierarchical_additive,trajectory_plus_oisst
0.05,,0.1626358326525651,919,full_oisst_domain,2007,hierarchical_additive,trajectory_plus_oisst
0.2,,0.1587767640378069,919,full_oisst_domain,2007,hierarchical_additive,trajectory_plus_oisst
0.05,0.0,0.23066827032178003,925,full_oisst_domain,2008,elastic_net,current_only
0.05,0.5,0.23066827032178003,925,full_oisst_domain,2008,elastic_net,current_only
0.05,1.0,0.23066827032178003,925,full_oisst_domain,2008,elastic_net,current_only
0.2,0.0,0.23066827032178003,925,full_oisst_domain,2008,elastic_net,current_only
0.2,0.5,0.23066827032178003,925,full_oisst_domain,2008,elastic_net,current_only
0.2,1.0,0.23066827032178003,925,full_oisst_domain,2008,elastic_net,current_only
1.0,0.0,0.23066827032178003,925,full_oisst_domain,2008,elastic_net,current_only
1.0,0.5,0.23066827032178003,925,full_oisst_domain,2008,elastic_net,current_only
1.0,1.0,0.23066827032178003,925,full_oisst_domain,2008,elastic_net,current_only
0.2,1.0,0.3024253567243693,925,full_oisst_domain,2008,elastic_net,current_plus_trajectory
0.2,0.5,0.3017354990434842,925,full_oisst_domain,2008,elastic_net,current_plus_trajectory
0.05,1.0,0.30081455310667754,925,full_oisst_domain,2008,elastic_net,current_plus_trajectory
0.05,0.5,0.3003680463911504,925,full_oisst_domain,2008,elastic_net,current_plus_trajectory
1.0,1.0,0.3003352448466619,925,full_oisst_domain,2008,elastic_net,current_plus_trajectory
0.2,0.0,0.30018649728931673,925,full_oisst_domain,2008,elastic_net,current_plus_trajectory
0.05,0.0,0.3001784340072228,925,full_oisst_domain,2008,elastic_net,current_plus_trajectory
1.0,0.5,0.29987295674481396,925,full_oisst_domain,2008,elastic_net,current_plus_trajectory
1.0,0.0,0.2996501773017994,925,full_oisst_domain,2008,elastic_net,current_plus_trajectory
0.2,1.0,0.21885618114713026,925,full_oisst_domain,2008,elastic_net,trajectory_plus_oisst
