domain,model_family,feature_set,year,n,events,prevalence,ap,ap_lift
upwelling_supported_domain,elastic_net,current_only,2018,181,156,0.861878453038674,0.8963291950282077,0.034450741989533684
upwelling_supported_domain,elastic_net,current_only,2019,123,21,0.17073170731707318,0.25807896051555124,0.08734725319847805
upwelling_supported_domain,elastic_net,current_only,2020,156,56,0.358974358974359,0.38324424744990615,0.024269888475547174
upwelling_supported_domain,elastic_net,current_only,2021,161,46,0.2857142857142857,0.3068864797256828,0.021172194011397083
upwelling_supported_domain,elastic_net,current_only,2022,160,126,0.7875,0.8673381546646456,0.07983815466464561
upwelling_supported_domain,elastic_net,current_only,2023,111,10,0.09009009009009009,0.20289286888070018,0.1128027787906101
upwelling_supported_domain,elastic_net,current_only,2024,138,39,0.2826086956521739,0.3457723368581662,0.06316364120599233
upwelling_supported_domain,elastic_net,current_plus_trajectory,2005,207,129,0.6231884057971014,0.7247568771306758,0.10156847133357438
upwelling_supported_domain,elastic_net,current_plus_trajectory,2006,191,39,0.20418848167539266,0.6924810571081417,0.488292575432749
upwelling_supported_domain,elastic_net,current_plus_trajectory,2007,217,71,0.3271889400921659,0.569852512828676,0.24266357273651007
upwelling_supported_domain,elastic_net,current_plus_trajectory,2008,216,61,0.2824074074074074,0.5306932835998271,0.24828587619241976
upwelling_supported_domain,elastic_net,current_plus_trajectory,2009,228,99,0.4342105263157895,0.5771617523132709,0.14295122599748145
upwelling_supported_domain,elastic_net,current_plus_trajectory,2010,225,136,0.6044444444444445,0.7978118954205125,0.193367450976068
upwelling_supported_domain,elastic_net,current_plus_trajectory,2011,186,65,0.34946236559139787,0.5801947281747691,0.23073236258337126
upwelling_supported_domain,elastic_net,current_plus_trajectory,2012,196,28,0.14285714285714285,0.5384130841051002,0.3955559412479574
upwelling_supported_domain,elastic_net,current_plus_trajectory,2013,230,185,0.8043478260869565,0.8013441853001686,-0.0030036407867879422
upwelling_supported_domain,elastic_net,current_plus_trajectory,2014,188,73,0.3882978723404255,0.4201889206436221,0.03189104830319661
upwelling_supported_domain,elastic_net,current_plus_trajectory,2015,163,53,0.32515337423312884,0.4722065051973172,0.14705313096418837
upwelling_supported_domain,elastic_net,current_plus_trajectory,2016,168,71,0.4226190476190476,0.672775678176585,0.2501566305575374
upwelling_supported_domain,elastic_net,current_plus_trajectory,2017,175,36,0.2057142857142857,0.31693476312947694,0.11122047741519123
upwelling_supported_domain,elastic_net,current_plus_trajectory,2018,181,156,0.861878453038674,0.9023098684689861,0.040431415430312034
upwelling_supported_domain,elastic_net,current_plus_trajectory,2019,123,21,0.17073170731707318,0.321040591424289,0.1503088841072158
upwelling_supported_domain,elastic_net,current_plus_trajectory,2020,156,56,0.358974358974359,0.41720905130144553,0.05823469232708656
upwelling_supported_domain,elastic_net,current_plus_trajectory,2021,161,46,0.2857142857142857,0.40792996899684714,0.12221568328256144
upwelling_supported_domain,elastic_net,current_plus_trajectory,2022,160,126,0.7875,0.8639753324925066,0.0764753324925066
upwelling_supported_domain,elastic_net,current_plus_trajectory,2023,111,10,0.09009009009009009,0.3758872868083394,0.2857971967182493
upwelling_supported_domain,elastic_net,current_plus_trajectory,2024,138,39,0.2826086956521739,0.4114812735340722,0.12887257788189832
upwelling_supported_domain,elastic_net,trajectory_plus_oisst,2005,207,129,0.6231884057971014,0.7321033323390888,0.10891492654198731
upwelling_supported_domain,elastic_net,trajectory_plus_oisst,2006,191,39,0.20418848167539266,0.5841310559204462,0.37994257424505357
upwelling_supported_domain,elastic_net,trajectory_plus_oisst,2007,217,71,0.3271889400921659,0.553289653065869,0.22610071297370304
upwelling_supported_domain,elastic_net,trajectory_plus_oisst,2008,216,61,0.2824074074074074,0.48569310105931496,0.20328569365190757
upwelling_supported_domain,elastic_net,trajectory_plus_oisst,2009,228,99,0.4342105263157895,0.5558846778347526,0.1216741515189631
upwelling_supported_domain,elastic_net,trajectory_plus_oisst,2010,225,136,0.6044444444444445,0.7878198029324864,0.18337535848804198
upwelling_supported_domain,elastic_net,trajectory_plus_oisst,2011,186,65,0.34946236559139787,0.5792660264558558,0.22980366086445791
upwelling_supported_domain,elastic_net,trajectory_plus_oisst,2012,196,28,0.14285714285714285,0.5729356130095868,0.430078470152444
upwelling_supported_domain,elastic_net,trajectory_plus_oisst,2013,230,185,0.8043478260869565,0.7979455675342235,-0.00640225855273302
upwelling_supported_domain,elastic_net,trajectory_plus_oisst,2014,188,73,0.3882978723404255,0.4359270133904063,0.04762914104998078
upwelling_supported_domain,elastic_net,trajectory_plus_oisst,2015,163,53,0.32515337423312884,0.5177925169647892,0.19263914273166038
upwelling_supported_domain,elastic_net,trajectory_plus_oisst,2016,168,71,0.4226190476190476,0.6377428854556367,0.21512383783658912
upwelling_supported_domain,elastic_net,trajectory_plus_oisst,2017,175,36,0.2057142857142857,0.32563247552327784,0.11991818980899213
upwelling_supported_domain,elastic_net,trajectory_plus_oisst,2018,181,156,0.861878453038674,0.9057288300780262,0.04385037703935213
upwelling_supported_domain,elastic_net,trajectory_plus_oisst,2019,123,21,0.17073170731707318,0.2926826318369504,0.12195092451987724
upwelling_supported_domain,elastic_net,trajectory_plus_oisst,2020,156,56,0.358974358974359,0.4238962934790406,0.06492193450468164
upwelling_supported_domain,elastic_net,trajectory_plus_oisst,2021,161,46,0.2857142857142857,0.4380789126568698,0.15236462694258412
upwelling_supported_domain,elastic_net,trajectory_plus_oisst,2022,160,126,0.7875,0.8481298351545903,0.060629835154590306
upwelling_supported_domain,elastic_net,trajectory_plus_oisst,2023,111,10,0.09009009009009009,0.3414924813919761,0.251402391301886
upwelling_supported_domain,elastic_net,trajectory_plus_oisst,2024,138,39,0.2826086956521739,0.4039623112092375,0.12135361555706359
upwelling_supported_domain,elastic_net,trajectory_plus_oisst_cuti_beuti,2005,207,129,0.6231884057971014,0.7401853576148523,0.11699695181775083
upwelling_supported_domain,elastic_net,trajectory_plus_oisst_cuti_beuti,2006,191,39,0.20418848167539266,0.6410070104733576,0.43681852879796496
upwelling_supported_domain,elastic_net,trajectory_plus_oisst_cuti_beuti,2007,217,71,0.3271889400921659,0.4494014218675516,0.12221248177538568
upwelling_supported_domain,elastic_net,trajectory_plus_oisst_cuti_beuti,2008,216,61,0.2824074074074074,0.47158024635053486,0.18917283894312747
upwelling_supported_domain,elastic_net,trajectory_plus_oisst_cuti_beuti,2009,228,99,0.4342105263157895,0.5270114626941126,0.0928009363783231
upwelling_supported_domain,elastic_net,trajectory_plus_oisst_cuti_beuti,2010,225,136,0.6044444444444445,0.7909105870575452,0.1864661426131008
upwelling_supported_domain,elastic_net,trajectory_plus_oisst_cuti_beuti,2011,186,65,0.34946236559139787,0.5812902709094375,0.23182790531803965
upwelling_supported_domain,elastic_net,trajectory_plus_oisst_cuti_beuti,2012,196,28,0.14285714285714285,0.5497746015155317,0.40691745865838885
upwelling_supported_domain,elastic_net,trajectory_plus_oisst_cuti_beuti,2013,230,185,0.8043478260869565,0.7990901492975735,-0.005257676789383048
upwelling_supported_domain,elastic_net,trajectory_plus_oisst_cuti_beuti,2014,188,73,0.3882978723404255,0.44308225250879885,0.05478438016837334
