domain,model_family,feature_set,protocol,year,n,events,prevalence,average_precision,ap_lift,estimable,decline_threshold,canopy_cutoff
upwelling_supported_domain,logistic,current_plus_trajectory,expanding_window,2007,101,32,0.31683168316831684,0.5257418971233194,0.2089102139550026,True,0.2,0.05
upwelling_supported_domain,logistic,current_plus_trajectory,expanding_window,2008,103,34,0.3300970873786408,0.6779568657531533,0.3478597783745125,True,0.2,0.05
upwelling_supported_domain,logistic,current_plus_trajectory,expanding_window,2009,103,53,0.5145631067961165,0.659523351894589,0.1449602450984725,True,0.2,0.05
upwelling_supported_domain,logistic,current_plus_trajectory,expanding_window,2010,102,70,0.6862745098039216,0.838150400247079,0.1518758904431574,True,0.2,0.05
upwelling_supported_domain,logistic,current_plus_trajectory,expanding_window,2011,96,34,0.3541666666666667,0.48976036234260506,0.13559369567593837,True,0.2,0.05
upwelling_supported_domain,logistic,current_plus_trajectory,expanding_window,2012,98,13,0.1326530612244898,0.5243572893824442,0.39170422815795436,True,0.2,0.05
upwelling_supported_domain,logistic,current_plus_trajectory,expanding_window,2013,107,95,0.8878504672897196,0.920645451805103,0.03279498451538343,True,0.2,0.05
upwelling_supported_domain,logistic,current_plus_trajectory,expanding_window,2014,87,33,0.3793103448275862,0.5024500948136903,0.12313974998610411,True,0.2,0.05
upwelling_supported_domain,logistic,current_plus_trajectory,expanding_window,2015,72,24,0.3333333333333333,0.606873115479837,0.2735397821465037,True,0.2,0.05
upwelling_supported_domain,logistic,current_plus_trajectory,expanding_window,2016,76,37,0.4868421052631579,0.8075275495247569,0.320685444261599,True,0.2,0.05
upwelling_supported_domain,logistic,current_plus_trajectory,expanding_window,2017,80,17,0.2125,0.30248845259150775,0.08998845259150776,True,0.2,0.05
upwelling_supported_domain,logistic,current_plus_trajectory,expanding_window,2018,82,73,0.8902439024390244,0.9393176438569204,0.049073741417896,True,0.2,0.05
upwelling_supported_domain,logistic,current_plus_trajectory,expanding_window,2019,57,10,0.17543859649122806,0.28267755108722936,0.1072389545960013,True,0.2,0.05
upwelling_supported_domain,logistic,current_plus_trajectory,expanding_window,2020,77,32,0.4155844155844156,0.4518651827609617,0.0362807671765461,True,0.2,0.05
upwelling_supported_domain,logistic,current_plus_trajectory,expanding_window,2021,83,25,0.30120481927710846,0.5500318280675085,0.24882700879040004,True,0.2,0.05
upwelling_supported_domain,logistic,current_plus_trajectory,expanding_window,2022,77,63,0.8181818181818182,0.8912332491062926,0.07305143092447441,True,0.2,0.05
upwelling_supported_domain,logistic,current_plus_trajectory,expanding_window,2023,53,5,0.09433962264150944,0.6084057971014493,0.5140661744599399,True,0.2,0.05
upwelling_supported_domain,logistic,current_plus_trajectory,expanding_window,2024,70,19,0.2714285714285714,0.5042425057508169,0.23281393432224545,True,0.2,0.05
upwelling_supported_domain,logistic,trajectory_plus_oisst,expanding_window,2005,89,63,0.7078651685393258,0.808949844410723,0.10108467587139724,True,0.2,0.05
upwelling_supported_domain,logistic,trajectory_plus_oisst,expanding_window,2006,85,17,0.2,0.5415367850912979,0.34153678509129787,True,0.2,0.05
upwelling_supported_domain,logistic,trajectory_plus_oisst,expanding_window,2007,101,32,0.31683168316831684,0.5141933818373172,0.19736169866900038,True,0.2,0.05
upwelling_supported_domain,logistic,trajectory_plus_oisst,expanding_window,2008,103,34,0.3300970873786408,0.6367287470042441,0.3066316596256033,True,0.2,0.05
upwelling_supported_domain,logistic,trajectory_plus_oisst,expanding_window,2009,103,53,0.5145631067961165,0.6484094581063913,0.13384635131027478,True,0.2,0.05
upwelling_supported_domain,logistic,trajectory_plus_oisst,expanding_window,2010,102,70,0.6862745098039216,0.8147744796684488,0.12849996986452727,True,0.2,0.05
