domain,model_family,feature_set,budget_fraction,year,n_candidates,selected_n,events,true_positives,precision,recall
full_oisst_domain,logistic,trajectory_plus_oisst,0.05,2016,111,6,37,5,0.8333333333333334,0.13513513513513514
full_oisst_domain,logistic,trajectory_plus_oisst,0.05,2017,122,7,17,3,0.42857142857142855,0.17647058823529413
full_oisst_domain,logistic,trajectory_plus_oisst,0.05,2018,134,7,104,7,1.0,0.0673076923076923
full_oisst_domain,logistic,trajectory_plus_oisst,0.05,2019,93,5,29,2,0.4,0.06896551724137931
full_oisst_domain,logistic,trajectory_plus_oisst,0.05,2020,117,6,41,5,0.8333333333333334,0.12195121951219512
full_oisst_domain,logistic,trajectory_plus_oisst,0.05,2021,117,6,38,4,0.6666666666666666,0.10526315789473684
full_oisst_domain,logistic,trajectory_plus_oisst,0.05,2022,110,6,74,5,0.8333333333333334,0.06756756756756757
full_oisst_domain,logistic,trajectory_plus_oisst,0.05,2023,87,5,14,1,0.2,0.07142857142857142
full_oisst_domain,logistic,trajectory_plus_oisst,0.05,2024,102,6,17,0,0.0,0.0
full_oisst_domain,logistic,trajectory_plus_oisst,0.1,2005,144,15,89,13,0.8666666666666667,0.14606741573033707
full_oisst_domain,logistic,trajectory_plus_oisst,0.1,2006,133,14,19,5,0.35714285714285715,0.2631578947368421
full_oisst_domain,logistic,trajectory_plus_oisst,0.1,2007,158,16,47,11,0.6875,0.23404255319148937
full_oisst_domain,logistic,trajectory_plus_oisst,0.1,2008,160,16,40,10,0.625,0.25
full_oisst_domain,logistic,trajectory_plus_oisst,0.1,2009,160,16,79,9,0.5625,0.11392405063291139
full_oisst_domain,logistic,trajectory_plus_oisst,0.1,2010,158,16,77,12,0.75,0.15584415584415584
full_oisst_domain,logistic,trajectory_plus_oisst,0.1,2011,141,15,51,11,0.7333333333333333,0.21568627450980393
full_oisst_domain,logistic,trajectory_plus_oisst,0.1,2012,144,15,26,9,0.6,0.34615384615384615
full_oisst_domain,logistic,trajectory_plus_oisst,0.1,2013,159,16,97,11,0.6875,0.1134020618556701
full_oisst_domain,logistic,trajectory_plus_oisst,0.1,2014,144,15,53,9,0.6,0.16981132075471697
full_oisst_domain,logistic,trajectory_plus_oisst,0.1,2015,120,12,59,12,1.0,0.2033898305084746
full_oisst_domain,logistic,trajectory_plus_oisst,0.1,2016,111,12,37,7,0.5833333333333334,0.1891891891891892
full_oisst_domain,logistic,trajectory_plus_oisst,0.1,2017,122,13,17,4,0.3076923076923077,0.23529411764705882
