domain,model_family,feature_set,budget_fraction,years,total_selected,total_events,total_true_positives,micro_recall,recall_ci_low,recall_ci_high,micro_precision,precision_ci_low,precision_ci_high
upwelling_supported_domain,logistic,current_only,0.05,20,95,661,61,0.09228441754916793,0.07808490037579342,0.1128197533141537,0.6421052631578947,0.5168446721817509,0.7553682090477172
upwelling_supported_domain,logistic,current_only,0.1,20,179,661,107,0.16187594553706505,0.13938177396030557,0.1946906837077806,0.5977653631284916,0.4853621784522656,0.7076966292134832
upwelling_supported_domain,logistic,current_only,0.2,20,349,661,191,0.28895612708018154,0.25733274853801175,0.3357189632401496,0.5472779369627507,0.4487902544758473,0.6494843132411067
upwelling_supported_domain,logistic,current_only,0.3,20,518,661,260,0.39334341906202724,0.35925972145677293,0.4427344241661422,0.5019305019305019,0.4019318047860427,0.605316984404649
upwelling_supported_domain,logistic,current_plus_trajectory,0.05,20,95,661,63,0.09531013615733737,0.07680104979222863,0.12020191532840291,0.6631578947368421,0.5319148936170213,0.7802197802197802
upwelling_supported_domain,logistic,current_plus_trajectory,0.1,20,179,661,111,0.16792738275340394,0.1364936612576065,0.21414580724845694,0.6201117318435754,0.5120446069994263,0.7197964669738862
upwelling_supported_domain,logistic,current_plus_trajectory,0.2,20,349,661,190,0.2874432677760968,0.24870369551152668,0.3435847084086799,0.5444126074498568,0.45637690242514756,0.631578947368421
upwelling_supported_domain,logistic,current_plus_trajectory,0.3,20,518,661,259,0.3918305597579425,0.35439477468839886,0.4457194361615614,0.5,0.4093592589523631,0.5925301001936516
upwelling_supported_domain,logistic,trajectory_plus_oisst,0.05,20,95,661,64,0.09682299546142209,0.07995365005793743,0.1216534340631519,0.6736842105263158,0.5595142089093702,0.7812732054455445
upwelling_supported_domain,logistic,trajectory_plus_oisst,0.1,20,179,661,104,0.1573373676248109,0.13317168031300283,0.19209582790091262,0.5810055865921788,0.4816702838638556,0.6776394333570916
upwelling_supported_domain,logistic,trajectory_plus_oisst,0.2,20,349,661,185,0.27987897125567324,0.24517215991551888,0.33156035141329254,0.5300859598853869,0.4438036082737923,0.6179251143128289
upwelling_supported_domain,logistic,trajectory_plus_oisst,0.3,20,518,661,252,0.3812405446293495,0.3451718612666193,0.43050260359769854,0.4864864864864865,0.39386996967461685,0.5810591127610412
upwelling_supported_domain,logistic,trajectory_plus_oisst_cuti_beuti,0.05,20,95,661,62,0.09379727685325265,0.07626615004432029,0.12165084377156478,0.6526315789473685,0.5274725274725275,0.7676767676767676
upwelling_supported_domain,logistic,trajectory_plus_oisst_cuti_beuti,0.1,20,179,661,105,0.1588502269288956,0.13499162662006697,0.1962684349846037,0.5865921787709497,0.4909090909090909,0.6789573798627002
upwelling_supported_domain,logistic,trajectory_plus_oisst_cuti_beuti,0.2,20,349,661,184,0.2783661119515885,0.24688079991836265,0.32659948104902237,0.5272206303724928,0.438953488372093,0.6222860154546621
upwelling_supported_domain,logistic,trajectory_plus_oisst_cuti_beuti,0.3,20,518,661,252,0.3812405446293495,0.34794332524673993,0.42752293577981654,0.4864864864864865,0.3901477272727273,0.5865209471766849
upwelling_supported_domain,random_forest,current_only,0.05,20,95,661,60,0.0907715582450832,0.07589247795664131,0.11196988416988417,0.631578947368421,0.5057471264367817,0.7426269222666945
upwelling_supported_domain,random_forest,current_only,0.1,20,179,661,99,0.14977307110438728,0.13293635807797438,0.1731753317934463,0.553072625698324,0.4285499139414802,0.6667119565217389
upwelling_supported_domain,random_forest,current_only,0.2,20,349,661,181,0.27382753403933435,0.25208404231630516,0.3099711890879448,0.5186246418338109,0.4093239564428312,0.6281190738182754
upwelling_supported_domain,random_forest,current_only,0.3,20,518,661,256,0.38729198184568836,0.3599986910994764,0.42729701276483745,0.4942084942084942,0.38204109459294133,0.6041406693136698
upwelling_supported_domain,random_forest,current_plus_trajectory,0.05,20,95,661,61,0.09228441754916793,0.07256833305256065,0.12212454238851575,0.6421052631578947,0.5,0.7575757575757576
upwelling_supported_domain,random_forest,current_plus_trajectory,0.1,20,179,661,106,0.16036308623298035,0.13405742535358828,0.20412010510565307,0.5921787709497207,0.49382523148148144,0.6776001821493625
upwelling_supported_domain,random_forest,current_plus_trajectory,0.2,20,349,661,195,0.2950075642965204,0.2599995131450828,0.3514128508406945,0.5587392550143266,0.4599942528735632,0.6507042253521127
upwelling_supported_domain,random_forest,current_plus_trajectory,0.3,20,518,661,264,0.39939485627836613,0.3577458519054398,0.4601125183865651,0.5096525096525096,0.4073301277839827,0.6094362084456424
