scope,model_family,outcome,outcome_label,axis,axis_label,n,cells,years,events,axis_mean,axis_sd,estimate_per_sd,standard_error,ci_low,ci_high,t_statistic,degrees_freedom,p_value,cell_clusters,year_clusters,q_value,ci_excludes_zero,supported_bh
primary_7p2km,logistic,oisst_brier_gain,OISST Brier-score improvement,rock_probability,Rock probability,424,52,17,151,0.6284210003183963,0.1780065536780605,-0.001689087021015303,0.005780428103054852,-0.013943047188448748,0.010564873146418142,-0.29220794565763236,16,0.7738826673543053,52,17,0.8932298699046558,False,False
primary_7p2km,logistic,oisst_brier_gain,OISST Brier-score improvement,depth_m,Depth,424,52,17,151,11.105097517007076,2.4904692216995223,-0.004558067373125828,0.004313517688240812,-0.01370231637871214,0.004586181632460485,-1.056693794383106,16,0.30634596145885473,52,17,0.7700578082855315,False,False
primary_7p2km,logistic,oisst_brier_gain,OISST Brier-score improvement,kelp_species_contrast,Bull-vs-giant kelp contrast,424,52,17,151,-1.0425781106455323,1.8791390467851712,-0.0009055912881293501,0.006640690510017789,-0.014983226290804355,0.013172043714545657,-0.13637004868141706,16,0.8932298699046558,52,17,0.8932298699046558,False,False
primary_7p2km,random_forest,trajectory_rank_quality_pp,Trajectory rank quality (pp),grazing_log1p,Urchin grazing pressure,424,52,17,151,3.042650800523827,2.4806707192087316,0.5048475043789338,1.9546443674723668,-3.6388134483187136,4.648508457076582,0.2582810012809509,16,0.7994829874658256,52,17,0.9929807006374152,False,False
primary_7p2km,random_forest,trajectory_rank_quality_pp,Trajectory rank quality (pp),rock_probability,Rock probability,424,52,17,151,0.6284210003183963,0.1780065536780605,0.12239810323260647,1.8818151415366722,-3.8668717874657803,4.111667993930993,0.06504257540018375,16,0.9489458435402401,52,17,0.9929807006374152,False,False
primary_7p2km,random_forest,trajectory_rank_quality_pp,Trajectory rank quality (pp),depth_m,Depth,424,52,17,151,11.105097517007076,2.4904692216995223,-0.017511135246795928,1.9596251476141493,-4.171730870161264,4.1367085996676725,-0.00893596169048749,16,0.9929807006374152,52,17,0.9929807006374152,False,False
primary_7p2km,random_forest,trajectory_rank_quality_pp,Trajectory rank quality (pp),kelp_species_contrast,Bull-vs-giant kelp contrast,424,52,17,151,-1.0425781106455323,1.8791390467851712,-1.189960719712191,2.3456190389012646,-6.162450950233248,3.7825295108088657,-0.5073120144307802,16,0.6188566520108031,52,17,0.9929807006374152,False,False
primary_7p2km,random_forest,trajectory_false_negative,False-negative probability,grazing_log1p,Urchin grazing pressure,151,45,16,151,3.293382789076161,2.4760239915943014,-0.013461877597799432,0.04398591274400381,-0.10721563132703832,0.08029187613143945,-0.3060497499767028,15,0.7637734757362051,45,16,0.8312485507022493,False,False
primary_7p2km,random_forest,trajectory_false_negative,False-negative probability,rock_probability,Rock probability,151,45,16,151,0.6267995585132451,0.18886525267198007,0.01699019277292773,0.04235372308013746,-0.07328463103899585,0.10726501658485132,0.401149923485607,15,0.6939662172467091,45,16,0.8312485507022493,False,False
primary_7p2km,random_forest,trajectory_false_negative,False-negative probability,depth_m,Depth,151,45,16,151,11.195203799569537,2.6962438038273095,0.00794049942379602,0.036617813358240416,-0.07010852221801821,0.08598952106561024,0.21684799543086594,15,0.8312485507022493,45,16,0.8312485507022493,False,False
primary_7p2km,random_forest,trajectory_false_negative,False-negative probability,kelp_species_contrast,Bull-vs-giant kelp contrast,151,45,16,151,-1.081815805855574,1.9623255620620788,0.023733703474783326,0.05947592585844743,-0.1030362316679514,0.15050363861751803,0.39904723015610527,15,0.6954818759184374,45,16,0.8312485507022493,False,False
primary_7p2km,random_forest,trajectory_false_positive,False-positive probability,grazing_log1p,Urchin grazing pressure,273,50,17,0,2.903967539456418,2.4723392523376155,-0.014482280571834934,0.025259014674289364,-0.06802899963296838,0.03906443848929852,-0.5733509702805689,16,0.5743780194097118,50,17,0.949916662924814,False,False
primary_7p2km,random_forest,trajectory_false_positive,False-positive probability,rock_probability,Rock probability,273,50,17,0,0.6293178417564103,0.17169917952563485,-0.0006824566658711487,0.02251420796179597,-0.04841044543185179,0.04704553210010949,-0.030312266237799677,16,0.9761929076788526,50,17,0.9761929076788526,False,False
primary_7p2km,random_forest,trajectory_false_positive,False-positive probability,depth_m,Depth,273,50,17,0,11.055258510901098,2.3675150678511048,-0.007453993126972693,0.01986661320241467,-0.049569331732350494,0.0346613454784051,-0.37520200605036713,16,0.7124374971936105,50,17,0.949916662924814,False,False
