cell_id,region_group,observed_years,event_opportunities,trajectory_false_negatives,trajectory_false_positives,mean_grazing_log1p,mean_rock_probability,mean_depth_m,mean_kelp_species_contrast,center_lat,center_lon,non_event_opportunities,trajectory_false_negative_rate,trajectory_false_positive_rate,repeated_false_negative,repeated_false_positive
westcoast_0112,Central California,5,0,0,0,2.224823326957582,0.722532337,10.9619316,1.4787571481284143,36.30919203316721,-121.9344342989187,5,,0.0,False,False
westcoast_0113,Central California,11,2,2,2,1.141874829256839,0.6365216029090909,11.082598015454545,0.2319167351075678,36.30919203316721,-121.8307926208066,9,1.0,0.2222222222222222,True,True
westcoast_0114,Central California,10,3,2,0,2.10701674888145,0.42348772435000004,11.463921580000001,-1.4923406420755638,36.21243348238883,-121.8307926208066,7,0.6666666666666666,0.0,True,False
westcoast_0115,Central California,2,0,0,0,0.0,0.481453647,8.178716695,-0.6019864021629682,36.21243348238883,-121.72715094269446,2,,0.0,False,False
westcoast_0117,Central California,8,2,2,0,0.5471568525144335,0.3621713885625,13.757204813749999,-0.8259051435208511,36.1157923449752,-121.62350926458232,6,1.0,0.0,True,False
westcoast_0118,Central California,7,3,3,0,0.0,0.672248357,12.28307708,1.3802992437285642,36.01926791776091,-121.62350926458232,4,1.0,0.0,True,False
westcoast_0124,Central California,4,0,0,1,0.08664339756999316,0.7761624069999999,11.709428035,3.4993649648013716,35.73038794955097,-121.31258423024596,4,,0.25,False,False
westcoast_0126,Central California,3,0,0,0,0.0,0.5580191773333334,8.845327740499998,-1.457688125835032,35.63432344288024,-121.20894255213382,3,,0.0,False,False
westcoast_0127,Central California,2,0,0,0,0.0,0.6511546015,9.359038590499999,-1.4031054140621384,35.63432344288024,-121.10530087402168,2,,0.0,False,False
westcoast_0128,Central California,6,2,2,0,0.0,0.7467246753333333,11.697422338333334,-0.4038652717175198,35.53837221356855,-121.10530087402168,4,1.0,0.0,True,False
westcoast_0131,Central California,6,2,2,0,0.0,0.6350292736666667,11.081683114166667,-0.789994387972413,35.442533591199684,-121.00165919590955,4,1.0,0.0,True,False
westcoast_0132,Central California,5,1,1,0,0.13862943611198905,0.515090515,10.61590888,-1.5453535927250286,35.442533591199684,-120.89801751779744,4,1.0,0.0,False,False
westcoast_0133,Central California,11,5,4,2,2.343931629065657,0.8548418101818183,12.50369485,0.3980129950445479,35.251191511764766,-120.89801751779744,6,0.8,0.3333333333333333,True,True
westcoast_0135,Central California,11,3,2,2,1.9875799658352198,0.6584363653636364,10.849974339545454,1.2192349790989987,35.15568673982614,-120.7943758396853,8,0.6666666666666666,0.25,True,True
westcoast_0142,Central California,8,3,1,0,0.7142345895667259,0.5591667204999999,11.93060799,-1.3768234385691713,34.490196928497724,-120.48345080534892,5,0.3333333333333333,0.0,False,False
westcoast_0143,Central California,10,3,2,0,0.2311619854648014,0.5068589936,10.6681693401,-2.406926040080415,34.490196928497724,-120.3798091272368,7,0.6666666666666666,0.0,True,False
westcoast_0149,Southern California,6,2,2,0,0.0,0.720057072,11.382233899999997,-2.21857542609061,34.39555419180061,-120.3798091272368,4,1.0,0.0,True,False
westcoast_0150,Southern California,12,5,3,0,5.054876601179007,0.41744856199999997,14.183154199999999,-1.4647559726872583,34.39555419180061,-119.96524241478828,7,0.6,0.0,True,False
westcoast_0154,Southern California,8,4,3,1,4.9107957759924705,0.597875783,11.75464413,-1.075416100235808,34.39555419180061,-119.55067570233976,4,0.75,0.25,True,False
westcoast_0163,Southern California,11,5,4,1,4.872062444125803,0.7745996653636363,10.046221557818184,-2.311067502391872,34.01802674107998,-120.3798091272368,6,0.8,0.16666666666666666,True,False
westcoast_0167,Southern California,14,7,7,0,5.838412490171868,0.401211767,10.45641318,-1.6051706664536958,34.01802674107998,-119.96524241478828,7,1.0,0.0,True,False
westcoast_0168,Southern California,14,7,6,0,5.045729850719305,0.4055372823928571,10.560503005714285,-1.6709166419521357,34.01802674107998,-119.86160073667617,7,0.8571428571428571,0.0,True,False
westcoast_0170,Southern California,12,3,2,3,5.5541865177401535,0.331307673,7.7264150395,-1.4598440019133,34.01802674107998,-119.6543173804519,9,0.6666666666666666,0.3333333333333333,True,True
westcoast_0171,Southern California,15,5,4,0,5.716346759655498,0.5015046672333334,10.801574739466668,-1.250164113127087,34.01802674107998,-119.55067570233976,10,0.8,0.0,True,False
westcoast_0172,Southern California,14,5,3,0,5.236485698956892,0.37292244,13.290662764999999,-1.4988146786693655,34.01802674107998,-119.44703402422763,9,0.6,0.0,True,False
westcoast_0173,Southern California,16,7,3,0,5.319197247630319,0.5630695995,9.3486263015,-1.909050658504765,34.01802674107998,-119.34339234611552,9,0.42857142857142855,0.0,True,False
westcoast_0175,Southern California,7,3,3,0,5.444065104899778,0.4154392655,9.685765482357143,-1.567359957616894,34.01802674107998,-118.928825633667,4,1.0,0.0,True,False
westcoast_0176,Southern California,7,3,2,1,4.436159640974784,0.44290055285714286,8.422991127714285,-2.0196584423105284,34.01802674107998,-118.82518395555488,4,0.6666666666666666,0.25,True,False
westcoast_0180,Southern California,11,5,4,0,4.867850588563149,0.929836748,13.46042634,-2.2476177453832658,33.92390275240732,-120.17252577101254,6,0.8,0.0,True,False
westcoast_0181,Southern California,11,5,5,1,4.108562520795758,0.8738520524090909,13.871807220181818,-2.5025472459727482,33.92390275240732,-120.06888409290042,6,1.0,0.16666666666666666,True,False
westcoast_0183,Southern California,14,5,5,0,5.400345840042742,0.7758556719999999,14.58049542,-3.08985889683849,33.92390275240732,-119.86160073667617,9,1.0,0.0,True,False
westcoast_0186,Southern California,13,6,6,0,2.1404778551682826,0.7968249206153846,14.008528119615384,-2.702919011747336,33.82988072885374,-118.41061724310636,7,1.0,0.0,True,False
westcoast_0187,Southern California,14,5,1,2,3.076190351550242,0.7798408054285714,13.06168397,-2.4231657951928334,33.735960085801395,-118.41061724310636,9,0.2,0.2222222222222222,False,True
westcoast_0188,Southern California,11,4,4,1,2.1934744341613466,0.46636408118181816,10.204748914,-2.300675965297144,33.735960085801395,-118.30697556499425,7,1.0,0.14285714285714285,True,False
westcoast_0192,Southern California,3,0,0,1,1.8852686330282307,0.7165734798333333,10.228425692499998,-2.1040117894159467,33.548420624085935,-117.7887671744336,3,,0.3333333333333333,False,False
westcoast_0193,Southern California,4,1,1,0,4.843740957387132,0.552523424875,13.57057743825,-1.7628111564282456,33.45480065740509,-119.03246731177911,3,1.0,0.0,False,False
westcoast_0195,Southern California,4,1,1,0,0.5852664033905275,0.697092891,14.87812651,-1.8941503421556183,33.45480065740509,-118.51425892121848,3,1.0,0.0,False,False
westcoast_0222,Southern California,1,1,1,0,0.4864775372638283,0.512825756,9.090256231,-1.3996054897495935,32.89514204160861,-117.27055878387296,0,1.0,,False,False
westcoast_0226,Southern California,4,2,2,0,0.519860385419959,0.789181115,14.09555536,-0.9825231321840207,32.80220396879992,-117.27055878387296,2,1.0,0.0,True,False
westcoast_0227,Southern California,4,3,3,0,0.6337685809133845,0.68001652725,13.517545003750001,-1.0397207708399179,32.70936111829159,-117.27055878387296,1,1.0,0.0,True,False
westcoast_0228,Southern California,2,1,0,0,1.6448128030025253,0.601736292,11.24760734,-2.2235647062506763,32.616612953897764,-117.27055878387296,1,0.0,0.0,False,False
