scope,model_family,feature_set,year,n,events,prevalence,ap_lift
full_165_domain,random_forest,trajectory_plus_oisst,2015,120,59,0.49166666666666664,0.2385425438551519
full_165_domain,random_forest,trajectory_plus_oisst,2016,111,37,0.3333333333333333,0.3206290846371895
full_165_domain,random_forest,trajectory_plus_oisst,2017,122,17,0.13934426229508196,0.08048280540945207
full_165_domain,random_forest,trajectory_plus_oisst,2018,134,104,0.7761194029850746,0.10342020260725149
full_165_domain,random_forest,trajectory_plus_oisst,2019,93,29,0.3118279569892473,0.2924486775603083
full_165_domain,random_forest,trajectory_plus_oisst,2020,117,41,0.3504273504273504,0.17637023459281476
full_165_domain,random_forest,trajectory_plus_oisst,2021,117,38,0.3247863247863248,0.18795864371347176
full_165_domain,xgboost,current_only,2005,144,89,0.6180555555555556,0.11252154664902447
full_165_domain,xgboost,current_only,2006,133,19,0.14285714285714285,0.2616741168691799
full_165_domain,xgboost,current_only,2007,158,47,0.2974683544303797,0.21575812540733202
full_165_domain,xgboost,current_only,2008,160,40,0.25,0.24494773406503867
full_165_domain,xgboost,current_only,2009,160,79,0.49375,0.09577326657027785
full_165_domain,xgboost,current_only,2010,158,77,0.4873417721518987,0.14895588551600242
full_165_domain,xgboost,current_only,2011,141,51,0.3617021276595745,0.18854662223181534
full_165_domain,xgboost,current_only,2012,144,26,0.18055555555555555,0.27681452233011083
full_165_domain,xgboost,current_only,2013,159,97,0.610062893081761,0.1360784163257961
full_165_domain,xgboost,current_only,2014,144,53,0.3680555555555556,0.18123506001614786
full_165_domain,xgboost,current_only,2015,120,59,0.49166666666666664,0.20840295225645883
full_165_domain,xgboost,current_only,2016,111,37,0.3333333333333333,0.24910468067757802
full_165_domain,xgboost,current_only,2017,122,17,0.13934426229508196,0.041927464338786025
full_165_domain,xgboost,current_only,2018,134,104,0.7761194029850746,0.1038903547901423
full_165_domain,xgboost,current_only,2019,93,29,0.3118279569892473,0.27628211637109307
full_165_domain,xgboost,current_only,2020,117,41,0.3504273504273504,0.06144941467955761
