validation_scheme,heldout_band,target_definition,train_rows,test_rows,train_positive_count,test_positive_count,pr_auc,roc_auc,recall,precision,f1,f2,false_negatives,false_positives,true_positives,true_negatives,feature_family,model,decision_threshold,status,notes
three_band_holdout,band_3_north,at_risk_original,950,209,292,49,0.240288,0.510587,0.020408,0.142857,0.035714,0.024631,48,6,1,154,canopy_relative,Random Forest,0.580716,computed,Cell-relative/anomaly repair features; threshold selected on non-held-out bands.
three_band_holdout,band_3_north,at_risk_original,950,209,292,49,0.218800,0.451786,0.857143,0.225806,0.357447,0.549738,7,144,42,16,thermal_absolute,Logistic Regression,0.481951,computed,Cell-relative/anomaly repair features; threshold selected on non-held-out bands.
three_band_holdout,band_3_north,at_risk_original,950,209,292,49,0.242881,0.492347,0.020408,0.333333,0.038462,0.025126,48,2,1,158,thermal_absolute,Random Forest,0.602432,computed,Cell-relative/anomaly repair features; threshold selected on non-held-out bands.
three_band_holdout,band_3_north,at_risk_original,950,209,292,49,0.225846,0.462372,0.571429,0.277228,0.373333,0.471380,21,73,28,87,thermal_relative,Logistic Regression,0.425341,computed,Cell-relative/anomaly repair features; threshold selected on non-held-out bands.
three_band_holdout,band_3_north,at_risk_original,950,209,292,49,0.251614,0.563839,0.142857,0.170732,0.155556,0.147679,42,34,7,126,thermal_relative,Random Forest,0.565340,computed,Cell-relative/anomaly repair features; threshold selected on non-held-out bands.
three_band_holdout,band_3_north,at_risk_original,950,209,292,49,0.263323,0.539031,0.142857,0.259259,0.184211,0.156951,42,20,7,140,trajectory_absolute,Logistic Regression,0.486045,computed,Cell-relative/anomaly repair features; threshold selected on non-held-out bands.
three_band_holdout,band_3_north,at_risk_original,950,209,292,49,0.262131,0.497959,0.061224,0.500000,0.109091,0.074257,46,3,3,157,trajectory_absolute,Random Forest,0.571965,computed,Cell-relative/anomaly repair features; threshold selected on non-held-out bands.
three_band_holdout,band_3_north,at_risk_original,950,209,292,49,0.245438,0.525000,0.530612,0.242991,0.333333,0.429043,23,81,26,79,trajectory_relative,Logistic Regression,0.433682,computed,Cell-relative/anomaly repair features; threshold selected on non-held-out bands.
three_band_holdout,band_3_north,at_risk_original,950,209,292,49,0.242017,0.506569,0.040816,0.250000,0.070175,0.049020,47,6,2,154,trajectory_relative,Random Forest,0.590853,computed,Cell-relative/anomaly repair features; threshold selected on non-held-out bands.
three_band_holdout,band_3_north,at_risk_original,950,209,292,49,0.451026,0.615944,0.428571,0.446809,0.437500,0.432099,28,26,21,134,relative_dynamic_combined,Logistic Regression,0.502542,computed,Cell-relative/anomaly repair features; threshold selected on non-held-out bands.
