pr_auc,roc_auc,recall,precision,f1,balanced_accuracy,false_negatives,false_positives,true_positives,true_negatives,target_definition,feature_family,model,n_train,n_validation,n_test,positive_events_test,event_prevalence_test,decision_threshold,status
0.5485558939134398,0.5134259259259258,0.3333333333333333,0.5172413793103449,0.40540540540540543,0.5208333333333334,30,14,15,34,at_risk_original_gt005,crw_composite_only,Logistic Regression L2,955,111,93,45,0.4838709677419355,0.5571412140156593,computed
0.40582575845945906,0.3662037037037037,0.35555555555555557,0.45714285714285713,0.4,0.47986111111111107,29,19,16,29,at_risk_original_gt005,crw_composite_only,Random Forest,955,111,93,45,0.4838709677419355,0.2956166213960331,computed
0.6383849810369943,0.6398148148148148,0.3333333333333333,0.5769230769230769,0.4225352112676056,0.5520833333333334,30,11,15,37,at_risk_original_gt005,canopy_trajectory_plus_crw,Logistic Regression L2,955,111,93,45,0.4838709677419355,0.5334786121505053,computed
0.4921934593984329,0.4407407407407407,0.24444444444444444,0.5,0.3283582089552239,0.5076388888888889,34,11,11,37,at_risk_original_gt005,canopy_trajectory_plus_crw,Random Forest,955,111,93,45,0.4838709677419355,0.4281918914418916,computed
0.7640798578978016,0.7138888888888888,0.5555555555555556,0.78125,0.6493506493506493,0.7048611111111112,20,7,25,41,at_risk_original_gt005,habitat_only,Logistic Regression L2,955,111,93,45,0.4838709677419355,0.4972393463684409,computed
0.6613764027896,0.7148148148148149,0.6666666666666666,0.6976744186046512,0.6818181818181818,0.6979166666666666,15,13,30,35,at_risk_original_gt005,habitat_only,Random Forest,955,111,93,45,0.4838709677419355,0.5220273986949993,computed
0.6711600834818264,0.7282407407407407,0.6888888888888889,0.6595744680851063,0.6739130434782609,0.6777777777777778,14,16,31,32,at_risk_original_gt005,canopy_trajectory_plus_habitat,Logistic Regression L2,955,111,93,45,0.4838709677419355,0.4902017131901405,computed
0.6203009184485426,0.5935185185185186,0.5111111111111111,0.5476190476190477,0.5287356321839081,0.5576388888888888,22,19,23,29,at_risk_original_gt005,canopy_trajectory_plus_habitat,Random Forest,955,111,93,45,0.4838709677419355,0.44365965515965505,computed
0.6553996363031867,0.6416666666666666,0.35555555555555557,0.6153846153846154,0.4507042253521127,0.5736111111111111,29,10,16,38,at_risk_original_gt005,canopy_trajectory_plus_crw_plus_habitat,Logistic Regression L2,955,111,93,45,0.4838709677419355,0.5418330614518652,computed
0.48419117266267436,0.46111111111111114,0.15555555555555556,0.4666666666666667,0.23333333333333334,0.49444444444444446,38,8,7,40,at_risk_original_gt005,canopy_trajectory_plus_crw_plus_habitat,Random Forest,955,111,93,45,0.4838709677419355,0.4400798553298552,computed
0.0823146873651066,0.22325375773651637,0.9615384615384616,0.12626262626262627,0.22321428571428573,0.4836427939876216,1,173,25,1,new_decline_transition,naive_persistence_baseline,current_low_canopy_score,1400,200,200,26,0.13,0.52658882,computed
0.4067732255388687,0.7754199823165341,0.3076923076923077,0.47058823529411764,0.37209302325581395,0.6279840848806366,18,9,8,165,new_decline_transition,existing_canopy_only,Logistic Regression L2,1400,200,200,26,0.13,0.548846987620538,computed
0.40419357062603156,0.8136604774535809,0.6538461538461539,0.3617021276595745,0.4657534246575342,0.7407161803713528,9,30,17,144,new_decline_transition,existing_canopy_only,Random Forest,1400,200,200,26,0.13,0.45594456659897786,computed
0.32374733814451395,0.7698938992042441,0.0,0.0,0.0,0.5,26,0,0,174,new_decline_transition,canopy_trajectory_only,Logistic Regression L2,1400,200,200,26,0.13,0.6969554072528669,computed
0.35937476399510954,0.8123342175066313,0.6923076923076923,0.3103448275862069,0.42857142857142855,0.731211317418214,8,40,18,134,new_decline_transition,canopy_trajectory_only,Random Forest,1400,200,200,26,0.13,0.36391341991341974,computed
0.1952283043774929,0.42175066312997345,0.3076923076923077,0.08333333333333333,0.13114754098360656,0.400972590627763,18,88,8,86,new_decline_transition,crw_composite_only,Logistic Regression L2,1400,200,200,26,0.13,0.54427529318473,computed
0.1218945617293995,0.36427939876215737,0.07692307692307693,0.15384615384615385,0.10256410256410256,0.5068523430592397,24,11,2,163,new_decline_transition,crw_composite_only,Random Forest,1400,200,200,26,0.13,0.4302081843165435,computed
0.36446945800745667,0.7245800176834659,0.038461538461538464,1.0,0.07407407407407407,0.5192307692307693,25,0,1,174,new_decline_transition,canopy_trajectory_plus_crw,Logistic Regression L2,1400,200,200,26,0.13,0.7191362023738284,computed
0.19099566588702793,0.6412466843501327,0.0,0.0,0.0,0.49712643678160917,26,1,0,173,new_decline_transition,canopy_trajectory_plus_crw,Random Forest,1400,200,200,26,0.13,0.5437508001258001,computed
0.11696585320921689,0.4593280282935456,0.07692307692307693,0.0625,0.06896551724137931,0.45225464190981435,24,30,2,144,new_decline_transition,habitat_only,Logistic Regression L2,1400,200,200,26,0.13,0.5329948023914338,computed
0.1410490679857781,0.48850574712643674,0.5769230769230769,0.12931034482758622,0.2112676056338028,0.49823165340406717,11,101,15,73,new_decline_transition,habitat_only,Random Forest,1400,200,200,26,0.13,0.4809223864981173,computed
0.3861799707793551,0.7690097259062776,0.5769230769230769,0.32608695652173914,0.4166666666666667,0.6993810786914235,11,31,15,143,new_decline_transition,canopy_trajectory_plus_habitat,Logistic Regression L2,1400,200,200,26,0.13,0.5127262134242015,computed
0.3518801416070772,0.842396109637489,0.7307692307692307,0.3333333333333333,0.4578313253012048,0.7561892130857648,7,38,19,136,new_decline_transition,canopy_trajectory_plus_habitat,Random Forest,1400,200,200,26,0.13,0.37804791613615113,computed
0.4189541858296988,0.7320954907161804,0.038461538461538464,1.0,0.07407407407407407,0.5192307692307693,25,0,1,174,new_decline_transition,canopy_trajectory_plus_crw_plus_habitat,Logistic Regression L2,1400,200,200,26,0.13,0.7368547278140993,computed
0.22882373821565566,0.7192749778956675,0.0,0.0,0.0,0.49137931034482757,26,3,0,171,new_decline_transition,canopy_trajectory_plus_crw_plus_habitat,Random Forest,1400,200,200,26,0.13,0.5290156880156883,computed
0.09907694881832191,0.1073706591070163,0.9705882352941176,0.16666666666666666,0.28448275862068967,0.4883061658398299,1,165,33,1,actionable_decline_drop,naive_persistence_baseline,current_low_canopy_score,1400,200,200,34,0.17,0.52658882,computed
0.5787946996161872,0.8740255138199858,0.7647058823529411,0.5306122448979592,0.6265060240963856,0.8130758327427356,8,23,26,143,actionable_decline_drop,existing_canopy_only,Logistic Regression L2,1400,200,200,34,0.17,0.38201988157605277,computed
0.5183124531933297,0.8662296243798724,0.5294117647058824,0.5454545454545454,0.5373134328358209,0.719525159461375,16,15,18,151,actionable_decline_drop,existing_canopy_only,Random Forest,1400,200,200,34,0.17,0.5314400419897627,computed
0.49182605937229723,0.8768603827072998,0.5,0.5666666666666667,0.53125,0.7108433734939759,17,13,17,153,actionable_decline_drop,canopy_trajectory_only,Logistic Regression L2,1400,200,200,34,0.17,0.5791421105213054,computed
0.5331453053016708,0.874202693125443,0.8235294117647058,0.4444444444444444,0.5773195876288659,0.806343019135365,6,35,28,131,actionable_decline_drop,canopy_trajectory_only,Random Forest,1400,200,200,34,0.17,0.3236284271284272,computed
0.18392716733284187,0.5689227498228207,0.6764705882352942,0.23958333333333334,0.35384615384615387,0.618355776045358,11,73,23,93,actionable_decline_drop,crw_composite_only,Logistic Regression L2,1400,200,200,34,0.17,0.5557908118361249,computed
0.13219828066698702,0.3233522324592488,0.29411764705882354,0.08928571428571429,0.136986301369863,0.33982990786676115,24,102,10,64,actionable_decline_drop,crw_composite_only,Random Forest,1400,200,200,34,0.17,0.28731481481481486,computed
0.47377894252744357,0.8410701630049611,0.20588235294117646,0.5,0.2916666666666667,0.5818568391211907,27,7,7,159,actionable_decline_drop,canopy_trajectory_plus_crw,Logistic Regression L2,1400,200,200,34,0.17,0.7373831388758818,computed
0.42585272252760065,0.8467399007795889,0.4411764705882353,0.45454545454545453,0.44776119402985076,0.6663713678242381,19,18,15,148,actionable_decline_drop,canopy_trajectory_plus_crw,Random Forest,1400,200,200,34,0.17,0.4705529701779704,computed
0.15186072882810706,0.42841956059532244,1.0,0.17,0.2905982905982906,0.5,0,166,34,0,actionable_decline_drop,habitat_only,Logistic Regression L2,1400,200,200,34,0.17,0.4155240660700058,computed
0.1709003561834761,0.4709425939050319,1.0,0.17,0.2905982905982906,0.5,0,166,34,0,actionable_decline_drop,habitat_only,Random Forest,1400,200,200,34,0.17,0.0,computed
