feature_1,feature_2,correlation,abs_correlation
oisst_nearest_hot_days_p90_mean,oisst_50km_hot_days_p90_mean,0.9941454652411919,0.9941454652411919
lag1_oisst_30km_hot_days_p90_mean,lag1_oisst_75km_hot_days_p90_mean,0.9933269848054934,0.9933269848054934
oisst_30km_hot_days_p90_mean,oisst_75km_hot_days_p90_mean,0.9932918683492644,0.9932918683492644
lag1_oisst_25km_hot_days_p90_mean,lag1_oisst_75km_hot_days_p90_mean,0.9921675885982628,0.9921675885982628
oisst_25km_hot_days_p90_mean,oisst_75km_hot_days_p90_mean,0.9921277581519726,0.9921277581519726
lag1_oisst_10km_hot_days_p90_mean,lag1_oisst_75km_hot_days_p90_mean,0.9905444041778756,0.9905444041778756
oisst_10km_hot_days_p90_mean,oisst_75km_hot_days_p90_mean,0.9903285255427022,0.9903285255427022
lag1_oisst_nearest_hot_days_p90_mean,lag1_oisst_75km_hot_days_p90_mean,0.9896639898040432,0.9896639898040432
oisst_nearest_hot_days_p90_mean,oisst_75km_hot_days_p90_mean,0.9894760392659243,0.9894760392659243
oisst_75km_annual_mean_sst_anomaly_mean,oisst_75km_hot_days_p90_mean,0.8719801608599795,0.8719801608599795
oisst_50km_annual_mean_sst_anomaly_mean,oisst_75km_hot_days_p90_mean,0.8713122241639822,0.8713122241639822
oisst_50km_annual_mean_sst_anomaly_mean,oisst_50km_hot_days_p90_mean,0.8703357577594475,0.8703357577594475
oisst_30km_annual_mean_sst_anomaly_mean,oisst_75km_hot_days_p90_mean,0.8695807495544975,0.8695807495544975
oisst_25km_annual_mean_sst_anomaly_mean,oisst_75km_hot_days_p90_mean,0.8693066289491425,0.8693066289491425
oisst_25km_annual_mean_sst_anomaly_mean,oisst_50km_hot_days_p90_mean,0.8691691167611741,0.8691691167611741
oisst_30km_annual_mean_sst_anomaly_mean,oisst_50km_hot_days_p90_mean,0.8691593218644629,0.8691593218644629
oisst_50km_hot_days_p90_mean,oisst_75km_annual_mean_sst_anomaly_mean,0.8683882479674419,0.8683882479674419
oisst_nearest_annual_mean_sst_anomaly_mean,oisst_50km_hot_days_p90_mean,0.8683729158102991,0.8683729158102991
oisst_30km_annual_mean_sst_anomaly_mean,oisst_30km_hot_days_p90_mean,0.8682721614204907,0.8682721614204907
oisst_nearest_annual_mean_sst_anomaly_mean,oisst_75km_hot_days_p90_mean,0.8681253960908631,0.8681253960908631
oisst_10km_annual_mean_sst_anomaly_mean,oisst_75km_hot_days_p90_mean,0.8680285069949076,0.8680285069949076
oisst_25km_annual_mean_sst_anomaly_mean,oisst_30km_hot_days_p90_mean,0.8679478031906193,0.8679478031906193
oisst_25km_annual_mean_sst_anomaly_mean,oisst_25km_hot_days_p90_mean,0.8677797628748397,0.8677797628748397
oisst_10km_annual_mean_sst_anomaly_mean,oisst_50km_hot_days_p90_mean,0.8674930447142085,0.8674930447142085
oisst_10km_annual_mean_sst_anomaly_mean,oisst_10km_hot_days_p90_mean,0.8673846666767743,0.8673846666767743
oisst_nearest_annual_mean_sst_anomaly_mean,oisst_10km_hot_days_p90_mean,0.8673846666767743,0.8673846666767743
oisst_nearest_hot_days_p90_mean,oisst_10km_annual_mean_sst_anomaly_mean,0.8673846666767743,0.8673846666767743
oisst_nearest_annual_mean_sst_anomaly_mean,oisst_nearest_hot_days_p90_mean,0.8672334425875146,0.8672334425875146
oisst_10km_hot_days_p90_mean,oisst_25km_annual_mean_sst_anomaly_mean,0.8671558218118444,0.8671558218118444
oisst_25km_hot_days_p90_mean,oisst_30km_annual_mean_sst_anomaly_mean,0.8671343122538624,0.8671343122538624
oisst_10km_hot_days_p90_mean,oisst_30km_annual_mean_sst_anomaly_mean,0.8669982340722653,0.8669982340722653
oisst_30km_hot_days_p90_mean,oisst_50km_annual_mean_sst_anomaly_mean,0.8668683201096806,0.8668683201096806
oisst_nearest_annual_mean_sst_anomaly_mean,oisst_30km_hot_days_p90_mean,0.8668471584866759,0.8668471584866759
oisst_10km_hot_days_p90_mean,oisst_50km_annual_mean_sst_anomaly_mean,0.8666624677053802,0.8666624677053802
oisst_nearest_annual_mean_sst_anomaly_mean,oisst_25km_hot_days_p90_mean,0.8665959701095853,0.8665959701095853
oisst_25km_hot_days_p90_mean,oisst_50km_annual_mean_sst_anomaly_mean,0.8660359303542188,0.8660359303542188
oisst_nearest_hot_days_p90_mean,oisst_25km_annual_mean_sst_anomaly_mean,0.8658229279346867,0.8658229279346867
oisst_nearest_hot_days_p90_mean,oisst_30km_annual_mean_sst_anomaly_mean,0.8652751992149902,0.8652751992149902
oisst_10km_annual_mean_sst_anomaly_mean,oisst_30km_hot_days_p90_mean,0.8649707470042353,0.8649707470042353
oisst_10km_annual_mean_sst_anomaly_mean,oisst_25km_hot_days_p90_mean,0.8649222789931708,0.8649222789931708
oisst_10km_hot_days_p90_mean,oisst_75km_annual_mean_sst_anomaly_mean,0.8647141627917768,0.8647141627917768
oisst_nearest_hot_days_p90_mean,oisst_50km_annual_mean_sst_anomaly_mean,0.8644743792630271,0.8644743792630271
oisst_30km_hot_days_p90_mean,oisst_75km_annual_mean_sst_anomaly_mean,0.8644122512459278,0.8644122512459278
oisst_25km_hot_days_p90_mean,oisst_75km_annual_mean_sst_anomaly_mean,0.8632296891424143,0.8632296891424143
oisst_nearest_hot_days_p90_mean,oisst_75km_annual_mean_sst_anomaly_mean,0.8613099187420904,0.8613099187420904
