target_definition,feature_family,model,n_train,n_test,positive_events_test,event_prevalence_test,pr_auc,roc_auc,recall,precision,f1,balanced_accuracy,status
new_decline_transition,canopy_plus_crw_composite,Logistic Regression L2,1400,200,26,0.13,0.30336160252672917,0.5645446507515474,0.46153846153846156,0.23529411764705882,0.3116883116883117,0.6187002652519894,computed
new_decline_transition,canopy_plus_crw_composite,Random Forest,1400,200,26,0.13,0.19112614841097067,0.5775862068965518,0.11538461538461539,0.375,0.17647058823529413,0.5433244916003537,computed
actionable_decline_drop,oisst_only,Logistic Regression L2,1400,200,34,0.17,0.5432299710943455,0.8695074415308293,1.0,0.40476190476190477,0.576271186440678,0.8493975903614458,computed
actionable_decline_drop,oisst_only,Random Forest,1400,200,34,0.17,0.11568539494592439,0.2585931963146705,0.08823529411764706,0.039473684210526314,0.05454545454545454,0.32423812898653437,computed
actionable_decline_drop,crw_composite_only,Logistic Regression L2,1400,200,34,0.17,0.18030836525577337,0.5527994330262225,0.6470588235294118,0.2018348623853211,0.3076923076923077,0.5614812189936216,computed
actionable_decline_drop,crw_composite_only,Random Forest,1400,200,34,0.17,0.13262991554175882,0.36392629340892985,0.08823529411764706,0.09375,0.09090909090909091,0.4567682494684621,computed
actionable_decline_drop,oisst_plus_crw_composite,Logistic Regression L2,1400,200,34,0.17,0.43395827315928387,0.7882707299787385,0.7352941176470589,0.30864197530864196,0.43478260869565216,0.6989723600283487,computed
actionable_decline_drop,oisst_plus_crw_composite,Random Forest,1400,200,34,0.17,0.1376893865539704,0.37437987243090004,0.08823529411764706,0.08333333333333333,0.08571428571428572,0.44472005669737774,computed
actionable_decline_drop,canopy_only,Logistic Regression L2,1400,200,34,0.17,0.5787946996161872,0.8740255138199858,0.4411764705882353,0.5555555555555556,0.4918032786885246,0.6844436569808646,computed
actionable_decline_drop,canopy_only,Random Forest,1400,200,34,0.17,0.5183124531933297,0.8662296243798724,0.5588235294117647,0.5135135135135135,0.5352112676056338,0.7251948972360028,computed
actionable_decline_drop,canopy_plus_crw_composite,Logistic Regression L2,1400,200,34,0.17,0.395549212398513,0.7599220411055989,0.4117647058823529,0.3333333333333333,0.3684210526315789,0.6215450035435861,computed
actionable_decline_drop,canopy_plus_crw_composite,Random Forest,1400,200,34,0.17,0.350080669786821,0.8040396881644225,0.20588235294117646,0.3684210526315789,0.2641509433962264,0.5667965981573352,computed
