validation_scheme,target_definition,feature_family,model,mean_pr_auc,min_pr_auc,mean_recall,min_recall,mean_precision,min_precision,mean_f2,min_f2,total_false_negatives,total_positives_across_heldout_folds,pr_auc_std,recall_std,valid_folds,stability_score
five_band_holdout,new_transition,thermal_relative,Logistic Regression,0.173139,0.131544,0.630309,0.517241,0.181129,0.134529,0.420551,0.329670,113,317,0.032341,0.134519,5,0.210728
five_band_holdout,new_transition,thermal_absolute,Logistic Regression,0.254876,0.147474,0.634798,0.310345,0.163890,0.127660,0.390215,0.241287,116,317,0.068047,0.210569,5,0.200991
five_band_holdout,new_transition,trajectory_relative,Random Forest,0.251167,0.180646,0.131138,0.068966,0.268849,0.142857,0.145132,0.080645,275,317,0.045077,0.041518,5,0.196300
five_band_holdout,new_transition,canopy_relative,Random Forest,0.287880,0.193271,0.129457,0.017241,0.289638,0.100000,0.144855,0.020661,274,317,0.070390,0.070926,5,0.191397
five_band_holdout,new_transition,canopy_absolute_baseline,Random Forest,0.238985,0.171624,0.108271,0.000000,0.155224,0.000000,0.113477,0.000000,279,317,0.048569,0.112156,5,0.166767
five_band_holdout,original_decline,relative_dynamic_combined,Random Forest,0.706049,0.507064,0.523680,0.410256,0.708410,0.482353,0.549688,0.450704,310,658,0.113802,0.083385,5,0.608359
five_band_holdout,original_decline,relative_dynamic_plus_habitat_context,Random Forest,0.694848,0.507419,0.476890,0.358974,0.720409,0.530303,0.508392,0.403458,344,658,0.115229,0.084633,5,0.596761
five_band_holdout,original_decline,thermal_absolute,Random Forest,0.641991,0.503448,0.526789,0.188235,0.664428,0.497326,0.526961,0.222222,296,658,0.095618,0.211847,5,0.549442
five_band_holdout,original_decline,relative_dynamic_combined,Logistic Regression,0.560311,0.393076,0.681694,0.588235,0.464579,0.314465,0.615441,0.501002,201,658,0.111596,0.116344,5,0.507167
five_band_holdout,original_decline,thermal_relative,Random Forest,0.530566,0.381938,0.502358,0.442748,0.526418,0.302817,0.500486,0.446058,332,658,0.077026,0.063175,5,0.485750
five_band_holdout,original_decline,canopy_relative,Logistic Regression,0.560709,0.363849,0.727830,0.639640,0.429250,0.261364,0.625487,0.531437,181,658,0.149164,0.057026,5,0.481792
five_band_holdout,original_decline,thermal_relative,Logistic Regression,0.449953,0.335228,0.723251,0.625954,0.426205,0.263941,0.619990,0.564738,187,658,0.089745,0.076420,5,0.467438
five_band_holdout,original_decline,relative_dynamic_plus_habitat_context,Logistic Regression,0.539892,0.376358,0.613322,0.411765,0.485257,0.340708,0.573107,0.402299,243,658,0.117181,0.132532,5,0.465214
five_band_holdout,original_decline,thermal_absolute,Logistic Regression,0.516552,0.338035,0.721286,0.517647,0.430527,0.376289,0.634181,0.483516,164,658,0.107655,0.124913,5,0.448149
five_band_holdout,original_decline,trajectory_absolute,Logistic Regression,0.500730,0.314920,0.772365,0.594595,0.426217,0.305419,0.660730,0.516432,136,658,0.174697,0.116247,5,0.426558
five_band_holdout,original_decline,canopy_absolute_baseline,Logistic Regression,0.491250,0.296142,0.874092,0.576923,0.378042,0.236311,0.668103,0.559006,88,658,0.170547,0.161415,5,0.418839
five_band_holdout,original_decline,trajectory_relative,Logistic Regression,0.533607,0.329181,0.743958,0.468468,0.412131,0.245098,0.610270,0.413355,167,658,0.167251,0.218430,5,0.415795
five_band_holdout,original_decline,trajectory_absolute,Random Forest,0.548373,0.362065,0.463407,0.250000,0.539888,0.368932,0.472651,0.278174,346,658,0.181953,0.157016,5,0.413413
five_band_holdout,original_decline,canopy_relative,Random Forest,0.538526,0.329638,0.398150,0.247059,0.499738,0.287671,0.414262,0.254237,383,658,0.161469,0.128027,5,0.377051
five_band_holdout,original_decline,canopy_absolute_baseline,Random Forest,0.503077,0.329939,0.448715,0.160256,0.462828,0.299320,0.438002,0.184911,361,658,0.151379,0.192978,5,0.361029
five_band_holdout,original_decline,trajectory_relative,Random Forest,0.497705,0.256651,0.371585,0.076923,0.478907,0.276190,0.377226,0.092736,408,658,0.192977,0.189080,5,0.260538
three_band_holdout,actionable_drop,relative_dynamic_combined,Random Forest,0.592711,0.538005,0.407933,0.386364,0.602060,0.578947,0.435746,0.414634,278,470,0.038701,0.019815,3,0.637793
three_band_holdout,actionable_drop,relative_dynamic_plus_habitat_context,Random Forest,0.607246,0.517947,0.450560,0.363636,0.615997,0.559701,0.473695,0.400000,255,470,0.068801,0.061467,3,0.611066
three_band_holdout,actionable_drop,trajectory_absolute,Logistic Regression,0.546314,0.445735,0.758635,0.681818,0.488685,0.382550,0.676600,0.629139,109,470,0.071863,0.066526,3,0.595833
three_band_holdout,actionable_drop,canopy_absolute_baseline,Logistic Regression,0.560764,0.421341,0.833548,0.757576,0.488350,0.320713,0.707214,0.681173,78,470,0.131759,0.081974,3,0.578458
three_band_holdout,actionable_drop,relative_dynamic_plus_habitat_context,Logistic Regression,0.494699,0.457000,0.585979,0.515152,0.455826,0.387097,0.546712,0.495627,195,470,0.040966,0.088345,3,0.576810
three_band_holdout,actionable_drop,relative_dynamic_combined,Logistic Regression,0.514965,0.459372,0.601019,0.500000,0.471461,0.423077,0.569126,0.482456,184,470,0.040528,0.071620,3,0.575933
three_band_holdout,actionable_drop,canopy_relative,Logistic Regression,0.523630,0.437003,0.740857,0.596774,0.446365,0.392617,0.648768,0.571576,129,470,0.080977,0.107805,3,0.571800
three_band_holdout,actionable_drop,trajectory_relative,Logistic Regression,0.525278,0.438354,0.753957,0.575269,0.448262,0.356757,0.649595,0.564346,123,470,0.081574,0.128006,3,0.571283
three_band_holdout,actionable_drop,canopy_relative,Random Forest,0.513553,0.439144,0.453126,0.368421,0.532979,0.486957,0.466354,0.387275,262,470,0.070526,0.103252,3,0.528910
three_band_holdout,actionable_drop,trajectory_relative,Random Forest,0.478783,0.412935,0.387219,0.354839,0.476247,0.407143,0.401754,0.375427,290,470,0.053874,0.032593,3,0.501404
three_band_holdout,actionable_drop,trajectory_absolute,Random Forest,0.529216,0.417829,0.386975,0.318182,0.553079,0.448819,0.408093,0.355330,284,470,0.098952,0.061642,3,0.496767
three_band_holdout,actionable_drop,thermal_relative,Random Forest,0.435797,0.295798,0.356277,0.250000,0.446390,0.284483,0.370936,0.256211,297,470,0.110903,0.084595,3,0.348761
three_band_holdout,actionable_drop,canopy_absolute_baseline,Random Forest,0.503108,0.332008,0.353876,0.098485,0.499752,0.326733,0.333718,0.118613,300,470,0.136468,0.227642,3,0.348014
three_band_holdout,actionable_drop,thermal_absolute,Random Forest,0.494623,0.301255,0.214921,0.030303,0.532624,0.148148,0.243478,0.036036,362,470,0.137437,0.130598,3,0.296520
three_band_holdout,actionable_drop,thermal_absolute,Logistic Regression,0.282326,0.205158,0.539634,0.234848,0.273040,0.233083,0.433468,0.234493,197,470,0.067310,0.290233,3,0.257050
three_band_holdout,actionable_drop,thermal_relative,Logistic Regression,0.267449,0.172014,0.471401,0.392473,0.249328,0.155606,0.387798,0.352332,252,470,0.067817,0.055920,3,0.253315
three_band_holdout,at_risk_original,relative_dynamic_plus_habitat_context,Random Forest,0.486635,0.428753,0.239142,0.102041,0.552197,0.387755,0.259016,0.122549,251,341,0.055685,0.107783,3,0.453821
three_band_holdout,at_risk_original,relative_dynamic_combined,Random Forest,0.500710,0.414302,0.281098,0.081633,0.512995,0.432203,0.294230,0.097561,235,341,0.075701,0.167017,3,0.431122
three_band_holdout,at_risk_original,canopy_absolute_baseline,Logistic Regression,0.269105,0.233572,0.938148,0.894231,0.271817,0.227941,0.621905,0.564320,26,341,0.044504,0.045004,3,0.370201
three_band_holdout,at_risk_original,canopy_relative,Logistic Regression,0.382797,0.285015,0.663264,0.408163,0.312791,0.259124,0.536360,0.371747,81,341,0.095392,0.200828,3,0.368412
three_band_holdout,at_risk_original,relative_dynamic_plus_habitat_context,Logistic Regression,0.423871,0.279865,0.535485,0.387755,0.408054,0.292857,0.492289,0.368705,126,341,0.106454,0.204359,3,0.361396
three_band_holdout,at_risk_original,relative_dynamic_combined,Logistic Regression,0.430998,0.292355,0.490443,0.298077,0.409591,0.292453,0.467802,0.296935,149,341,0.105975,0.187501,3,0.355991
three_band_holdout,at_risk_original,thermal_absolute,Logistic Regression,0.366730,0.218800,0.751344,0.627660,0.317875,0.225806,0.565905,0.549738,101,341,0.140174,0.094536,3,0.342217
three_band_holdout,at_risk_original,thermal_relative,Logistic Regression,0.303678,0.225846,0.638785,0.537234,0.336978,0.277228,0.531071,0.471380,128,341,0.081603,0.120249,3,0.335531
three_band_holdout,at_risk_original,trajectory_relative,Logistic Regression,0.313467,0.231213,0.778821,0.530612,0.296728,0.242991,0.581165,0.429043,49,341,0.106425,0.176985,3,0.327831
three_band_holdout,at_risk_original,trajectory_absolute,Logistic Regression,0.298291,0.259903,0.500701,0.142857,0.295453,0.256410,0.417099,0.156951,135,341,0.051890,0.253091,3,0.293951
three_band_holdout,at_risk_original,thermal_relative,Random Forest,0.400746,0.251614,0.296119,0.142857,0.374792,0.170732,0.300793,0.147679,231,341,0.113860,0.122352,3,0.277148
three_band_holdout,at_risk_original,trajectory_absolute,Random Forest,0.327729,0.262131,0.197781,0.061224,0.423822,0.313131,0.211554,0.074257,263,341,0.066164,0.100036,3,0.274079
three_band_holdout,at_risk_original,canopy_absolute_baseline,Random Forest,0.289959,0.229087,0.279193,0.164894,0.309586,0.219512,0.274317,0.186074,258,341,0.066834,0.081218,3,0.268923
three_band_holdout,at_risk_original,canopy_relative,Random Forest,0.288253,0.240288,0.193246,0.020408,0.240474,0.142857,0.195653,0.024631,251,341,0.055580,0.141506,3,0.240887
three_band_holdout,at_risk_original,thermal_absolute,Random Forest,0.450083,0.242881,0.249642,0.020408,0.438392,0.333333,0.256180,0.025126,241,341,0.149209,0.177193,3,0.234242
three_band_holdout,at_risk_original,trajectory_relative,Random Forest,0.272666,0.212619,0.148766,0.040816,0.258139,0.191083,0.148425,0.049020,287,341,0.065245,0.103563,3,0.218349
three_band_holdout,new_transition,relative_dynamic_combined,Random Forest,0.471520,0.378516,0.223252,0.114583,0.553865,0.523810,0.250498,0.135802,245,317,0.069858,0.086828,3,0.405481
three_band_holdout,new_transition,relative_dynamic_plus_habitat_context,Random Forest,0.452790,0.381514,0.155533,0.093750,0.561448,0.500000,0.181278,0.111940,267,317,0.050794,0.049509,3,0.404419
three_band_holdout,new_transition,canopy_relative,Logistic Regression,0.238952,0.213747,0.670376,0.458333,0.250904,0.207547,0.495060,0.369128,102,317,0.030390,0.164681,3,0.302990
three_band_holdout,new_transition,trajectory_relative,Logistic Regression,0.241127,0.200707,0.698140,0.458333,0.222035,0.203704,0.479137,0.366667,91,317,0.038818,0.220791,3,0.288492
three_band_holdout,new_transition,canopy_absolute_baseline,Logistic Regression,0.279139,0.221335,0.651025,0.270833,0.234042,0.221359,0.448970,0.265306,104,317,0.054566,0.298498,3,0.282205
three_band_holdout,new_transition,relative_dynamic_plus_habitat_context,Logistic Regression,0.271803,0.203968,0.471013,0.375000,0.250297,0.200000,0.400372,0.319149,166,317,0.076105,0.076203,3,0.276145
three_band_holdout,new_transition,relative_dynamic_combined,Logistic Regression,0.272857,0.207477,0.414136,0.312500,0.280316,0.223881,0.376688,0.289575,184,317,0.072606,0.077355,3,0.272611
three_band_holdout,new_transition,canopy_relative,Random Forest,0.272522,0.243718,0.121804,0.052083,0.261777,0.169231,0.134201,0.062035,277,317,0.040731,0.066065,3,0.255154
three_band_holdout,new_transition,thermal_absolute,Logistic Regression,0.231083,0.147063,0.729519,0.570175,0.165870,0.143627,0.426523,0.406250,88,317,0.064880,0.114384,3,0.242138
three_band_holdout,new_transition,trajectory_absolute,Logistic Regression,0.237712,0.172233,0.612500,0.302083,0.216621,0.159341,0.444290,0.256184,118,317,0.051096,0.222981,3,0.231169
three_band_holdout,new_transition,trajectory_relative,Random Forest,0.240185,0.217561,0.086525,0.052083,0.213935,0.188679,0.096944,0.061881,289,317,0.020486,0.025762,3,0.230982
three_band_holdout,new_transition,thermal_absolute,Random Forest,0.374935,0.224337,0.168151,0.052083,0.502626,0.454545,0.191303,0.063291,262,317,0.106501,0.082087,3,0.229509
three_band_holdout,new_transition,trajectory_absolute,Random Forest,0.294331,0.229075,0.122344,0.010417,0.305968,0.200000,0.134856,0.012853,276,317,0.051549,0.105183,3,0.227134
three_band_holdout,new_transition,thermal_relative,Random Forest,0.334419,0.211582,0.196111,0.083333,0.339240,0.140351,0.214151,0.090703,253,317,0.086941,0.083004,3,0.225564
three_band_holdout,new_transition,canopy_absolute_baseline,Random Forest,0.225387,0.217871,0.113164,0.020833,0.215639,0.142857,0.117856,0.025126,279,317,0.008378,0.112761,3,0.223314
three_band_holdout,new_transition,thermal_relative,Logistic Regression,0.167262,0.137321,0.520270,0.383178,0.172908,0.154717,0.368504,0.295815,153,317,0.024819,0.101341,3,0.208793
three_band_holdout,original_decline,relative_dynamic_combined,Random Forest,0.648436,0.523458,0.393391,0.251082,0.674099,0.500000,0.420534,0.288845,406,658,0.091985,0.104709,3,0.586470
three_band_holdout,original_decline,relative_dynamic_plus_habitat_context,Random Forest,0.622695,0.469118,0.384505,0.281385,0.646762,0.456954,0.412129,0.317383,409,658,0.116205,0.074364,3,0.536843
three_band_holdout,original_decline,relative_dynamic_combined,Logistic Regression,0.546946,0.387496,0.680309,0.556364,0.455907,0.304348,0.604137,0.526882,213,658,0.121842,0.118425,3,0.507033
three_band_holdout,original_decline,thermal_relative,Random Forest,0.478098,0.427079,0.438290,0.298182,0.456172,0.370079,0.428823,0.318818,390,658,0.039795,0.133765,3,0.502804
three_band_holdout,original_decline,relative_dynamic_plus_habitat_context,Logistic Regression,0.514500,0.369414,0.665420,0.560000,0.457574,0.299003,0.597380,0.495050,219,658,0.128173,0.127063,3,0.480359
three_band_holdout,original_decline,thermal_absolute,Logistic Regression,0.495527,0.358260,0.667042,0.500000,0.440920,0.367150,0.595581,0.466258,193,658,0.097069,0.207832,3,0.465118
three_band_holdout,original_decline,canopy_relative,Logistic Regression,0.547359,0.333785,0.738831,0.688312,0.426972,0.275362,0.633689,0.557730,171,658,0.158749,0.037530,3,0.457343
three_band_holdout,original_decline,thermal_relative,Logistic Regression,0.430035,0.319887,0.751406,0.606061,0.429756,0.285412,0.632270,0.578035,174,658,0.078499,0.115326,3,0.456546
three_band_holdout,original_decline,thermal_absolute,Random Forest,0.532637,0.451974,0.236805,0.010909,0.477815,0.272727,0.256583,0.013501,522,658,0.082539,0.160037,3,0.447095
three_band_holdout,original_decline,trajectory_absolute,Logistic Regression,0.459136,0.303624,0.719666,0.627706,0.421818,0.275862,0.615614,0.575264,189,658,0.140966,0.067874,3,0.433344
three_band_holdout,original_decline,canopy_relative,Random Forest,0.490909,0.322026,0.349995,0.329004,0.483805,0.271277,0.363614,0.320352,425,658,0.155091,0.025215,3,0.386605
three_band_holdout,original_decline,trajectory_relative,Logistic Regression,0.509885,0.302680,0.653308,0.440789,0.396789,0.246324,0.572313,0.380682,198,658,0.151984,0.220003,3,0.382652
three_band_holdout,original_decline,trajectory_absolute,Random Forest,0.474891,0.325387,0.349646,0.216450,0.510004,0.341176,0.367454,0.242954,426,658,0.127363,0.098345,3,0.373389
three_band_holdout,original_decline,canopy_absolute_baseline,Random Forest,0.423154,0.297486,0.469582,0.216450,0.433340,0.253425,0.443815,0.242014,340,658,0.099772,0.200008,3,0.348012
three_band_holdout,original_decline,canopy_absolute_baseline,Logistic Regression,0.460785,0.276891,0.582821,0.116883,0.367778,0.244898,0.473173,0.136364,260,658,0.162370,0.362176,3,0.294745
three_band_holdout,original_decline,trajectory_relative,Random Forest,0.467683,0.268948,0.314670,0.129870,0.467397,0.259804,0.326256,0.150451,447,658,0.175621,0.139097,3,0.288999
