target_definition,target,comparison,scale,model_family,validation_design,held_out_region,n_train,n_test,test_positive_events,test_event_prevalence,pr_auc,roc_auc,recall,precision,f1,balanced_accuracy,brier_score,feature_count,features
A_original_decline_state,decline_event_next,M2_single_scale_25km,25km,Logistic Regression L2,region_holdout,Northern California,1088,64,60,0.9375,0.9331597810051371,0.48333333333333334,0.2,0.8571428571428571,0.32432432432432434,0.35,0.30008912283318917,5,oisst_25km_annual_mean_sst_anomaly_mean;oisst_25km_hot_days_p90_mean;lag1_oisst_25km_hot_days_p90_mean;cuti_anomaly;beuti_anomaly
A_original_decline_state,decline_event_next,M2_single_scale_25km,25km,Random Forest,region_holdout,Northern California,1088,64,60,0.9375,0.9588111536705562,0.5375,0.08333333333333333,1.0,0.15384615384615385,0.5416666666666666,0.42367314394412214,5,oisst_25km_annual_mean_sst_anomaly_mean;oisst_25km_hot_days_p90_mean;lag1_oisst_25km_hot_days_p90_mean;cuti_anomaly;beuti_anomaly
A_original_decline_state,decline_event_next,M1_fixed_30km_buffer,30km,Logistic Regression L2,region_holdout,Northern California,1088,64,60,0.9375,0.9276319909363759,0.4666666666666667,0.2,0.8571428571428571,0.32432432432432434,0.35,0.30149423299237477,5,oisst_30km_annual_mean_sst_anomaly_mean;oisst_30km_hot_days_p90_mean;lag1_oisst_30km_hot_days_p90_mean;cuti_anomaly;beuti_anomaly
A_original_decline_state,decline_event_next,M1_fixed_30km_buffer,30km,Random Forest,region_holdout,Northern California,1088,64,60,0.9375,0.9705985744231875,0.65,0.0,0.0,0.0,0.5,0.42028598264649775,5,oisst_30km_annual_mean_sst_anomaly_mean;oisst_30km_hot_days_p90_mean;lag1_oisst_30km_hot_days_p90_mean;cuti_anomaly;beuti_anomaly
A_original_decline_state,decline_event_next,M2_single_scale_50km,50km,Logistic Regression L2,region_holdout,Northern California,1088,64,60,0.9375,0.8930370431585919,0.39166666666666666,0.21666666666666667,0.8666666666666667,0.3466666666666667,0.35833333333333334,0.3014594808187437,5,oisst_50km_annual_mean_sst_anomaly_mean;oisst_50km_hot_days_p90_mean;lag1_oisst_50km_hot_days_p90_mean;cuti_anomaly;beuti_anomaly
A_original_decline_state,decline_event_next,M2_single_scale_50km,50km,Random Forest,region_holdout,Northern California,1088,64,60,0.9375,0.8885710226834979,0.3208333333333333,0.0,0.0,0.0,0.5,0.4593822197952977,5,oisst_50km_annual_mean_sst_anomaly_mean;oisst_50km_hot_days_p90_mean;lag1_oisst_50km_hot_days_p90_mean;cuti_anomaly;beuti_anomaly
A_original_decline_state,decline_event_next,M2_single_scale_75km,75km,Logistic Regression L2,region_holdout,Northern California,1088,64,60,0.9375,0.8899140381365397,0.37083333333333335,0.31666666666666665,0.9047619047619048,0.4691358024691358,0.4083333333333333,0.297592193273728,5,oisst_75km_annual_mean_sst_anomaly_mean;oisst_75km_hot_days_p90_mean;lag1_oisst_75km_hot_days_p90_mean;cuti_anomaly;beuti_anomaly
A_original_decline_state,decline_event_next,M2_single_scale_75km,75km,Random Forest,region_holdout,Northern California,1088,64,60,0.9375,0.8987779388707461,0.29166666666666663,0.0,0.0,0.0,0.375,0.4787169640035671,5,oisst_75km_annual_mean_sst_anomaly_mean;oisst_75km_hot_days_p90_mean;lag1_oisst_75km_hot_days_p90_mean;cuti_anomaly;beuti_anomaly
A_original_decline_state,decline_event_next,M3_multiscale_l1_regularized,multi,Logistic Regression L1,region_holdout,Northern California,1088,64,60,0.9375,0.9589063846716446,0.6416666666666666,0.36666666666666664,0.9565217391304348,0.5301204819277109,0.5583333333333333,0.3205329415176991,20,oisst_nearest_annual_mean_sst_anomaly_mean;oisst_nearest_hot_days_p90_mean;lag1_oisst_nearest_hot_days_p90_mean;oisst_10km_annual_mean_sst_anomaly_mean;oisst_10km_hot_days_p90_mean;lag1_oisst_10km_hot_days_p90_mean;oisst_25km_annual_mean_sst_anomaly_mean;oisst_25km_hot_days_p90_mean;lag1_oisst_25km_hot_days_p90_mean;oisst_30km_annual_mean_sst_anomaly_mean;oisst_30km_hot_days_p90_mean;lag1_oisst_30km_hot_days_p90_mean;oisst_50km_annual_mean_sst_anomaly_mean;oisst_50km_hot_days_p90_mean;lag1_oisst_50km_hot_days_p90_mean;oisst_75km_annual_mean_sst_anomaly_mean;oisst_75km_hot_days_p90_mean;lag1_oisst_75km_hot_days_p90_mean;cuti_anomaly;beuti_anomaly
A_original_decline_state,decline_event_next,M3_multiscale_random_forest,multi,Random Forest,region_holdout,Northern California,1088,64,60,0.9375,0.909382958700114,0.43333333333333335,0.0,0.0,0.0,0.5,0.46292339263088966,20,oisst_nearest_annual_mean_sst_anomaly_mean;oisst_nearest_hot_days_p90_mean;lag1_oisst_nearest_hot_days_p90_mean;oisst_10km_annual_mean_sst_anomaly_mean;oisst_10km_hot_days_p90_mean;lag1_oisst_10km_hot_days_p90_mean;oisst_25km_annual_mean_sst_anomaly_mean;oisst_25km_hot_days_p90_mean;lag1_oisst_25km_hot_days_p90_mean;oisst_30km_annual_mean_sst_anomaly_mean;oisst_30km_hot_days_p90_mean;lag1_oisst_30km_hot_days_p90_mean;oisst_50km_annual_mean_sst_anomaly_mean;oisst_50km_hot_days_p90_mean;lag1_oisst_50km_hot_days_p90_mean;oisst_75km_annual_mean_sst_anomaly_mean;oisst_75km_hot_days_p90_mean;lag1_oisst_75km_hot_days_p90_mean;cuti_anomaly;beuti_anomaly
