target_definition,target_column,feature_family,model,learning_strategy,sampling_ratio,hard_negative_rule,precision_floor,threshold,selection_split,pr_auc,roc_auc,recall,precision,f1,f2,false_negatives,false_positives,true_positives,true_negatives,selected_threshold,selected_for_precision_floor,precision_floor_fallback_used
actionable_drop,actionable_decline_drop_next,canopy_only,LightGBM,class_weighted_threshold_tuned,2.544304,not_applicable,0.300000,0.100000,validation,0.547463,0.848980,1.000000,0.369369,0.539474,0.745455,0,70,41,89,0.050000,False,False
actionable_drop,actionable_decline_drop_next,canopy_only,LightGBM,class_weighted_threshold_tuned,2.544304,not_applicable,0.300000,0.150000,validation,0.547463,0.848980,1.000000,0.369369,0.539474,0.745455,0,70,41,89,0.050000,False,False
actionable_drop,actionable_decline_drop_next,canopy_only,LightGBM,class_weighted_threshold_tuned,2.544304,not_applicable,0.300000,0.200000,validation,0.547463,0.848980,1.000000,0.369369,0.539474,0.745455,0,70,41,89,0.050000,False,False
actionable_drop,actionable_decline_drop_next,canopy_only,LightGBM,class_weighted_threshold_tuned,2.544304,not_applicable,0.300000,0.250000,validation,0.547463,0.848980,1.000000,0.369369,0.539474,0.745455,0,70,41,89,0.050000,False,False
actionable_drop,actionable_decline_drop_next,canopy_only,LightGBM,class_weighted_threshold_tuned,2.544304,not_applicable,0.300000,0.300000,validation,0.547463,0.848980,1.000000,0.369369,0.539474,0.745455,0,70,41,89,0.050000,False,False
actionable_drop,actionable_decline_drop_next,canopy_only,LightGBM,class_weighted_threshold_tuned,2.544304,not_applicable,0.300000,0.400000,validation,0.547463,0.848980,0.975610,0.370370,0.536913,0.735294,1,68,40,91,0.050000,False,False
actionable_drop,actionable_decline_drop_next,canopy_only,LightGBM,class_weighted_threshold_tuned,2.544304,not_applicable,0.300000,0.500000,validation,0.547463,0.848980,0.853659,0.372340,0.518519,0.678295,6,59,35,100,0.050000,False,False
actionable_drop,actionable_decline_drop_next,canopy_only,LightGBM,class_weighted_threshold_tuned,2.544304,not_applicable,0.400000,0.050000,validation,0.547463,0.848980,1.000000,0.369369,0.539474,0.745455,0,70,41,89,0.050000,True,True
actionable_drop,actionable_decline_drop_next,canopy_only,LightGBM,class_weighted_threshold_tuned,2.544304,not_applicable,0.400000,0.100000,validation,0.547463,0.848980,1.000000,0.369369,0.539474,0.745455,0,70,41,89,0.050000,False,True
actionable_drop,actionable_decline_drop_next,canopy_only,LightGBM,class_weighted_threshold_tuned,2.544304,not_applicable,0.400000,0.150000,validation,0.547463,0.848980,1.000000,0.369369,0.539474,0.745455,0,70,41,89,0.050000,False,True
actionable_drop,actionable_decline_drop_next,canopy_only,LightGBM,class_weighted_threshold_tuned,2.544304,not_applicable,0.400000,0.200000,validation,0.547463,0.848980,1.000000,0.369369,0.539474,0.745455,0,70,41,89,0.050000,False,True
actionable_drop,actionable_decline_drop_next,canopy_only,LightGBM,class_weighted_threshold_tuned,2.544304,not_applicable,0.400000,0.250000,validation,0.547463,0.848980,1.000000,0.369369,0.539474,0.745455,0,70,41,89,0.050000,False,True
actionable_drop,actionable_decline_drop_next,canopy_only,LightGBM,class_weighted_threshold_tuned,2.544304,not_applicable,0.400000,0.300000,validation,0.547463,0.848980,1.000000,0.369369,0.539474,0.745455,0,70,41,89,0.050000,False,True
actionable_drop,actionable_decline_drop_next,canopy_only,LightGBM,class_weighted_threshold_tuned,2.544304,not_applicable,0.400000,0.400000,validation,0.547463,0.848980,0.975610,0.370370,0.536913,0.735294,1,68,40,91,0.050000,False,True
actionable_drop,actionable_decline_drop_next,canopy_only,LightGBM,class_weighted_threshold_tuned,2.544304,not_applicable,0.400000,0.500000,validation,0.547463,0.848980,0.853659,0.372340,0.518519,0.678295,6,59,35,100,0.050000,False,True
actionable_drop,actionable_decline_drop_next,canopy_only,LightGBM,class_weighted_threshold_tuned,2.544304,not_applicable,0.500000,0.050000,validation,0.547463,0.848980,1.000000,0.369369,0.539474,0.745455,0,70,41,89,0.050000,True,True
actionable_drop,actionable_decline_drop_next,canopy_only,LightGBM,class_weighted_threshold_tuned,2.544304,not_applicable,0.500000,0.100000,validation,0.547463,0.848980,1.000000,0.369369,0.539474,0.745455,0,70,41,89,0.050000,False,True
actionable_drop,actionable_decline_drop_next,canopy_only,LightGBM,class_weighted_threshold_tuned,2.544304,not_applicable,0.500000,0.150000,validation,0.547463,0.848980,1.000000,0.369369,0.539474,0.745455,0,70,41,89,0.050000,False,True
