source_table,experiment_layer,target_definition,normalized_target,feature_family,normalized_feature_family,model,learning_strategy,threshold,pr_auc,roc_auc,recall,precision,f1,f2,false_negatives,false_positives,true_positives,true_negatives,train_positive_count,validation_positive_count,test_positive_count,n_train,n_validation,n_test,event_prevalence_test,status,notes
outputs/model_results/environment_incremental_value_performance.csv,OISST_sensitivity,decline_event_next,original_decline,environment_only,rare_event_learning,SVM,cost_sensitive,,0.6605482322722145,0.5066711895070104,0.1716417910447761,0.5476190476190477,0.2613636363636363,0.1989619377162629,111.0,19.0,23.0,47.0,,,134.0,,,200.0,0.67,computed,oisst_matching_variant=nearest
outputs/model_results/environment_incremental_value_performance.csv,OISST_sensitivity,decline_event_next,original_decline,canopy_current_plus_environment,rare_event_learning,SVM,cost_sensitive,,0.6662491383445184,0.511420171867933,0.2313432835820895,0.6326530612244898,0.3387978142076502,0.2649572649572649,103.0,18.0,31.0,48.0,,,134.0,,,200.0,0.67,computed,oisst_matching_variant=nearest
outputs/model_results/environment_incremental_value_performance.csv,OISST_sensitivity,decline_event_next,original_decline,canopy_trajectory_only,rare_event_learning,SVM,cost_sensitive,,0.8044595546764854,0.6399819086386251,0.0,0.0,0.0,0.0,134.0,0.0,0.0,66.0,,,134.0,,,200.0,0.67,computed,oisst_matching_variant=nearest
outputs/model_results/environment_incremental_value_performance.csv,OISST_sensitivity,decline_event_next,original_decline,canopy_current_plus_trajectory,rare_event_learning,SVM,cost_sensitive,,0.8227016819811118,0.7047715965626413,0.0,0.0,0.0,0.0,134.0,0.0,0.0,66.0,,,134.0,,,200.0,0.67,computed,oisst_matching_variant=nearest
outputs/model_results/environment_incremental_value_performance.csv,OISST_sensitivity,decline_event_next,original_decline,canopy_current_plus_trajectory_plus_environment,rare_event_learning,SVM,cost_sensitive,,0.6865988361162367,0.5315468113975577,0.2537313432835821,0.723404255319149,0.3756906077348066,0.2915951972555746,100.0,13.0,34.0,53.0,,,134.0,,,200.0,0.67,computed,oisst_matching_variant=nearest
outputs/model_results/environment_incremental_value_performance.csv,OISST_sensitivity,decline_event_next,original_decline,canopy_current_only,rare_event_learning,XGBoost,cost_sensitive,,0.886448710312682,0.7782677521483492,0.6417910447761194,0.86,0.7350427350427351,0.6761006289308176,48.0,14.0,86.0,52.0,,,134.0,,,200.0,0.67,computed,oisst_matching_variant=nearest
outputs/model_results/environment_incremental_value_performance.csv,OISST_sensitivity,decline_event_next,original_decline,environment_only,rare_event_learning,XGBoost,cost_sensitive,,0.6885749612533051,0.4847354138398914,0.3134328358208955,0.6086956521739131,0.4137931034482758,0.3471074380165289,92.0,27.0,42.0,39.0,,,134.0,,,200.0,0.67,computed,oisst_matching_variant=nearest
outputs/model_results/environment_incremental_value_performance.csv,OISST_sensitivity,decline_event_next,original_decline,canopy_current_plus_environment,rare_event_learning,XGBoost,cost_sensitive,,0.7530863979860922,0.5691994572591588,0.4776119402985074,0.7710843373493976,0.5898617511520737,0.5169628432956381,70.0,19.0,64.0,47.0,,,134.0,,,200.0,0.67,computed,oisst_matching_variant=nearest
outputs/model_results/environment_incremental_value_performance.csv,OISST_sensitivity,decline_event_next,original_decline,canopy_trajectory_only,rare_event_learning,XGBoost,cost_sensitive,,0.7919120680174068,0.5985979194934419,0.5,0.7282608695652174,0.5929203539823009,0.5334394904458599,67.0,25.0,67.0,41.0,,,134.0,,,200.0,0.67,computed,oisst_matching_variant=nearest
outputs/model_results/environment_incremental_value_performance.csv,OISST_sensitivity,decline_event_next,original_decline,canopy_current_plus_trajectory,rare_event_learning,XGBoost,cost_sensitive,,0.8285362531908547,0.6717548620533695,0.5522388059701493,0.8222222222222222,0.6607142857142857,0.5910543130990416,60.0,16.0,74.0,50.0,,,134.0,,,200.0,0.67,computed,oisst_matching_variant=nearest
