target_definition,feature_family,model,learning_strategy,threshold_strategy,selected_threshold,precision_floor,pr_auc,roc_auc,recall,precision,f1,f2,false_negatives,false_positives,true_positives,true_negatives,train_positive_count,validation_positive_count,test_positive_count,sampling_ratio,hard_negative_rule,status,notes
actionable_drop,canopy_only,LightGBM,hard_negative_threshold_tuned,validation_f2_with_precision_floor,0.400000,0.400000,0.559266,0.867736,0.794118,0.428571,0.556701,0.678392,7,36,27,130,395,41,34,2.544304,hard_negative_any,computed,
actionable_drop,canopy_only,LightGBM,hard_negative_threshold_tuned,validation_f2_with_precision_floor,0.500000,0.500000,0.559266,0.867736,0.294118,0.526316,0.377358,0.322581,24,9,10,157,395,41,34,2.544304,hard_negative_any,computed,
actionable_drop,canopy_trajectory,Logistic Regression,original_distribution,default_0_50,0.500000,,0.484749,0.870305,0.176471,0.461538,0.255319,0.201342,28,7,6,159,395,41,34,2.544304,not_applicable,computed,
actionable_drop,canopy_trajectory,Random Forest,original_distribution,default_0_50,0.500000,,0.453127,0.862155,0.264706,0.450000,0.333333,0.288462,25,11,9,155,395,41,34,2.544304,not_applicable,computed,
actionable_drop,canopy_trajectory,XGBoost,original_distribution,default_0_50,0.500000,,0.469697,0.866761,0.235294,0.421053,0.301887,0.258065,26,11,8,155,395,41,34,2.544304,not_applicable,computed,
actionable_drop,canopy_trajectory,LightGBM,original_distribution,default_0_50,0.500000,,0.435967,0.857371,0.470588,0.516129,0.492308,0.479042,18,15,16,151,395,41,34,2.544304,not_applicable,computed,
actionable_drop,canopy_trajectory,Logistic Regression,class_weighted,default_0_50,0.500000,,0.491826,0.876860,0.617647,0.525000,0.567568,0.596591,13,19,21,147,395,41,34,2.544304,not_applicable,computed,
actionable_drop,canopy_trajectory,Random Forest,class_weighted,default_0_50,0.500000,,0.514744,0.865167,0.529412,0.486486,0.507042,0.520231,16,19,18,147,395,41,34,2.544304,not_applicable,computed,
actionable_drop,canopy_trajectory,XGBoost,class_weighted,default_0_50,0.500000,,0.477242,0.869419,0.676471,0.479167,0.560976,0.625000,11,25,23,141,395,41,34,2.544304,not_applicable,computed,
actionable_drop,canopy_trajectory,LightGBM,class_weighted,default_0_50,0.500000,,0.440276,0.859674,0.588235,0.487805,0.533333,0.564972,14,21,20,145,395,41,34,2.544304,not_applicable,computed,
actionable_drop,canopy_trajectory,Logistic Regression,positive_oversampling_train_only,default_0_50,0.500000,,0.481945,0.878278,0.617647,0.525000,0.567568,0.596591,13,19,21,147,395,41,34,1.000000,not_applicable,computed,
actionable_drop,canopy_trajectory,Random Forest,positive_oversampling_train_only,default_0_50,0.500000,,0.519918,0.871545,0.470588,0.500000,0.484848,0.476190,18,16,16,150,395,41,34,1.000000,not_applicable,computed,
actionable_drop,canopy_trajectory,XGBoost,positive_oversampling_train_only,default_0_50,0.500000,,0.458960,0.864989,0.676471,0.500000,0.575000,0.631868,11,23,23,143,395,41,34,1.000000,not_applicable,computed,
actionable_drop,canopy_trajectory,LightGBM,positive_oversampling_train_only,default_0_50,0.500000,,0.456373,0.862863,0.588235,0.487805,0.533333,0.564972,14,21,20,145,395,41,34,1.000000,not_applicable,computed,
actionable_drop,canopy_trajectory,Logistic Regression,random_negative_undersampling_train_only,default_0_50,0.500000,,0.484749,0.870305,0.176471,0.461538,0.255319,0.201342,28,7,6,159,395,41,34,2.544304,random_negative,computed,
actionable_drop,canopy_trajectory,Random Forest,random_negative_undersampling_train_only,default_0_50,0.500000,,0.462879,0.860914,0.235294,0.470588,0.313725,0.261438,26,9,8,157,395,41,34,2.544304,random_negative,computed,
actionable_drop,canopy_trajectory,XGBoost,random_negative_undersampling_train_only,default_0_50,0.500000,,0.472604,0.873140,0.264706,0.473684,0.339623,0.290323,25,10,9,156,395,41,34,2.544304,random_negative,computed,
actionable_drop,canopy_trajectory,LightGBM,random_negative_undersampling_train_only,default_0_50,0.500000,,0.435967,0.857371,0.470588,0.516129,0.492308,0.479042,18,15,16,151,395,41,34,2.544304,random_negative,computed,
actionable_drop,canopy_trajectory,Logistic Regression,hard_negative_undersampling_train_only,default_0_50,0.500000,,0.484749,0.870305,0.176471,0.461538,0.255319,0.201342,28,7,6,159,395,41,34,2.544304,hard_negative_any,computed,
actionable_drop,canopy_trajectory,Random Forest,hard_negative_undersampling_train_only,default_0_50,0.500000,,0.464631,0.866761,0.323529,0.523810,0.400000,0.350318,23,10,11,156,395,41,34,2.544304,hard_negative_any,computed,
actionable_drop,canopy_trajectory,XGBoost,hard_negative_undersampling_train_only,default_0_50,0.500000,,0.471544,0.867470,0.235294,0.444444,0.307692,0.259740,26,10,8,156,395,41,34,2.544304,hard_negative_any,computed,
actionable_drop,canopy_trajectory,LightGBM,hard_negative_undersampling_train_only,default_0_50,0.500000,,0.435967,0.857371,0.470588,0.516129,0.492308,0.479042,18,15,16,151,395,41,34,2.544304,hard_negative_any,computed,
actionable_drop,canopy_trajectory,Logistic Regression,class_weighted_threshold_tuned,validation_f2_with_precision_floor,0.400000,0.300000,0.491826,0.876860,0.676471,0.433962,0.528736,0.608466,11,30,23,136,395,41,34,2.544304,not_applicable,computed,
actionable_drop,canopy_trajectory,Logistic Regression,class_weighted_threshold_tuned,validation_f2_with_precision_floor,0.400000,0.400000,0.491826,0.876860,0.676471,0.433962,0.528736,0.608466,11,30,23,136,395,41,34,2.544304,not_applicable,computed,
actionable_drop,canopy_trajectory,Logistic Regression,class_weighted_threshold_tuned,validation_f2_with_precision_floor,0.400000,0.500000,0.491826,0.876860,0.676471,0.433962,0.528736,0.608466,11,30,23,136,395,41,34,2.544304,not_applicable,computed,
actionable_drop,canopy_trajectory,Random Forest,class_weighted_threshold_tuned,validation_f2_with_precision_floor,0.200000,0.300000,0.514744,0.865167,0.911765,0.373494,0.529915,0.707763,3,52,31,114,395,41,34,2.544304,not_applicable,computed,
actionable_drop,canopy_trajectory,Random Forest,class_weighted_threshold_tuned,validation_f2_with_precision_floor,0.200000,0.400000,0.514744,0.865167,0.911765,0.373494,0.529915,0.707763,3,52,31,114,395,41,34,2.544304,not_applicable,computed,
actionable_drop,canopy_trajectory,Random Forest,class_weighted_threshold_tuned,validation_f2_with_precision_floor,0.500000,0.500000,0.514744,0.865167,0.529412,0.486486,0.507042,0.520231,16,19,18,147,395,41,34,2.544304,not_applicable,computed,
actionable_drop,canopy_trajectory,XGBoost,class_weighted_threshold_tuned,validation_f2_with_precision_floor,0.150000,0.300000,0.477242,0.869419,0.970588,0.358696,0.523810,0.723684,1,59,33,107,395,41,34,2.544304,not_applicable,computed,
actionable_drop,canopy_trajectory,XGBoost,class_weighted_threshold_tuned,validation_f2_with_precision_floor,0.500000,0.400000,0.477242,0.869419,0.676471,0.479167,0.560976,0.625000,11,25,23,141,395,41,34,2.544304,not_applicable,computed,
actionable_drop,canopy_trajectory,XGBoost,class_weighted_threshold_tuned,validation_f2_with_precision_floor,0.500000,0.500000,0.477242,0.869419,0.676471,0.479167,0.560976,0.625000,11,25,23,141,395,41,34,2.544304,not_applicable,computed,
actionable_drop,canopy_trajectory,LightGBM,class_weighted_threshold_tuned,validation_f2_with_precision_floor,0.150000,0.300000,0.440276,0.859674,0.941176,0.376471,0.537815,0.723982,2,53,32,113,395,41,34,2.544304,not_applicable,computed,
actionable_drop,canopy_trajectory,LightGBM,class_weighted_threshold_tuned,validation_f2_with_precision_floor,0.150000,0.400000,0.440276,0.859674,0.941176,0.376471,0.537815,0.723982,2,53,32,113,395,41,34,2.544304,not_applicable,computed,
actionable_drop,canopy_trajectory,LightGBM,class_weighted_threshold_tuned,validation_f2_with_precision_floor,0.400000,0.500000,0.440276,0.859674,0.705882,0.461538,0.558140,0.638298,10,28,24,138,395,41,34,2.544304,not_applicable,computed,
actionable_drop,canopy_trajectory,Logistic Regression,positive_oversampling_threshold_tuned,validation_f2_with_precision_floor,0.400000,0.300000,0.481945,0.878278,0.705882,0.436364,0.539326,0.628272,10,31,24,135,395,41,34,1.000000,not_applicable,computed,
actionable_drop,canopy_trajectory,Logistic Regression,positive_oversampling_threshold_tuned,validation_f2_with_precision_floor,0.400000,0.400000,0.481945,0.878278,0.705882,0.436364,0.539326,0.628272,10,31,24,135,395,41,34,1.000000,not_applicable,computed,
actionable_drop,canopy_trajectory,Logistic Regression,positive_oversampling_threshold_tuned,validation_f2_with_precision_floor,0.400000,0.500000,0.481945,0.878278,0.705882,0.436364,0.539326,0.628272,10,31,24,135,395,41,34,1.000000,not_applicable,computed,
actionable_drop,canopy_trajectory,Random Forest,positive_oversampling_threshold_tuned,validation_f2_with_precision_floor,0.100000,0.300000,0.519918,0.871545,0.941176,0.372093,0.533333,0.720721,2,54,32,112,395,41,34,1.000000,not_applicable,computed,
actionable_drop,canopy_trajectory,Random Forest,positive_oversampling_threshold_tuned,validation_f2_with_precision_floor,0.250000,0.400000,0.519918,0.871545,0.794118,0.409091,0.540000,0.668317,7,39,27,127,395,41,34,1.000000,not_applicable,computed,
actionable_drop,canopy_trajectory,Random Forest,positive_oversampling_threshold_tuned,validation_f2_with_precision_floor,0.400000,0.500000,0.519918,0.871545,0.617647,0.456522,0.525000,0.576923,13,25,21,141,395,41,34,1.000000,not_applicable,computed,
actionable_drop,canopy_trajectory,XGBoost,positive_oversampling_threshold_tuned,validation_f2_with_precision_floor,0.050000,0.300000,0.458960,0.864989,1.000000,0.361702,0.531250,0.739130,0,60,34,106,395,41,34,1.000000,not_applicable,computed,
actionable_drop,canopy_trajectory,XGBoost,positive_oversampling_threshold_tuned,validation_f2_with_precision_floor,0.250000,0.400000,0.458960,0.864989,0.823529,0.383562,0.523364,0.669856,6,45,28,121,395,41,34,1.000000,not_applicable,computed,
actionable_drop,canopy_trajectory,XGBoost,positive_oversampling_threshold_tuned,validation_f2_with_precision_floor,0.500000,0.500000,0.458960,0.864989,0.676471,0.500000,0.575000,0.631868,11,23,23,143,395,41,34,1.000000,not_applicable,computed,
actionable_drop,canopy_trajectory,LightGBM,positive_oversampling_threshold_tuned,validation_f2_with_precision_floor,0.100000,0.300000,0.456373,0.862863,0.970588,0.370787,0.536585,0.733333,1,56,33,110,395,41,34,1.000000,not_applicable,computed,
actionable_drop,canopy_trajectory,LightGBM,positive_oversampling_threshold_tuned,validation_f2_with_precision_floor,0.250000,0.400000,0.456373,0.862863,0.823529,0.424242,0.560000,0.693069,6,38,28,128,395,41,34,1.000000,not_applicable,computed,
actionable_drop,canopy_trajectory,LightGBM,positive_oversampling_threshold_tuned,validation_f2_with_precision_floor,0.500000,0.500000,0.456373,0.862863,0.588235,0.487805,0.533333,0.564972,14,21,20,145,395,41,34,1.000000,not_applicable,computed,
actionable_drop,canopy_trajectory,Logistic Regression,hard_negative_threshold_tuned,validation_f2_with_precision_floor,0.250000,0.300000,0.484749,0.870305,0.617647,0.477273,0.538462,0.583333,13,23,21,143,395,41,34,2.544304,hard_negative_any,computed,
actionable_drop,canopy_trajectory,Logistic Regression,hard_negative_threshold_tuned,validation_f2_with_precision_floor,0.250000,0.400000,0.484749,0.870305,0.617647,0.477273,0.538462,0.583333,13,23,21,143,395,41,34,2.544304,hard_negative_any,computed,
actionable_drop,canopy_trajectory,Logistic Regression,hard_negative_threshold_tuned,validation_f2_with_precision_floor,0.250000,0.500000,0.484749,0.870305,0.617647,0.477273,0.538462,0.583333,13,23,21,143,395,41,34,2.544304,hard_negative_any,computed,
actionable_drop,canopy_trajectory,Random Forest,hard_negative_threshold_tuned,validation_f2_with_precision_floor,0.100000,0.300000,0.464631,0.866761,0.911765,0.392405,0.548673,0.720930,3,48,31,118,395,41,34,2.544304,hard_negative_any,computed,
actionable_drop,canopy_trajectory,Random Forest,hard_negative_threshold_tuned,validation_f2_with_precision_floor,0.100000,0.400000,0.464631,0.866761,0.911765,0.392405,0.548673,0.720930,3,48,31,118,395,41,34,2.544304,hard_negative_any,computed,
actionable_drop,canopy_trajectory,Random Forest,hard_negative_threshold_tuned,validation_f2_with_precision_floor,0.500000,0.500000,0.464631,0.866761,0.323529,0.523810,0.400000,0.350318,23,10,11,156,395,41,34,2.544304,hard_negative_any,computed,
actionable_drop,canopy_trajectory,XGBoost,hard_negative_threshold_tuned,validation_f2_with_precision_floor,0.100000,0.300000,0.471544,0.867470,0.911765,0.360465,0.516667,0.698198,3,55,31,111,395,41,34,2.544304,hard_negative_any,computed,
actionable_drop,canopy_trajectory,XGBoost,hard_negative_threshold_tuned,validation_f2_with_precision_floor,0.300000,0.400000,0.471544,0.867470,0.647059,0.478261,0.550000,0.604396,12,24,22,142,395,41,34,2.544304,hard_negative_any,computed,
actionable_drop,canopy_trajectory,XGBoost,hard_negative_threshold_tuned,validation_f2_with_precision_floor,0.300000,0.500000,0.471544,0.867470,0.647059,0.478261,0.550000,0.604396,12,24,22,142,395,41,34,2.544304,hard_negative_any,computed,
actionable_drop,canopy_trajectory,LightGBM,hard_negative_threshold_tuned,validation_f2_with_precision_floor,0.050000,0.300000,0.435967,0.857371,1.000000,0.365591,0.535433,0.742358,0,59,34,107,395,41,34,2.544304,hard_negative_any,computed,
actionable_drop,canopy_trajectory,LightGBM,hard_negative_threshold_tuned,validation_f2_with_precision_floor,0.150000,0.400000,0.435967,0.857371,0.764706,0.400000,0.525253,0.646766,8,39,26,127,395,41,34,2.544304,hard_negative_any,computed,
actionable_drop,canopy_trajectory,LightGBM,hard_negative_threshold_tuned,validation_f2_with_precision_floor,0.400000,0.500000,0.435967,0.857371,0.558824,0.513514,0.535211,0.549133,15,18,19,148,395,41,34,2.544304,hard_negative_any,computed,
actionable_drop,CRW_composite,Logistic Regression,original_distribution,default_0_50,0.500000,,0.171549,0.531715,0.029412,0.055556,0.038462,0.032468,33,17,1,149,395,41,34,2.544304,not_applicable,computed,
actionable_drop,CRW_composite,Random Forest,original_distribution,default_0_50,0.500000,,0.148704,0.451630,0.029412,0.071429,0.041667,0.033333,33,13,1,153,395,41,34,2.544304,not_applicable,computed,
actionable_drop,CRW_composite,XGBoost,original_distribution,default_0_50,0.500000,,0.142398,0.402197,0.029412,0.250000,0.052632,0.035714,33,3,1,163,395,41,34,2.544304,not_applicable,computed,
actionable_drop,CRW_composite,LightGBM,original_distribution,default_0_50,0.500000,,0.160922,0.498671,0.029412,0.090909,0.044444,0.034014,33,10,1,156,395,41,34,2.544304,not_applicable,computed,
actionable_drop,CRW_composite,Logistic Regression,class_weighted,default_0_50,0.500000,,0.180308,0.552799,0.647059,0.201835,0.307692,0.448980,12,87,22,79,395,41,34,2.544304,not_applicable,computed,
actionable_drop,CRW_composite,Random Forest,class_weighted,default_0_50,0.500000,,0.145602,0.448618,0.058824,0.058824,0.058824,0.058824,32,32,2,134,395,41,34,2.544304,not_applicable,computed,
actionable_drop,CRW_composite,XGBoost,class_weighted,default_0_50,0.500000,,0.148636,0.449327,0.176471,0.089552,0.118812,0.147783,28,61,6,105,395,41,34,2.544304,not_applicable,computed,
actionable_drop,CRW_composite,LightGBM,class_weighted,default_0_50,0.500000,,0.154270,0.471563,0.088235,0.073171,0.080000,0.084746,31,38,3,128,395,41,34,2.544304,not_applicable,computed,
actionable_drop,CRW_composite,Logistic Regression,positive_oversampling_train_only,default_0_50,0.500000,,0.186193,0.557760,0.588235,0.173913,0.268456,0.398406,14,95,20,71,395,41,34,1.000000,not_applicable,computed,
