model_family,feature_set,forecast_year,n,events,prevalence,average_precision,ap_lift,recall_top_5pct,selected_top_5pct,recall_top_10pct,selected_top_10pct,recall_top_20pct,selected_top_20pct,recall_top_30pct,selected_top_30pct
logistic,monthly_crw,2019,128,98,0.765625,0.8935591703986845,0.1279341703986845,0.07142857142857142,7,0.1326530612244898,13,0.25510204081632654,26,0.3673469387755102,39
logistic,monthly_crw,2020,93,29,0.3118279569892473,0.6052685987137674,0.29344064172452006,0.10344827586206896,5,0.20689655172413793,10,0.4827586206896552,19,0.6206896551724138,28
logistic,monthly_crw,2021,116,41,0.35344827586206895,0.44634610839316247,0.09289783253109352,0.0975609756097561,6,0.17073170731707318,12,0.24390243902439024,24,0.34146341463414637,35
logistic,monthly_crw,2022,112,38,0.3392857142857143,0.5320875247368972,0.19280181045118294,0.10526315789473684,6,0.23684210526315788,12,0.3157894736842105,23,0.47368421052631576,34
logistic,monthly_crw,2023,108,73,0.6759259259259259,0.8869592749698649,0.211033349043939,0.0821917808219178,6,0.1506849315068493,11,0.273972602739726,22,0.410958904109589,33
logistic,monthly_crw,2024,84,16,0.19047619047619047,0.32223447132271504,0.13175828084652458,0.0625,5,0.1875,9,0.25,17,0.4375,26
logistic,prior_trajectory,2005,145,45,0.3103448275862069,0.36442207312747293,0.05407724554126603,0.044444444444444446,8,0.15555555555555556,15,0.35555555555555557,29,0.4222222222222222,44
logistic,prior_trajectory,2006,136,88,0.6470588235294118,0.7703465461140595,0.12328772258464771,0.07954545454545454,7,0.13636363636363635,14,0.25,28,0.36363636363636365,41
logistic,prior_trajectory,2007,108,20,0.18518518518518517,0.595011803879841,0.4098266186946558,0.2,6,0.3,11,0.65,22,0.7,33
logistic,prior_trajectory,2008,153,48,0.3137254901960784,0.5981211053689754,0.284395615172897,0.125,8,0.2708333333333333,16,0.4791666666666667,31,0.5625,46
logistic,prior_trajectory,2009,152,43,0.28289473684210525,0.48247969173708505,0.1995849548949798,0.13953488372093023,8,0.2558139534883721,16,0.4186046511627907,31,0.46511627906976744,46
logistic,prior_trajectory,2010,151,76,0.5033112582781457,0.5817708931565726,0.07845963487842689,0.06578947368421052,8,0.13157894736842105,16,0.2631578947368421,31,0.3815789473684211,46
logistic,prior_trajectory,2011,150,80,0.5333333333333333,0.7032425528925874,0.1699092195592541,0.075,8,0.1375,15,0.2625,30,0.4,45
logistic,prior_trajectory,2012,121,43,0.35537190082644626,0.48643688902209603,0.13106498819564977,0.06976744186046512,7,0.18604651162790697,13,0.27906976744186046,25,0.37209302325581395,37
logistic,prior_trajectory,2013,125,25,0.2,0.4399589253862441,0.23995892538624408,0.16,7,0.32,13,0.56,25,0.64,38
logistic,prior_trajectory,2014,146,92,0.6301369863013698,0.758472328333077,0.12833534203170716,0.06521739130434782,8,0.13043478260869565,15,0.25,30,0.358695652173913,44
logistic,prior_trajectory,2015,124,45,0.3629032258064516,0.4679978229528784,0.10509459714642677,0.06666666666666667,7,0.17777777777777778,13,0.3333333333333333,25,0.4444444444444444,38
logistic,prior_trajectory,2016,109,55,0.5045871559633027,0.7006933256921885,0.19610616972888573,0.10909090909090909,6,0.18181818181818182,11,0.2909090909090909,22,0.4,33
logistic,prior_trajectory,2017,99,38,0.3838383838383838,0.6450981208521496,0.26125973701376576,0.07894736842105263,5,0.18421052631578946,10,0.39473684210526316,20,0.5526315789473685,30
logistic,prior_trajectory,2018,118,16,0.13559322033898305,0.28348739388899935,0.1478941735500163,0.125,6,0.1875,12,0.3125,24,0.5,36
logistic,prior_trajectory,2019,128,98,0.765625,0.8815886259574542,0.11596362595745424,0.07142857142857142,7,0.12244897959183673,13,0.25510204081632654,26,0.3673469387755102,39
logistic,prior_trajectory,2020,93,29,0.3118279569892473,0.6389131197536595,0.3270851627644122,0.13793103448275862,5,0.27586206896551724,10,0.4827586206896552,19,0.6206896551724138,28
logistic,prior_trajectory,2021,116,41,0.35344827586206895,0.45210916055058553,0.09866088468851658,0.0975609756097561,6,0.17073170731707318,12,0.2682926829268293,24,0.3170731707317073,35
logistic,prior_trajectory,2022,112,38,0.3392857142857143,0.5292373333271351,0.18995161904142077,0.07894736842105263,6,0.21052631578947367,12,0.34210526315789475,23,0.39473684210526316,34
logistic,prior_trajectory,2023,108,73,0.6759259259259259,0.8778566256584801,0.20193069973255418,0.0821917808219178,6,0.136986301369863,11,0.273972602739726,22,0.3972602739726027,33
logistic,prior_trajectory,2024,84,16,0.19047619047619047,0.29670865923897277,0.1062324687627823,0.0625,5,0.125,9,0.25,17,0.4375,26
random_forest,daily_stress,2005,145,45,0.3103448275862069,0.46244063569062,0.1520958081044131,0.1111111111111111,8,0.2,15,0.28888888888888886,29,0.4,44
random_forest,daily_stress,2006,136,88,0.6470588235294118,0.6908183880184151,0.04375956448900331,0.056818181818181816,7,0.125,14,0.23863636363636365,28,0.32954545454545453,41
random_forest,daily_stress,2007,108,20,0.18518518518518517,0.557544296384096,0.3723591111989108,0.25,6,0.25,11,0.5,22,0.7,33
random_forest,daily_stress,2008,153,48,0.3137254901960784,0.5461388767517483,0.2324133865556699,0.125,8,0.2916666666666667,16,0.4166666666666667,31,0.5,46
random_forest,daily_stress,2009,152,43,0.28289473684210525,0.5025783584794443,0.21968362163733907,0.13953488372093023,8,0.2558139534883721,16,0.3953488372093023,31,0.5116279069767442,46
random_forest,daily_stress,2010,151,76,0.5033112582781457,0.6567485260270212,0.15343726774887545,0.09210526315789473,8,0.14473684210526316,16,0.27631578947368424,31,0.3684210526315789,46
random_forest,daily_stress,2011,150,80,0.5333333333333333,0.6825928869810836,0.14925955364775023,0.075,8,0.1375,15,0.2625,30,0.4,45
random_forest,daily_stress,2012,121,43,0.35537190082644626,0.4879585525129325,0.13258665168648626,0.06976744186046512,7,0.13953488372093023,13,0.3488372093023256,25,0.4186046511627907,37
random_forest,daily_stress,2013,125,25,0.2,0.47272469706915676,0.27272469706915675,0.16,7,0.32,13,0.48,25,0.64,38
random_forest,daily_stress,2014,146,92,0.6301369863013698,0.7105512197553816,0.08041423345401177,0.05434782608695652,8,0.10869565217391304,15,0.21739130434782608,30,0.32608695652173914,44
random_forest,daily_stress,2015,124,45,0.3629032258064516,0.3569710833581254,-0.005932142448326239,0.022222222222222223,7,0.044444444444444446,13,0.13333333333333333,25,0.26666666666666666,38
random_forest,daily_stress,2016,109,55,0.5045871559633027,0.6389370093381245,0.13434985337482175,0.07272727272727272,6,0.14545454545454545,11,0.2909090909090909,22,0.43636363636363634,33
