domain,model_family,feature_set,protocol,year,n,events,prevalence,average_precision,ap_lift,estimable
upwelling_supported_domain,xgboost,trajectory_plus_oisst,expanding_window,2007,217,71,0.3271889400921659,0.541467974565523,0.21427903447335706,True
upwelling_supported_domain,xgboost,trajectory_plus_oisst,expanding_window,2008,216,61,0.2824074074074074,0.5995738877494619,0.31716648034205447,True
upwelling_supported_domain,xgboost,trajectory_plus_oisst,expanding_window,2009,228,99,0.4342105263157895,0.5937818765329113,0.15957135021712177,True
upwelling_supported_domain,xgboost,trajectory_plus_oisst,expanding_window,2010,225,136,0.6044444444444445,0.7538956450459918,0.14945120060154737,True
upwelling_supported_domain,xgboost,trajectory_plus_oisst,expanding_window,2011,186,65,0.34946236559139787,0.5975356560177209,0.24807329042632298,True
upwelling_supported_domain,xgboost,trajectory_plus_oisst,expanding_window,2012,196,28,0.14285714285714285,0.7324237928414428,0.5895666499843,True
upwelling_supported_domain,xgboost,trajectory_plus_oisst,expanding_window,2013,230,185,0.8043478260869565,0.8920232984881017,0.08767547240114515,True
upwelling_supported_domain,xgboost,trajectory_plus_oisst,expanding_window,2014,188,73,0.3882978723404255,0.45656005773871483,0.06826218539828932,True
upwelling_supported_domain,xgboost,trajectory_plus_oisst,expanding_window,2015,163,53,0.32515337423312884,0.4537178652774792,0.12856449104435036,True
upwelling_supported_domain,xgboost,trajectory_plus_oisst,expanding_window,2016,168,71,0.4226190476190476,0.587600756831868,0.16498170921282035,True
upwelling_supported_domain,xgboost,trajectory_plus_oisst,expanding_window,2017,175,36,0.2057142857142857,0.30768313861337115,0.10196885289908544,True
upwelling_supported_domain,xgboost,trajectory_plus_oisst,expanding_window,2018,181,156,0.861878453038674,0.9215299963489264,0.05965154331025235,True
upwelling_supported_domain,xgboost,trajectory_plus_oisst,expanding_window,2019,123,21,0.17073170731707318,0.2486978203011047,0.07796611298403153,True
upwelling_supported_domain,xgboost,trajectory_plus_oisst,expanding_window,2020,156,56,0.358974358974359,0.3825520738489332,0.023577714874574218,True
upwelling_supported_domain,xgboost,trajectory_plus_oisst,expanding_window,2021,161,46,0.2857142857142857,0.3580316169382309,0.07231733122394518,True
upwelling_supported_domain,xgboost,trajectory_plus_oisst,expanding_window,2022,160,126,0.7875,0.8109050703576738,0.023405070357673807,True
upwelling_supported_domain,xgboost,trajectory_plus_oisst,expanding_window,2023,111,10,0.09009009009009009,0.31566310841453155,0.22557301832444146,True
upwelling_supported_domain,xgboost,trajectory_plus_oisst,expanding_window,2024,138,39,0.2826086956521739,0.4095863159759605,0.12697762032378662,True
upwelling_supported_domain,xgboost,trajectory_plus_oisst_cuti_beuti,expanding_window,2005,207,129,0.6231884057971014,0.7561731581345642,0.13298475233746276,True
upwelling_supported_domain,xgboost,trajectory_plus_oisst_cuti_beuti,expanding_window,2006,191,39,0.20418848167539266,0.6595935610028782,0.4554050793274856,True
upwelling_supported_domain,xgboost,trajectory_plus_oisst_cuti_beuti,expanding_window,2007,217,71,0.3271889400921659,0.2942015644065976,-0.03298737568556831,True
upwelling_supported_domain,xgboost,trajectory_plus_oisst_cuti_beuti,expanding_window,2008,216,61,0.2824074074074074,0.5761015041871501,0.29369409677974273,True
upwelling_supported_domain,xgboost,trajectory_plus_oisst_cuti_beuti,expanding_window,2009,228,99,0.4342105263157895,0.5260462918532081,0.09183576553741857,True
upwelling_supported_domain,xgboost,trajectory_plus_oisst_cuti_beuti,expanding_window,2010,225,136,0.6044444444444445,0.7193650555637678,0.11492061111932339,True
upwelling_supported_domain,xgboost,trajectory_plus_oisst_cuti_beuti,expanding_window,2011,186,65,0.34946236559139787,0.7398399912030922,0.3903776256116943,True
upwelling_supported_domain,xgboost,trajectory_plus_oisst_cuti_beuti,expanding_window,2012,196,28,0.14285714285714285,0.6713916592230956,0.5285345163659527,True
upwelling_supported_domain,xgboost,trajectory_plus_oisst_cuti_beuti,expanding_window,2013,230,185,0.8043478260869565,0.8866075262593971,0.08225970017244055,True
upwelling_supported_domain,xgboost,trajectory_plus_oisst_cuti_beuti,expanding_window,2014,188,73,0.3882978723404255,0.4133732497054939,0.025075377365068374,True
upwelling_supported_domain,xgboost,trajectory_plus_oisst_cuti_beuti,expanding_window,2015,163,53,0.32515337423312884,0.5296850346233027,0.2045316603901739,True
upwelling_supported_domain,xgboost,trajectory_plus_oisst_cuti_beuti,expanding_window,2016,168,71,0.4226190476190476,0.5724842589400527,0.1498652113210051,True
upwelling_supported_domain,xgboost,trajectory_plus_oisst_cuti_beuti,expanding_window,2017,175,36,0.2057142857142857,0.32776031803554356,0.12204603232125785,True
upwelling_supported_domain,xgboost,trajectory_plus_oisst_cuti_beuti,expanding_window,2018,181,156,0.861878453038674,0.8841766410691622,0.02229818803048811,True
upwelling_supported_domain,xgboost,trajectory_plus_oisst_cuti_beuti,expanding_window,2019,123,21,0.17073170731707318,0.28912696038326763,0.11839525306619444,True
upwelling_supported_domain,xgboost,trajectory_plus_oisst_cuti_beuti,expanding_window,2020,156,56,0.358974358974359,0.3705650081923114,0.011590649217952442,True
upwelling_supported_domain,xgboost,trajectory_plus_oisst_cuti_beuti,expanding_window,2021,161,46,0.2857142857142857,0.4071875097284462,0.1214732240141605,True
upwelling_supported_domain,xgboost,trajectory_plus_oisst_cuti_beuti,expanding_window,2022,160,126,0.7875,0.8178991135375939,0.030399113537593947,True
upwelling_supported_domain,xgboost,trajectory_plus_oisst_cuti_beuti,expanding_window,2023,111,10,0.09009009009009009,0.3428479591994886,0.25275786910939857,True
upwelling_supported_domain,xgboost,trajectory_plus_oisst_cuti_beuti,expanding_window,2024,138,39,0.2826086956521739,0.3471227295110808,0.06451403385890692,True
