decline_threshold,canopy_cutoff,domain,feature_set,n,events,prevalence,pooled_ap,pooled_ap_lift,macro_within_year_ap_lift,estimable_years,brier,log_loss
0.4,0.05,full_oisst_domain,trajectory_plus_oisst,5411,1931,0.35686564405839954,0.5122102804313324,0.1553446363729329,0.16305929975465586,20,0.21547793749213418,0.6247427433813648
0.4,0.05,upwelling_supported_domain,current_only,3620,1340,0.3701657458563536,0.5057693691152332,0.1356036232588796,0.1275265373091077,20,0.22114960886286655,0.6354422122276429
0.4,0.05,upwelling_supported_domain,current_plus_trajectory,3620,1340,0.3701657458563536,0.5254775467103383,0.15531180085398472,0.16462183772348485,20,0.2176802630280921,0.6278819839615637
0.4,0.05,upwelling_supported_domain,trajectory_plus_oisst,3620,1340,0.3701657458563536,0.49635008906263545,0.12618434320628186,0.15684105841034315,20,0.22605970407326284,0.6487839671832466
0.4,0.05,upwelling_supported_domain,trajectory_plus_oisst_cuti_beuti,3620,1340,0.3701657458563536,0.48752692357994876,0.11736117772359517,0.13871459776454953,20,0.22974071020780784,0.6583145373192223
0.4,0.1,full_oisst_domain,current_only,4788,1793,0.3744778613199666,0.5125819526974056,0.138104091377439,0.13774979882660746,20,0.22226335054863425,0.6377686272859128
0.4,0.1,full_oisst_domain,current_plus_trajectory,4788,1793,0.3744778613199666,0.545062014872713,0.17058415355274642,0.18281301377028986,20,0.21646856896776911,0.6261786131818023
0.4,0.1,full_oisst_domain,trajectory_plus_oisst,4788,1793,0.3744778613199666,0.5214563461923633,0.14697848487239668,0.1600055382115254,20,0.22169677262801163,0.6390223221415068
0.4,0.1,upwelling_supported_domain,current_only,3159,1244,0.393795504906616,0.5155633971242479,0.1217678922176319,0.12686230065252044,20,0.2288141306873304,0.651672132690221
0.4,0.1,upwelling_supported_domain,current_plus_trajectory,3159,1244,0.393795504906616,0.5376779595898546,0.14388245468323863,0.17059594004471562,20,0.22534817397537613,0.6447734327086295
0.4,0.1,upwelling_supported_domain,trajectory_plus_oisst,3159,1244,0.393795504906616,0.5074770697594089,0.11368156485279285,0.16405102314610415,20,0.23470657435117623,0.667916048447197
0.4,0.1,upwelling_supported_domain,trajectory_plus_oisst_cuti_beuti,3159,1244,0.393795504906616,0.4963252120906144,0.1025297071839984,0.1440312381528115,20,0.2399163763433795,0.6813274824616197
