domain,model_family,feature_set,budget_fraction,years,total_selected,total_events,total_true_positives,micro_recall,recall_ci_low,recall_ci_high,micro_precision,precision_ci_low,precision_ci_high
full_oisst_domain,random_forest,current_plus_trajectory,0.1,20,550,2184,390,0.17857142857142858,0.15772216427573754,0.21079248366013068,0.7090909090909091,0.6420449018394058,0.7692340791738382
full_oisst_domain,random_forest,current_plus_trajectory,0.2,20,1089,2184,671,0.30723443223443225,0.28269529070932486,0.3418432444748234,0.6161616161616161,0.5479874385505071,0.6831919472846031
full_oisst_domain,random_forest,current_plus_trajectory,0.3,20,1632,2184,939,0.42994505494505497,0.40331692147413234,0.4684843883205456,0.5753676470588235,0.5079002902487085,0.6431667449608677
full_oisst_domain,random_forest,trajectory_plus_oisst,0.05,20,279,2184,213,0.09752747252747253,0.08506103465085375,0.11500734972375173,0.7634408602150538,0.6882119056380065,0.8350318251003181
full_oisst_domain,random_forest,trajectory_plus_oisst,0.1,20,550,2184,393,0.17994505494505494,0.1590007455919013,0.21042518926983678,0.7145454545454546,0.6370510396975425,0.7830108185695795
full_oisst_domain,random_forest,trajectory_plus_oisst,0.2,20,1089,2184,678,0.31043956043956045,0.2857711963280899,0.3449392944346528,0.6225895316804407,0.5545934597277007,0.6932339970742377
full_oisst_domain,random_forest,trajectory_plus_oisst,0.3,20,1632,2184,932,0.4267399267399267,0.400084893339138,0.4645338763197587,0.571078431372549,0.502880704493115,0.6434635656423392
full_oisst_domain,xgboost,current_only,0.05,20,279,2184,193,0.08836996336996338,0.07657509092205661,0.10356135469865367,0.6917562724014337,0.6168549000760943,0.7612931522354273
full_oisst_domain,xgboost,current_only,0.1,20,550,2184,368,0.1684981684981685,0.14809250602908627,0.1966900841877502,0.6690909090909091,0.5899281976644765,0.7407407407407407
full_oisst_domain,xgboost,current_only,0.2,20,1089,2184,645,0.29532967032967034,0.2714372115622109,0.32775858165382904,0.5922865013774105,0.5070117380217076,0.6730487269315605
full_oisst_domain,xgboost,current_only,0.3,20,1632,2184,885,0.4052197802197802,0.3834893955461294,0.4326547134766805,0.5422794117647058,0.4621225911160247,0.6246911376968969
full_oisst_domain,xgboost,current_plus_trajectory,0.05,20,279,2184,196,0.08974358974358974,0.07795180250667513,0.10640724203885876,0.7025089605734767,0.6162713325669821,0.7790541078970434
full_oisst_domain,xgboost,current_plus_trajectory,0.1,20,550,2184,375,0.1717032967032967,0.15196509963004853,0.1991032677809806,0.6818181818181818,0.6,0.7569082800454192
full_oisst_domain,xgboost,current_plus_trajectory,0.2,20,1089,2184,670,0.3067765567765568,0.2831975031032746,0.3383122055523067,0.6152433425160698,0.5458960147304389,0.6881415522140175
full_oisst_domain,xgboost,current_plus_trajectory,0.3,20,1632,2184,924,0.4230769230769231,0.39802614673005265,0.454594500694858,0.5661764705882353,0.49388126661175136,0.6458032744484391
full_oisst_domain,xgboost,trajectory_plus_oisst,0.05,20,279,2184,211,0.09661172161172162,0.0835069840934236,0.11455536227252423,0.7562724014336918,0.6737399886740555,0.8305178215353938
full_oisst_domain,xgboost,trajectory_plus_oisst,0.1,20,550,2184,393,0.17994505494505494,0.16010283965407637,0.20642847264696615,0.7145454545454546,0.6478148886673313,0.7748271276595744
full_oisst_domain,xgboost,trajectory_plus_oisst,0.2,20,1089,2184,681,0.3118131868131868,0.2859931755386326,0.3453622092310208,0.6253443526170799,0.5603107784528019,0.6903014583263383
full_oisst_domain,xgboost,trajectory_plus_oisst,0.3,20,1632,2184,927,0.42445054945054944,0.3961377694623844,0.4612922808516699,0.5680147058823529,0.5038617417251138,0.6331481969299401
upwelling_supported_domain,logistic,current_only,0.05,20,191,1500,126,0.084,0.06825881969497735,0.10508693609022554,0.6596858638743456,0.5530615995295501,0.758629531388152
upwelling_supported_domain,logistic,current_only,0.1,20,371,1500,234,0.156,0.13351890352488904,0.18745623498938205,0.6307277628032345,0.5261515780730898,0.7281801905492679
upwelling_supported_domain,logistic,current_only,0.2,20,734,1500,405,0.27,0.24482850049356328,0.30326815664146706,0.5517711171662125,0.45844973734479466,0.6438003758990856
upwelling_supported_domain,logistic,current_only,0.3,20,1095,1500,577,0.38466666666666666,0.3559000714560545,0.4228625977722495,0.5269406392694064,0.43707740337766965,0.6212130662289843
upwelling_supported_domain,logistic,current_plus_trajectory,0.05,20,191,1500,135,0.09,0.07421780918834296,0.1120457642516466,0.7068062827225131,0.6228442249240121,0.78975
upwelling_supported_domain,logistic,current_plus_trajectory,0.1,20,371,1500,246,0.164,0.138273149944743,0.19935317222278315,0.6630727762803235,0.5706345140197466,0.7437231891163133
upwelling_supported_domain,logistic,current_plus_trajectory,0.2,20,734,1500,424,0.2826666666666667,0.24867258778362164,0.3277383444415036,0.5776566757493188,0.5014442355889724,0.6524304645138282
upwelling_supported_domain,logistic,current_plus_trajectory,0.3,20,1095,1500,572,0.38133333333333336,0.3467907162941308,0.4263895543232278,0.5223744292237443,0.43439783982984703,0.6146977341064591
upwelling_supported_domain,logistic,trajectory_plus_oisst,0.05,20,191,1500,135,0.09,0.07356133160064898,0.11229049640384155,0.7068062827225131,0.6108100016183848,0.7889514976845009
upwelling_supported_domain,logistic,trajectory_plus_oisst,0.1,20,371,1500,245,0.16333333333333333,0.13901594140059226,0.19760252873563217,0.660377358490566,0.5796873053444624,0.7364372343085771
upwelling_supported_domain,logistic,trajectory_plus_oisst,0.2,20,734,1500,414,0.276,0.24436392941898344,0.31620903454384414,0.5640326975476839,0.4865994985322896,0.6399529523734767
upwelling_supported_domain,logistic,trajectory_plus_oisst,0.3,20,1095,1500,584,0.3893333333333333,0.35538364445727466,0.4336639683896203,0.5333333333333333,0.4495046632994139,0.6171254307999274
upwelling_supported_domain,logistic,trajectory_plus_oisst_cuti_beuti,0.05,20,191,1500,132,0.088,0.07245325882993857,0.11090658456490719,0.6910994764397905,0.5947368421052631,0.7772027137946955
upwelling_supported_domain,logistic,trajectory_plus_oisst_cuti_beuti,0.1,20,371,1500,241,0.16066666666666668,0.13764879037446917,0.19431724675406878,0.6495956873315364,0.5691849734401728,0.7228010271335534
upwelling_supported_domain,logistic,trajectory_plus_oisst_cuti_beuti,0.2,20,734,1500,410,0.2733333333333333,0.24380391594424614,0.30993993710125606,0.55858310626703,0.4724276904070907,0.6426781123760558
upwelling_supported_domain,logistic,trajectory_plus_oisst_cuti_beuti,0.3,20,1095,1500,581,0.3873333333333333,0.35718844955105467,0.4277750064932089,0.5305936073059361,0.43944076455902153,0.6217542928978845
upwelling_supported_domain,random_forest,current_only,0.05,20,191,1500,128,0.08533333333333333,0.07129319454884557,0.10729909512230942,0.6701570680628273,0.5682875498449269,0.7572815533980582
upwelling_supported_domain,random_forest,current_only,0.1,20,371,1500,236,0.15733333333333333,0.13522149471377418,0.18841986054980675,0.6361185983827493,0.5318497866717611,0.7270528068175498
upwelling_supported_domain,random_forest,current_only,0.2,20,734,1500,414,0.276,0.24799989310529127,0.31054236729310913,0.5640326975476839,0.4594123551680624,0.6584826374246853
upwelling_supported_domain,random_forest,current_only,0.3,20,1095,1500,579,0.386,0.35422834474919984,0.4240927176536024,0.5287671232876713,0.42923051211352936,0.6220411356702082
upwelling_supported_domain,random_forest,current_plus_trajectory,0.05,20,191,1500,137,0.09133333333333334,0.07648668949084454,0.11416317954220315,0.7172774869109948,0.6249834656084656,0.797979797979798
upwelling_supported_domain,random_forest,current_plus_trajectory,0.1,20,371,1500,241,0.16066666666666668,0.1368205184931577,0.19429776429720144,0.6495956873315364,0.5475302267105338,0.7414313815465385
upwelling_supported_domain,random_forest,current_plus_trajectory,0.2,20,734,1500,424,0.2826666666666667,0.2525007959844923,0.32513764031219844,0.5776566757493188,0.4855937195840377,0.663939816097616
upwelling_supported_domain,random_forest,current_plus_trajectory,0.3,20,1095,1500,593,0.3953333333333333,0.35823006071888563,0.44260994024888267,0.5415525114155251,0.44342226310947563,0.6331224693223044
