protocol,repeat,domain,model_family,feature_set,n,events,prevalence,pooled_ap,pooled_ap_lift,macro_within_year_ap_lift,estimable_years,brier,log_loss
random_cell_year_cv,16,full_oisst_domain,logistic,trajectory_plus_oisst,5411,2184,0.4036222509702458,0.6017972733994095,0.19817502242916368,0.19167293679115538,20,0.21427472654452037,0.6201254372380133
random_cell_year_cv,17,full_oisst_domain,logistic,current_only,5411,2184,0.4036222509702458,0.56798411019837,0.16436185922812424,0.15291533267156507,20,0.22336413871963945,0.6403098116115662
random_cell_year_cv,17,full_oisst_domain,logistic,current_plus_trajectory,5411,2184,0.4036222509702458,0.5995086157926725,0.19588636482242666,0.19661883580427744,20,0.21593815625573023,0.6242181560716054
random_cell_year_cv,17,full_oisst_domain,logistic,trajectory_plus_oisst,5411,2184,0.4036222509702458,0.6012269519235347,0.19760470095328891,0.19130797174354788,20,0.21446857130929464,0.6207179109658956
random_cell_year_cv,18,full_oisst_domain,logistic,current_only,5411,2184,0.4036222509702458,0.5682161771107636,0.16459392614051777,0.15320792565169686,20,0.22333761625180823,0.6402165452554728
random_cell_year_cv,18,full_oisst_domain,logistic,current_plus_trajectory,5411,2184,0.4036222509702458,0.5999636223007847,0.19634137133053892,0.19766054210974832,20,0.21584417266620273,0.6238947338428077
random_cell_year_cv,18,full_oisst_domain,logistic,trajectory_plus_oisst,5411,2184,0.4036222509702458,0.6017444020132521,0.1981221510430063,0.19130636936690135,20,0.21439395621653567,0.6203975639165831
random_cell_year_cv,19,full_oisst_domain,logistic,current_only,5411,2184,0.4036222509702458,0.5680309824876839,0.16440873151743812,0.15317344225000107,20,0.2233513625017643,0.6403289541976274
random_cell_year_cv,19,full_oisst_domain,logistic,current_plus_trajectory,5411,2184,0.4036222509702458,0.6001445437253159,0.1965222927550701,0.1981199099442561,20,0.21585896098200838,0.6239549748038187
random_cell_year_cv,19,full_oisst_domain,logistic,trajectory_plus_oisst,5411,2184,0.4036222509702458,0.600648947360158,0.19702669638991216,0.19045489613135486,20,0.21463977669178852,0.6209595244024351
random_cell_year_cv,0,upwelling_supported_domain,logistic,current_only,3620,1500,0.4143646408839779,0.5722749813716108,0.15791034048763292,0.14016852641520977,20,0.22549904299473045,0.6452999959349569
random_cell_year_cv,0,upwelling_supported_domain,logistic,current_plus_trajectory,3620,1500,0.4143646408839779,0.5956347214679806,0.18127008058400268,0.17832902672308742,20,0.21965235944572137,0.6314252451637611
random_cell_year_cv,0,upwelling_supported_domain,logistic,trajectory_plus_oisst,3620,1500,0.4143646408839779,0.6000492272489512,0.18568458636497326,0.17336249212968344,20,0.2177012148492059,0.626750691822086
random_cell_year_cv,0,upwelling_supported_domain,logistic,trajectory_plus_oisst_cuti_beuti,3620,1500,0.4143646408839779,0.6155760204025356,0.20121137951855766,0.16552605501463535,20,0.21387136195152026,0.6181232224563685
random_cell_year_cv,1,upwelling_supported_domain,logistic,current_only,3620,1500,0.4143646408839779,0.5725317381351703,0.15816709725119243,0.13958286683529525,20,0.22545259799920153,0.6451722661900481
random_cell_year_cv,1,upwelling_supported_domain,logistic,current_plus_trajectory,3620,1500,0.4143646408839779,0.5971019890291697,0.18273734814519177,0.17998849187432575,20,0.2194206070697604,0.6311165330187456
random_cell_year_cv,1,upwelling_supported_domain,logistic,trajectory_plus_oisst,3620,1500,0.4143646408839779,0.6024143711660069,0.18804973028202904,0.17684895437014062,20,0.21732637815864356,0.6260728639866749
random_cell_year_cv,1,upwelling_supported_domain,logistic,trajectory_plus_oisst_cuti_beuti,3620,1500,0.4143646408839779,0.6177041589016017,0.2033395180176238,0.169331938741584,20,0.21341759691180529,0.6172176858100326
random_cell_year_cv,2,upwelling_supported_domain,logistic,current_only,3620,1500,0.4143646408839779,0.5723336074579685,0.15796896657399057,0.14019625714045725,20,0.22543573120593588,0.6450549282923164
random_cell_year_cv,2,upwelling_supported_domain,logistic,current_plus_trajectory,3620,1500,0.4143646408839779,0.5978352125095635,0.1834705716255856,0.18113860584263453,20,0.21914907966885844,0.6303519903082393
random_cell_year_cv,2,upwelling_supported_domain,logistic,trajectory_plus_oisst,3620,1500,0.4143646408839779,0.6032001941650809,0.18883555328110296,0.17696167831835916,20,0.2170630493836089,0.625369249051486
random_cell_year_cv,2,upwelling_supported_domain,logistic,trajectory_plus_oisst_cuti_beuti,3620,1500,0.4143646408839779,0.6173927130305781,0.20302807214660018,0.16757928872286168,20,0.21349892931959683,0.6173573871327054
random_cell_year_cv,3,upwelling_supported_domain,logistic,current_only,3620,1500,0.4143646408839779,0.5722684205354673,0.15790377965148944,0.14186592414910587,20,0.22543401283460754,0.6450684131212652
random_cell_year_cv,3,upwelling_supported_domain,logistic,current_plus_trajectory,3620,1500,0.4143646408839779,0.5966854506305745,0.18232080974659665,0.17954550707054762,20,0.21945502559767413,0.6310185172857629
random_cell_year_cv,3,upwelling_supported_domain,logistic,trajectory_plus_oisst,3620,1500,0.4143646408839779,0.60117048380844,0.18680584292446206,0.17569724952464721,20,0.21742022599226646,0.6261271270943229
random_cell_year_cv,3,upwelling_supported_domain,logistic,trajectory_plus_oisst_cuti_beuti,3620,1500,0.4143646408839779,0.6165686763030341,0.20220403541905624,0.16820809373216544,20,0.21360596686107733,0.6174175600443799
random_cell_year_cv,4,upwelling_supported_domain,logistic,current_only,3620,1500,0.4143646408839779,0.5723138989447405,0.1579492580607626,0.13981421352127163,20,0.2254520413107317,0.6451548979951882
random_cell_year_cv,4,upwelling_supported_domain,logistic,current_plus_trajectory,3620,1500,0.4143646408839779,0.596059077092214,0.18169443620823605,0.17980401646360442,20,0.21959309359744367,0.6314677624053961
random_cell_year_cv,4,upwelling_supported_domain,logistic,trajectory_plus_oisst,3620,1500,0.4143646408839779,0.6003363023258593,0.18597166144188143,0.17485765147385754,20,0.21759747439812824,0.6266168139719304
