site_id,support_m,overlap_cluster,region_group,year,event,model_family,score_current,score_trajectory,score_mur,risk_percentile_current,risk_percentile_trajectory,risk_percentile_mur,selected_at_budget_current,selected_at_budget_trajectory,selected_at_budget_mur,trajectory_false_negative,trajectory_false_positive,trajectory_rank_quality_pp,mur_signed_rank_gain_pp,mur_brier_gain,grazing_log1p,rock_probability,depth_m,kelp_species_contrast,n_transects
MONASTERY_DC UCSC,1000,s1000_c011,Central California,2015,0,logistic,0.4652425303175672,0.3605006687551451,0.29609416272122685,0.8214285714285714,0.6071428571428571,0.21428571428571427,True,False,False,0,0,-10.71428571428571,39.28571428571428,0.04228897897532248,6.417140612465603,0.725630627,12.44250186,-0.3465735902799726,6
MONASTERY_DC UCSC,1000,s1000_c011,Central California,2015,0,random_forest,0.5330295012066472,0.34614125843994775,0.2331006135252994,0.9,0.6428571428571429,0.2357142857142857,True,False,False,0,0,-14.28571428571429,40.71428571428572,0.06547787476851971,6.417140612465603,0.725630627,12.44250186,-0.3465735902799726,6
MONASTERY_DC UCSC,1000,s1000_c011,Central California,2015,0,xgboost,0.5121231079101562,0.334733784198761,0.47288620471954346,0.9,0.5,0.32142857142857145,True,False,False,0,0,-0.0,17.857142857142854,-0.11157465633003127,6.417140612465603,0.725630627,12.44250186,-0.3465735902799726,6
MONASTERY_DC UCSC,1000,s1000_c011,Central California,2016,0,logistic,0.43547843232689837,0.31597840822237044,0.4620245802666445,0.7847222222222222,0.4375,0.5208333333333334,False,False,False,0,0,6.25,-8.333333333333337,-0.11362435830782605,5.6559856980141365,0.725630627,12.44250186,-0.8047189562170501,6
MONASTERY_DC UCSC,1000,s1000_c011,Central California,2016,0,random_forest,0.42495371984090363,0.25528752103072816,0.3019352512791618,0.7708333333333334,0.3263888888888889,0.4861111111111111,False,False,False,0,0,17.36111111111111,-15.972222222222221,-0.025993177570996118,5.6559856980141365,0.725630627,12.44250186,-0.8047189562170501,6
MONASTERY_DC UCSC,1000,s1000_c011,Central California,2016,0,xgboost,0.41100358963012695,0.2322336882352829,0.26328209042549133,0.7291666666666666,0.3333333333333333,0.3680555555555556,False,False,False,0,0,16.666666666666668,-3.4722222222222268,-0.01538497318745402,5.6559856980141365,0.725630627,12.44250186,-0.8047189562170501,6
MONASTERY_DC UCSC,1000,s1000_c011,Central California,2017,0,logistic,0.4364847636193987,0.33359561561514794,0.25256511440599827,0.8270676691729323,0.5639097744360902,0.2781954887218045,True,False,False,0,0,-6.3909774436090245,28.571428571428577,0.04749689774273454,4.936204798482633,0.725630627,12.44250186,0.5725661521515014,6
MONASTERY_DC UCSC,1000,s1000_c011,Central California,2017,0,random_forest,0.3984944733052717,0.236746858106059,0.19775136885541628,0.7518796992481203,0.09774436090225563,0.24060150375939848,False,False,False,0,0,40.225563909774436,-14.285714285714285,0.01694347093889953,4.936204798482633,0.725630627,12.44250186,0.5725661521515014,6
MONASTERY_DC UCSC,1000,s1000_c011,Central California,2017,0,xgboost,0.43323275446891785,0.2461864948272705,0.15019236505031586,0.7593984962406015,0.2857142857142857,0.20300751879699247,False,False,False,0,0,21.42857142857143,8.270676691729323,0.03805004371593035,4.936204798482633,0.725630627,12.44250186,0.5725661521515014,6
MONASTERY_DC UCSC,1000,s1000_c011,Central California,2018,1,logistic,0.36357078678468246,0.31754350138100235,0.32287237346408054,0.4788732394366197,0.2535211267605634,0.38028169014084506,False,False,False,1,0,-24.647887323943664,12.676056338028168,0.007245049889134325,6.755556783167736,0.725630627,12.44250186,-0.4054651081081645,6
MONASTERY_DC UCSC,1000,s1000_c011,Central California,2018,1,random_forest,0.33005446885653184,0.21944775992065563,0.23335052776619836,0.34507042253521125,0.014084507042253521,0.24647887323943662,False,False,False,1,0,-48.59154929577465,23.239436619718308,0.021510386216515798,6.755556783167736,0.725630627,12.44250186,-0.4054651081081645,6
MONASTERY_DC UCSC,1000,s1000_c011,Central California,2018,1,xgboost,0.32760682702064514,0.15592321753501892,0.2269531488418579,0.3908450704225352,0.02112676056338028,0.15492957746478872,False,False,False,1,0,-47.887323943661976,13.380281690140844,0.1148641806109163,6.755556783167736,0.725630627,12.44250186,-0.4054651081081645,6
