site_id,latitude,longitude,region_group,field_years,support_m,overlap_cluster,pre2005_footprint_pixels,positive_reference_years,stable_support
Trinidad,41.055,-124.14,Northern California,7,300,s300_c137,21,20,True
UNDERWATER_ARCH VRG,33.75146,-118.4171,Southern California,1,300,s300_c041,69,13,True
Van Damme,39.271915,-123.795914,Northern California,15,300,s300_c138,109,18,True
WESTON_DC UCSC,36.51035,-121.9458,Central California,20,300,s300_c139,237,18,True
WESTON_UC UCSC,36.51261,-121.9488,Central California,21,300,s300_c139,205,19,True
WHITES_POINT VRG,33.71588,-118.3253,Southern California,3,300,s300_c140,208,21,True
WHITE_ROCK_UC UCSC,35.5271,-121.0898995,Central California,10,300,s300_c141,172,19,True
3_PALMS_EAST VRG,33.7181,-118.3326,Southern California,1,1000,s1000_c000,825,21,True
ABALONE_COVE_KELP_W VRG,33.73922,-118.3879,Southern California,11,1000,s1000_c001,228,20,True
ANACAPA_MIDDLE_ISLE_CEN UCSB,34.01006,-119.3878,Southern California,21,1000,s1000_c002,254,20,True
ANACAPA_MIDDLE_ISLE_W UCSB,34.00783,-119.3945,Southern California,20,1000,s1000_c002,278,20,True
ANACAPA_WEST_ISLE_CEN UCSB,34.01698,-119.4329,Southern California,17,1000,s1000_c003,232,20,True
ANACAPA_WEST_ISLE_W UCSB,34.01742,-119.4381,Southern California,17,1000,s1000_c003,224,20,True
ANDREW_MOLERA_OLD_DC UCSC,36.273592,-121.869709,Central California,1,1000,s1000_c004,1879,21,True
ANDREW_MOLERA_UC UCSC,36.27768,-121.876,Central California,10,1000,s1000_c004,2196,20,True
ASILOMAR_DC UCSC,36.63224,-121.9467,Central California,3,1000,s1000_c005,440,17,True
ASILOMAR_UC UCSC,36.63651,-121.9456,Central California,3,1000,s1000_c005,561,18,True
BIG_CREEK_DC UCSC,36.069079,-121.605115,Central California,11,1000,s1000_c006,773,21,True
BIG_CREEK_UC UCSC,36.069151000000005,-121.60802000000001,Central California,12,1000,s1000_c006,777,21,True
BIRD_ROCK UCSC,36.59343,-121.9714,Central California,3,1000,s1000_c007,766,18,True
BUCHON UCSC,35.24408,-120.9011,Central California,10,1000,s1000_c008,593,18,True
BULLITO UCSB,34.45543,-120.332,Southern California,5,1000,s1000_c009,467,20,True
BUNKER_POINT VRG,33.72465,-118.3532,Southern California,11,1000,s1000_c010,424,21,True
BUTTERFLY_DC UCSC,36.53744,-121.9357,Central California,13,1000,s1000_c011,740,20,True
BUTTERFLY_UC UCSC,36.53966,-121.9363,Central California,13,1000,s1000_c011,921,20,True
CABRILLO_NATIONAL_MONUMENT VRG,32.65805,-117.2472,Southern California,2,1000,s1000_c012,2087,17,True
CAMBRIA_DC UCSC,35.5678915,-121.12430950000001,Central California,10,1000,s1000_c013,952,20,True
CAMBRIA_UC UCSC,35.5704975,-121.1271225,Central California,10,1000,s1000_c013,1080,20,True
CANNERY_DC UCSC,36.61495,-121.896,Central California,11,1000,s1000_c005,360,18,True
CANNERY_UC UCSC,36.61264,-121.8946,Central California,11,1000,s1000_c005,304,19,True
CAYUCOS_DC UCSC,35.434393,-120.947256,Central California,7,1000,s1000_c014,930,20,True
CAYUCOS_UC UCSC,35.43415,-120.950473,Central California,7,1000,s1000_c014,759,20,True
CHILDRENS_POOL VRG,32.85167,-117.2783,Southern California,4,1000,s1000_c015,976,18,True
CHINA_ROCK UCSC,36.59844,-121.9724,Central California,3,1000,s1000_c007,583,18,True
COJO_E UCSB,34.44129,-120.4168,Southern California,14,1000,s1000_c016,1419,20,True
COJO_W UCSB,34.4432,-120.4233,Southern California,15,1000,s1000_c016,971,20,True
COOPER UCSC,36.26315,-121.8566,Central California,6,1000,s1000_c004,1138,21,True
COUNTY_LINE UCSB,34.04302,-118.9522,Southern California,4,1000,s1000_c017,678,21,True
CROWBAR UCSC,35.22616,-120.8814,Central California,9,1000,s1000_c008,608,19,True
CYPRESS_PT_UC UCSC,36.58577,-121.9803,Central California,3,1000,s1000_c007,788,16,True
Caspar,39.36173,-123.822,Northern California,10,1000,s1000_c019,119,16,True
