outcome,axis,left_out_overlap_cluster,reference_estimate_per_sd,estimate_per_sd,absolute_change,same_direction_as_reference,n,remaining_overlap_clusters,years
mur_brier_gain,grazing_log1p,s300_c033,-0.005297162135512373,-0.005125814183656266,0.00017134795185610747,True,733,119,14
mur_brier_gain,grazing_log1p,s300_c034,-0.005297162135512373,-0.00547851892073046,0.00018135678521808644,True,732,119,14
mur_brier_gain,grazing_log1p,s300_c035,-0.005297162135512373,-0.005406738080106711,0.00010957594459433742,True,728,119,14
mur_brier_gain,grazing_log1p,s300_c037,-0.005297162135512373,-0.005115602839283134,0.00018155929622923946,True,730,119,14
mur_brier_gain,grazing_log1p,s300_c038,-0.005297162135512373,-0.006168728938478665,0.0008715668029662914,True,727,119,14
mur_brier_gain,grazing_log1p,s300_c039,-0.005297162135512373,-0.0052765457779840475,2.0616357528325732e-05,True,733,119,14
mur_brier_gain,grazing_log1p,s300_c040,-0.005297162135512373,-0.005102482745670356,0.00019467938984201686,True,732,119,14
mur_brier_gain,grazing_log1p,s300_c041,-0.005297162135512373,-0.0054316172954291305,0.00013445515991675726,True,733,119,14
mur_brier_gain,grazing_log1p,s300_c044,-0.005297162135512373,-0.005215176070589073,8.198606492330028e-05,True,731,119,14
mur_brier_gain,grazing_log1p,s300_c045,-0.005297162135512373,-0.00535136577400767,5.420363849529663e-05,True,733,119,14
mur_brier_gain,grazing_log1p,s300_c046,-0.005297162135512373,-0.005650259127118048,0.00035309699160567497,True,733,119,14
mur_brier_gain,grazing_log1p,s300_c047,-0.005297162135512373,-0.0052407458452091195,5.641629030325376e-05,True,732,119,14
mur_brier_gain,grazing_log1p,s300_c048,-0.005297162135512373,-0.0059213203099163815,0.0006241581744040083,True,730,119,14
mur_brier_gain,grazing_log1p,s300_c049,-0.005297162135512373,-0.005334136956262812,3.697482075043848e-05,True,733,119,14
mur_brier_gain,grazing_log1p,s300_c050,-0.005297162135512373,-0.005356588395407953,5.942625989557946e-05,True,728,119,14
mur_brier_gain,grazing_log1p,s300_c051,-0.005297162135512373,-0.005563966742689164,0.00026680460717679044,True,722,119,14
