site_id,support_m,overlap_cluster,region_group,latitude,longitude,year,annual_area_m2,annual_complete,valid_quarters,selected_quarter,pre2005_footprint_pixels,positive_reference_years,p95_annual_area_pre2005,relative_canopy,next_year_area_m2,relative_drop_next,event,eligible,canopy_lag1,canopy_lag2,canopy_2yr_change,canopy_3yr_change,canopy_3yr_mean,canopy_3yr_std,canopy_3yr_slope,canopy_drop_from_3yr_max,annual_mean_sst_mur1km,annual_max_sst_mur1km,annual_max_7day_mean_anomaly_mur1km,annual_positive_anomaly_degree_days_mur1km,annual_days_above_expanding_p90_mur1km,annual_max_consecutive_hot_days_mur1km
CYPRESS_PT_UC UCSC,1000,s1000_c007,Central California,36.58577,-121.9803,2015,75351.0,True,4,3,788,16,252312.75,0.2986412696147935,52080.0,0.3088346538201218,1,True,0.3492253165961688,0.5413004297246176,-0.242659160109824,-0.1403139555967742,0.3963890053118599,0.1280202216302341,-0.121329580054912,0.4482892434304458,14.841413698630136,18.426,3.634901098901099,619.6494102564102,137.0,131.0
CYPRESS_PT_UC UCSC,1000,s1000_c007,Central California,36.58577,-121.9803,2016,52080.0,True,4,3,788,16,252312.75,0.2064104964969071,57491.0,-0.1038978494623655,0,True,0.2986412696147935,0.3492253165961688,-0.1428148200992617,-0.3348899332277104,0.2847590275692898,0.0724124001339108,-0.0714074100496308,0.4089474998297659,13.79934699453552,16.186999999999998,2.1565,268.540804029304,36.0,9.0
CYPRESS_PT_UC UCSC,1000,s1000_c007,Central California,36.58577,-121.9803,2017,57491.0,True,4,3,788,16,252312.75,0.2278561031893949,54066.0,0.059574542102242,0,True,0.2064104964969071,0.2986412696147935,-0.0707851664253986,-0.1213692134067739,0.2443026231003651,0.0482648411410133,-0.0353925832126993,0.237024060729121,13.50540273972603,18.117,2.8088190476190475,159.72518571428571,50.0,43.0
CYPRESS_PT_UC UCSC,1000,s1000_c007,Central California,36.58577,-121.9803,2018,54066.0,True,4,3,788,16,252312.75,0.2142816801766854,13659.0,0.7473643324825213,1,True,0.2278561031893949,0.2064104964969071,0.0078711836797783,-0.084359589438108,0.2161827599543292,0.0108484602521735,0.0039355918398891,0.0595745421022421,13.85321095890411,16.956,3.0415178571428565,282.5894666666667,68.0,25.0
CYPRESS_PT_UC UCSC,1000,s1000_c007,Central California,36.58577,-121.9803,2019,13659.0,True,4,3,788,16,252312.75,0.0541351953082038,24389.0,-0.7855626326963907,0,True,0.2142816801766854,0.2278561031893949,-0.1737209078811911,-0.1522753011887033,0.1654243262247614,0.096617903284816,-0.0868604539405955,0.7624149866935693,13.928210958904112,16.750999999999998,2.4971964285714283,254.41551838235293,30.0,10.0
CYPRESS_PT_UC UCSC,1000,s1000_c007,Central California,36.58577,-121.9803,2020,24389.0,True,4,3,788,16,252312.75,0.0966617818560496,3460.0,0.8581327647710033,1,True,0.0541351953082038,0.2142816801766854,-0.1176198983206358,-0.1311943213333452,0.121692885780313,0.0829556584970744,-0.0588099491603179,0.5489031923944808,13.751273224043716,16.953,2.5286050420168067,237.15124509803923,39.0,10.0
Caspar,1000,s1000_c019,Northern California,39.36173,-123.822,2005,2097.0,True,4,2,119,16,21924.0,0.0956486042692939,1640.0,0.21793037672866,0,True,0.006066411238825,0.0,0.0956486042692939,-0.0950556467797847,0.033905005169373,0.0535574864859105,0.0478243021346469,0.0,12.011846575342467,13.552,2.803357142857144,203.76450000000003,51.0,21.0
Caspar,1000,s1000_c019,Northern California,39.36173,-123.822,2006,1640.0,True,4,4,119,16,21924.0,0.0748038679073161,3871.0,-1.3603658536585366,0,True,0.0956486042692939,0.006066411238825,0.0687374566684911,0.0748038679073161,0.058839627805145,0.046876273834072,0.0343687283342455,0.21793037672866,12.090742465753422,14.443,2.6964999999999995,220.241,76.0,28.0
Caspar,1000,s1000_c019,Northern California,39.36173,-123.822,2007,3871.0,True,4,3,119,16,21924.0,0.1765644955300128,17624.0,-3.55282872642728,0,True,0.0748038679073161,0.0956486042692939,0.0809158912607188,0.1704980842911877,0.1156723225688743,0.053754239874144,0.0404579456303593,0.0,11.5524,15.493,3.187028571428572,170.06045,70.0,36.0
Caspar,1000,s1000_c019,Northern California,39.36173,-123.822,2008,17624.0,True,4,3,119,16,21924.0,0.8038679073161833,11670.0,0.3378347707671357,1,True,0.1765644955300128,0.0748038679073161,0.7290640394088671,0.7082193030468893,0.3517454235845041,0.3948415651312791,0.3645320197044334,0.0,10.916289617486338,14.707,2.3405714285714287,90.45223333333334,39.0,27.0
