site_id,site_latitude,site_longitude,mur_latitude,mur_longitude,mur_match_distance_km,mapping_radius_degrees
LECHUZA UCSB,34.03505,-118.871,34.03,-118.87,0.5690459356787019,0.05
LECHUZA VRG,34.03186,-118.8631,34.03,-118.86,0.3526790613764208,0.05
LITTLE_DUME_W VRG,34.00654,-118.791,34.01,-118.79,0.395622805037823,0.05
LITTLE_IRISH_CEN UCSC,35.17806,-120.8177,35.18,-120.82,0.3003850886421468,0.05
LITTLE_IRISH_DC UCSC,35.17593,-120.8125,35.18,-120.81,0.5064011254848865,0.05
LITTLE_IRISH_UC UCSC,35.18421,-120.8251,35.18,-120.83,0.6461119261264672,0.05
LONE_TREE UCSC,36.56642,-121.9707,36.56,-121.97,0.7166047495369707,0.05
LONG_POINT_E VRG,33.73595,-118.4012,33.73,-118.4,0.6708522524544636,0.05
LOPEZ_DC UCSC,36.022240499999995,-121.5812165,36.02,-121.58,0.2720966638719783,0.05
LOPEZ_OLD_UC UCSC,36.030994,-121.582622,36.03,-121.58,0.2604013381554956,0.05
LOVERS_DC UCSC,36.62577,-121.9107,36.63,-121.91,0.4744849835193388,0.05
LOVERS_UC UCSC,36.62422,-121.9091,36.63,-121.91,0.6477062447698729,0.05
LUNADA_BAY VRG,33.77106,-118.431,33.77,-118.43,0.1497880949775452,0.05
MACABEE_DC UCSC,36.61818,-121.8968,36.62,-121.9,0.3500257276893988,0.05
MACABEE_UC UCSC,36.61715,-121.8957,36.62,-121.9,0.4977002838311556,0.05
MALPASO UCSC,36.46575,-121.934,36.47,-121.94,0.7149808215922909,0.05
MATLAHUAYL VRG,32.85116,-117.2702,32.85,-117.28,0.9244962084118052,0.05
MONASTERY_DC UCSC,36.52542,-121.9333,36.53,-121.93,0.5884765389581005,0.05
MONTANA_DE_ORO UCSC,35.23323,-120.8908,35.23,-120.89,0.3664364952437849,0.05
MacKerricher North,39.4928,-123.802,39.49,-123.81,0.7537953554521817,0.05
Mendocino Headlands,39.30528,-123.811,39.3,-123.81,0.5933816193275327,0.05
Monument,38.9277,-123.735,38.93,-123.74,0.5024646531406397,0.05
NAPLES_CEN UCSB,34.42185,-119.9515,34.42,-119.95,0.247482416921891,0.05
NAPLES_E UCSB,34.42333,-119.951,34.42,-119.95,0.3814714064583209,0.05
NAPLES_W UCSB,34.42463,-119.9553,34.42,-119.96,0.6714932796852718,0.05
NICHOLAS_CANYON_W VRG,34.03996,-118.9243,34.04,-118.92,0.3962333680082555,0.05
NORTH_SAN_SIMEON UCSC,35.63504,-121.2116,35.64,-121.21,0.570166398107787,0.05
OTTER_PT_DC UCSC,36.63648,-121.9212,36.64,-121.92,0.4057871338834966,0.05
OTTER_PT_UC UCSC,36.63463,-121.9189,36.64,-121.92,0.6051302231582113,0.05
Ocean Cove,38.555119,-123.305664,38.55,-123.31,0.6827635209802866,0.05
PARANOIDS UCSC,35.53717,-121.1002,35.54,-121.1,0.3152019833295039,0.05
PESCADERO_DC UCSC,36.55941,-121.9552,36.56,-121.96,0.4337072130254313,0.05
PESCADERO_UC UCSC,36.56112,-121.9598,36.56,-121.96,0.1258130438470643,0.05
PICO_CREEK_DC UCSC,35.60532,-121.1507,35.61,-121.15,0.524226644668991,0.05
PICO_CREEK_UC UCSC,35.61252,-121.1557,35.61,-121.16,0.479188954032986,0.05
PINNACLES_IN UCSC,36.55948,-121.9661,36.56,-121.97,0.3530985038158468,0.05
PINNACLES_OUT UCSC,36.55794,-121.9677,36.56,-121.97,0.3076853434842213,0.05
PINOS UCSC,36.64045,-121.9287,36.64,-121.93,0.1263224948419202,0.05
POINT_DUME UCSB,33.99884,-118.8066,34.0,-118.81,0.3389341070636781,0.05
POINT_FERMIN VRG,33.70732,-118.3002,33.7,-118.3,0.8141582247938633,0.05
POINT_LOMA_CEN VRG,32.7121,-117.263,32.71,-117.26,0.3651143455046597,0.05
POINT_LOMA_S VRG,32.67412,-117.26,32.67,-117.26,0.4581237305621214,0.05
POINT_VICENTE_W VRG,33.73974,-118.4137,33.74,-118.41,0.3433444823371299,0.05
PT_JOE UCSC,36.60509,-121.9715,36.61,-121.97,0.5621455938694889,0.05
PURISIMA_N UCSC,34.7295,-120.6317,34.73,-120.63,0.1650041426031307,0.05
PURISIMA_S UCSC,34.72695,-120.6271,34.73,-120.63,0.4304137496916889,0.05
Pebble Beach,38.69121,-123.442,38.69,-123.44,0.2196215872794337,0.05
Point Arena Lighthouse,38.9512,-123.744,38.95,-123.74,0.3707448861623302,0.05
Point Arena MPA (M2),38.9448,-123.741,38.94,-123.74,0.540697885621162,0.05
Point Arena Ref,38.908,-123.719,38.91,-123.72,0.2386296386710654,0.05
Portuguese Beach,39.30323,-123.803,39.3,-123.8,0.4423008391665926,0.05
RADAR UCSC,35.51222,-121.0734,35.51,-121.07,0.394516389418771,0.05
RESORT_POINT VRG,33.76648,-118.4275,33.77,-118.43,0.4545342508441505,0.05
RIDGES_N VRG,33.78848,-118.4232,33.79,-118.42,0.340613929417126,0.05
RIDGES_S VRG,33.78575,-118.4258,33.79,-118.43,0.6115425310145558,0.05
ROCKY_POINT_N VRG,33.78093,-118.43,33.78,-118.43,0.103411424616534,0.05
ROCKY_POINT_S VRG,33.77602,-118.4323,33.78,-118.43,0.4909638416090128,0.05
Russian Gulch,39.32798,-123.809,39.32,-123.81,0.8914962367166659,0.05
SABER_JETS UCSC,36.94802,-122.034,36.95,-122.03,0.4181169057841594,0.05
SANDHILL_UC UCSC,36.974306,-122.152109,36.97,-122.15,0.5141573855663708,0.05
SAN_SIMEON_BAY UCSC,35.62405,-121.1647,35.62,-121.16,0.6190968707612883,0.05
SAN_SIMEON_DC UCSC,35.631667,-121.190248,35.63,-121.19,0.1867123996216956,0.05
SAN_SIMEON_UC UCSC,35.630567,-121.19494,35.63,-121.19,0.4508997942034998,0.05
SBI_ARCH_POINT VRG,33.48911,-119.0279,33.49,-119.03,0.218446749956532,0.05
SBI_CAT_CANYON VRG,33.46442,-119.0441,33.46,-119.04,0.6214571381313254,0.05
SBI_GRAVEYARD_CANYON VRG,33.47471,-119.0268,33.47,-119.03,0.6019875144935907,0.05
SBI_SOUTHEAST_REEF VRG,33.46293,-119.0313,33.46,-119.03,0.3474043563508815,0.05
SBI_SOUTHEAST_SEALION VRG,33.46878,-119.0288,33.47,-119.03,0.1754781820771372,0.05
SBI_SUTIL VRG,33.46585,-119.0482,33.47,-119.05,0.4907364507759292,0.05
SCAI_BIRD_ROCK VRG,33.45217,-118.4877,33.45,-118.49,0.3221116220904875,0.05
SCAI_INDIAN_HEAD VRG,33.37996,-118.4821,33.38,-118.48,0.1950406721177297,0.05
SCI_CAVERN_POINT_W UCSB,34.05275,-119.5713,34.05,-119.57,0.3284047827106476,0.05
SCI_COCHE_POINT_E UCSB,34.04493,-119.6014,34.04,-119.6,0.5631640264290086,0.05
SCI_FORNEY_E UCSB,34.05148,-119.9097,34.05,-119.91,0.1668735274574277,0.05
SCI_FORNEY_W UCSB,34.05388,-119.9182,34.05,-119.92,0.4622097198010214,0.05
SCI_GULL_ISLE_E UCSB,33.94647,-119.8232,33.95,-119.82,0.4911181003110947,0.05
