support_m,model_family,outcome,outcome_label,axis,axis_label,n,cells,years,events,axis_mean,axis_sd,estimate_per_sd,standard_error,ci_low,ci_high,t_statistic,degrees_freedom,p_value,cell_clusters,year_clusters,q_value,ci_excludes_zero,supported_bh
300,logistic,mur_brier_gain,MUR Brier-score improvement,rock_probability,Rock probability,752,120,14,337,0.6707593702992021,0.20172611422220557,-0.009641288145274263,0.0056189962312013985,-0.02178039148394432,0.002497815193395791,-1.7158381583774185,13,0.10991050230984216,120,14,0.43964200923936864,False,False
300,logistic,mur_brier_gain,MUR Brier-score improvement,depth_m,Depth,752,120,14,337,10.812139618285904,2.907082082430104,0.002944161409083371,0.004443200993943105,-0.006654790752595635,0.012543113570762376,0.6626217029337185,13,0.5191486802779056,120,14,0.5191486802779056,False,False
300,logistic,mur_brier_gain,MUR Brier-score improvement,kelp_species_contrast,Bull-vs-giant kelp contrast,735,120,14,327,-1.244708343670454,1.900252882378525,-0.006240258895784808,0.008682761726711237,-0.02499822518170651,0.012517707390136893,-0.7186951677583839,13,0.4850469039513543,120,14,0.5191486802779056,False,False
300,random_forest,trajectory_rank_quality_pp,Trajectory rank quality (pp),grazing_log1p,Urchin grazing pressure,734,120,14,326,3.162661810789787,2.3496941269294425,0.45854579874980717,1.7017720941787433,-3.2179092939569953,4.13500089145661,0.26945194384039794,13,0.7918113930583712,120,14,0.7918113930583712,False,False
300,random_forest,trajectory_rank_quality_pp,Trajectory rank quality (pp),rock_probability,Rock probability,752,120,14,337,0.6707593702992021,0.20172611422220557,1.2145660848302624,0.6777639281518351,-0.24965386203006124,2.678786031690586,1.7920193660087662,13,0.09642273949043725,120,14,0.385690957961749,False,False
300,random_forest,trajectory_rank_quality_pp,Trajectory rank quality (pp),depth_m,Depth,752,120,14,337,10.812139618285904,2.907082082430104,-0.7944863270605805,1.2662379999522384,-3.5300272137795297,1.9410545596583688,-0.6274383860621369,13,0.5412363092384819,120,14,0.7216484123179758,False,False
300,random_forest,trajectory_rank_quality_pp,Trajectory rank quality (pp),kelp_species_contrast,Bull-vs-giant kelp contrast,735,120,14,327,-1.244708343670454,1.900252882378525,1.9828303240831475,2.060447669821156,-2.4684962400802712,6.434156888246567,0.9623298631288484,13,0.35344332526218947,120,14,0.7068866505243789,False,False
300,random_forest,trajectory_false_negative,False-negative probability,grazing_log1p,Urchin grazing pressure,326,96,14,326,3.3861229470514007,2.322088288028331,0.08537236141121873,0.0471098092590889,-0.01640219392405752,0.18714691674649497,1.8121992585811169,13,0.09310678512335618,96,14,0.2728403702182095,False,False
300,random_forest,trajectory_false_negative,False-negative probability,rock_probability,Rock probability,337,96,14,337,0.6783100435192878,0.21330975583578426,0.013833940420180879,0.030713596898441997,-0.05251875164644601,0.08018663248680777,0.4504174638328548,13,0.6598295143702312,96,14,0.7369820710175261,False,False
300,random_forest,trajectory_false_negative,False-negative probability,depth_m,Depth,337,96,14,337,10.718416974035607,2.982012361184601,0.010962934013611071,0.03194930135140396,-0.058059335221846343,0.07998520324906849,0.3431353284703148,13,0.7369820710175261,96,14,0.7369820710175261,False,False
300,random_forest,trajectory_false_negative,False-negative probability,kelp_species_contrast,Bull-vs-giant kelp contrast,327,96,14,327,-1.1238884811273466,1.9984007684226175,-0.056066594882573394,0.035318109707423745,-0.1323667321000059,0.020233542334859113,-1.5874743961959092,13,0.13642018510910475,96,14,0.2728403702182095,False,False
300,random_forest,trajectory_false_positive,False-positive probability,grazing_log1p,Urchin grazing pressure,408,96,14,0,2.9841119813258494,2.356338651225103,-0.022566006781199667,0.03185036662683356,-0.09137454053865943,0.046242526976260086,-0.7085006915489654,13,0.49114440188126157,96,14,0.7202336307246688,False,False
300,random_forest,trajectory_false_positive,False-positive probability,rock_probability,Rock probability,415,96,14,0,0.6646278597566265,0.19158681601460953,-0.012066176122721211,0.019921955483038926,-0.055104944323725556,0.03097259207828313,-0.6056722761474929,13,0.555159895304171,96,14,0.7202336307246688,False,False
300,random_forest,trajectory_false_positive,False-positive probability,depth_m,Depth,415,96,14,0,10.888246922171085,2.8425107246837666,-0.007378977960174199,0.020159744310722077,-0.05093145769136225,0.036173501771013854,-0.3660253744512844,13,0.7202336307246688,96,14,0.7202336307246688,False,False
300,random_forest,trajectory_false_positive,False-positive probability,kelp_species_contrast,Bull-vs-giant kelp contrast,408,96,14,0,-1.3415419099733858,1.8119620457369663,-0.021059047175532086,0.034014221531855744,-0.09454230524693502,0.05242421089587085,-0.6191247727310003,13,0.5465313597561128,96,14,0.7202336307246688,False,False
300,random_forest,mur_signed_rank_gain_pp,MUR signed rank gain (pp),grazing_log1p,Urchin grazing pressure,734,120,14,326,3.162661810789787,2.3496941269294425,-1.975968915977612,0.6755191951595377,-3.435339412039249,-0.5165984199159752,-2.9251114256064126,13,0.011823868631920004,120,14,0.047295474527680015,True,True
300,random_forest,mur_signed_rank_gain_pp,MUR signed rank gain (pp),rock_probability,Rock probability,752,120,14,337,0.6707593702992021,0.20172611422220557,0.5442241262228047,1.008495651523641,-1.6344982695078907,2.7229465219535003,0.5396395367700275,13,0.598567811513199,120,14,0.7296693528074252,False,False
300,random_forest,mur_signed_rank_gain_pp,MUR signed rank gain (pp),depth_m,Depth,752,120,14,337,10.812139618285904,2.907082082430104,-0.1769733249592521,0.5011914003075747,-1.2597315170724324,0.905784867153928,-0.3531052704628329,13,0.7296693528074252,120,14,0.7296693528074252,False,False
300,random_forest,mur_signed_rank_gain_pp,MUR signed rank gain (pp),kelp_species_contrast,Bull-vs-giant kelp contrast,735,120,14,327,-1.244708343670454,1.900252882378525,-1.275336172015304,0.5649444461472185,-2.4958244461144865,-0.05484789791612177,-2.257454127946175,13,0.04182756064841287,120,14,0.08365512129682574,True,True
300,random_forest,mur_brier_gain,MUR Brier-score improvement,grazing_log1p,Urchin grazing pressure,734,120,14,326,3.162661810789787,2.3496941269294425,-0.008292664722534412,0.0051776845381689045,-0.019478372111846536,0.0028930426667777114,-1.6016164487045257,13,0.13325020318906572,120,14,0.5330008127562629,False,False
300,random_forest,mur_brier_gain,MUR Brier-score improvement,rock_probability,Rock probability,752,120,14,337,0.6707593702992021,0.20172611422220557,0.003457498796717807,0.004407942788768461,-0.0060652826436187616,0.012980280237054376,0.7843792359391762,13,0.44687556120624483,120,14,0.5958340816083264,False,False
300,random_forest,mur_brier_gain,MUR Brier-score improvement,depth_m,Depth,752,120,14,337,10.812139618285904,2.907082082430104,0.0005943850328413436,0.0034493866350746648,-0.006857561737595618,0.008046331803278305,0.17231615232615918,13,0.8658426876570816,120,14,0.8658426876570816,False,False
300,random_forest,mur_brier_gain,MUR Brier-score improvement,kelp_species_contrast,Bull-vs-giant kelp contrast,735,120,14,327,-1.244708343670454,1.900252882378525,-0.006683480591702163,0.006519970543007146,-0.02076902059387549,0.007402059410471161,-1.025078341629992,13,0.3240233059245763,120,14,0.5958340816083264,False,False
