scope,domain,model,n,events,prevalence,ap,ap_lift,estimable,region_group,year,top10_k,top10_tp,top10_recall,top20_k,top20_tp,top20_recall
region_year,upwelling_supported_domain,trajectory_plus_oisst_cuti_beuti,34,18,0.5294117647058824,0.6716395757798064,0.14222781107392402,True,Central California,2009,4,3,0.16666666666666666,7,5,0.2777777777777778
region_year,upwelling_supported_domain,trajectory_plus_oisst_cuti_beuti,34,23,0.6764705882352942,0.7977733889291636,0.12130280069386945,True,Central California,2010,4,4,0.17391304347826086,7,6,0.2608695652173913
region_year,upwelling_supported_domain,trajectory_plus_oisst_cuti_beuti,30,1,0.03333333333333333,0.043478260869565216,0.010144927536231883,True,Central California,2011,3,0,0.0,6,0,0.0
region_year,upwelling_supported_domain,trajectory_plus_oisst_cuti_beuti,34,0,0.0,,,False,Central California,2012,4,0,,7,0,
region_year,upwelling_supported_domain,trajectory_plus_oisst_cuti_beuti,34,25,0.7352941176470589,0.8173841650767477,0.08209004742968884,True,Central California,2013,4,3,0.12,7,6,0.24
region_year,upwelling_supported_domain,trajectory_plus_oisst_cuti_beuti,33,1,0.030303030303030304,0.3333333333333333,0.303030303030303,True,Central California,2014,4,1,1.0,7,1,1.0
region_year,upwelling_supported_domain,trajectory_plus_oisst_cuti_beuti,34,7,0.20588235294117646,0.38471116696923147,0.178828814028055,True,Central California,2015,4,2,0.2857142857142857,7,2,0.2857142857142857
region_year,upwelling_supported_domain,trajectory_plus_oisst_cuti_beuti,34,22,0.6470588235294118,0.9031039083582708,0.256045084828859,True,Central California,2016,4,4,0.18181818181818182,7,6,0.2727272727272727
region_year,upwelling_supported_domain,trajectory_plus_oisst_cuti_beuti,34,0,0.0,,,False,Central California,2017,4,0,,7,0,
region_year,upwelling_supported_domain,trajectory_plus_oisst_cuti_beuti,34,32,0.9411764705882353,0.9685923716555396,0.027415901067304294,True,Central California,2018,4,4,0.125,7,7,0.21875
region_year,upwelling_supported_domain,trajectory_plus_oisst_cuti_beuti,29,0,0.0,,,False,Central California,2019,3,0,,6,0,
region_year,upwelling_supported_domain,trajectory_plus_oisst_cuti_beuti,34,9,0.2647058823529412,0.38968001727345747,0.12497413492051629,True,Central California,2020,4,1,0.1111111111111111,7,2,0.2222222222222222
region_year,upwelling_supported_domain,trajectory_plus_oisst_cuti_beuti,33,1,0.030303030303030304,0.045454545454545456,0.015151515151515152,True,Central California,2021,4,0,0.0,7,0,0.0
region_year,upwelling_supported_domain,trajectory_plus_oisst_cuti_beuti,34,33,0.9705882352941176,0.9981904607573057,0.027602225463188024,True,Central California,2022,4,4,0.12121212121212122,7,7,0.21212121212121213
region_year,upwelling_supported_domain,trajectory_plus_oisst_cuti_beuti,22,1,0.045454545454545456,0.05,0.004545454545454547,True,Central California,2023,3,0,0.0,5,0,0.0
region_year,upwelling_supported_domain,trajectory_plus_oisst_cuti_beuti,31,1,0.03225806451612903,0.125,0.09274193548387097,True,Central California,2024,4,0,0.0,7,0,0.0
region_year,upwelling_supported_domain,trajectory_plus_oisst_cuti_beuti,3,1,0.3333333333333333,0.3333333333333333,0.0,True,Northern California,2005,1,0,0.0,1,0,0.0
region_year,upwelling_supported_domain,trajectory_plus_oisst_cuti_beuti,6,1,0.16666666666666666,1.0,0.8333333333333334,True,Northern California,2006,1,1,1.0,2,1,1.0
region_year,upwelling_supported_domain,trajectory_plus_oisst_cuti_beuti,16,0,0.0,,,False,Northern California,2007,2,0,,4,0,
