domain,model,omitted_year,macro_year_ap_lift,macro_region_year_ap_lift
full_oisst_domain,trajectory_plus_oisst,2017,0.1800306512888652,0.22795724375343493
full_oisst_domain,trajectory_plus_oisst,2018,0.17915926097601645,0.23019618549519144
full_oisst_domain,trajectory_plus_oisst,2019,0.17199252260365142,0.22917536138428
full_oisst_domain,trajectory_plus_oisst,2020,0.17858316788450038,0.23264889196568525
full_oisst_domain,trajectory_plus_oisst,2021,0.17439980437228533,0.23034155983946905
full_oisst_domain,trajectory_plus_oisst,2022,0.17956615817561059,0.2273031439909365
full_oisst_domain,trajectory_plus_oisst,2023,0.1803066580028194,0.230275477222896
full_oisst_domain,trajectory_plus_oisst,2024,0.18314962505467616,0.22740731813911497
upwelling_supported_domain,current_only,2005,0.16232067493071978,0.1991094520941962
upwelling_supported_domain,current_only,2006,0.14596595811549723,0.17221870604419232
upwelling_supported_domain,current_only,2007,0.15703916898573897,0.1928543689560879
upwelling_supported_domain,current_only,2008,0.1515928651182371,0.18806967039783776
upwelling_supported_domain,current_only,2009,0.1610790753790652,0.19631118856652333
upwelling_supported_domain,current_only,2010,0.1619930509530371,0.18765649260800676
upwelling_supported_domain,current_only,2011,0.15993118205116832,0.19690244039353205
upwelling_supported_domain,current_only,2012,0.14648044016596698,0.19459520114478343
upwelling_supported_domain,current_only,2013,0.16441781273246092,0.19823970946909086
upwelling_supported_domain,current_only,2014,0.16054615922445914,0.18774690359474117
upwelling_supported_domain,current_only,2015,0.15541481834085022,0.18935449864330023
upwelling_supported_domain,current_only,2016,0.1496288934595836,0.18525151221955624
upwelling_supported_domain,current_only,2017,0.1645395806483212,0.197440231948037
upwelling_supported_domain,current_only,2018,0.1644001511774667,0.19769654646567306
upwelling_supported_domain,current_only,2019,0.16688563549098495,0.1944050553043589
upwelling_supported_domain,current_only,2020,0.16526265647661664,0.1987229250190438
upwelling_supported_domain,current_only,2021,0.16251493969019434,0.1938569421912776
upwelling_supported_domain,current_only,2022,0.162713165153434,0.19212243930284978
upwelling_supported_domain,current_only,2023,0.15961052473374227,0.1939126194292474
upwelling_supported_domain,current_only,2024,0.16516041818752203,0.19184354802027243
upwelling_supported_domain,current_plus_trajectory,2005,0.17757667346089231,0.1928853134180848
upwelling_supported_domain,current_plus_trajectory,2006,0.15705321957707996,0.168888242929853
