scope,domain,model,n,events,prevalence,ap,ap_lift,estimable,year,top10_k,top10_tp,top10_recall,top20_k,top20_tp,top20_recall
year,full_oisst_domain,trajectory_plus_oisst,87,14,0.16091954022988506,0.29348425327948424,0.1325647130495992,True,2023,9,3,0.21428571428571427,18,4,0.2857142857142857
year,full_oisst_domain,trajectory_plus_oisst,102,17,0.16666666666666666,0.2452150057309874,0.07854833906432074,True,2024,11,3,0.17647058823529413,21,5,0.29411764705882354
year,upwelling_supported_domain,current_only,89,53,0.5955056179775281,0.6989099653089184,0.10340434733139026,True,2005,9,7,0.1320754716981132,18,12,0.22641509433962265
year,upwelling_supported_domain,current_only,85,14,0.16470588235294117,0.5788498491735609,0.4141439668206197,True,2006,9,6,0.42857142857142855,17,9,0.6428571428571429
year,upwelling_supported_domain,current_only,101,31,0.3069306930693069,0.5106836533553334,0.20375296028602646,True,2007,11,7,0.22580645161290322,21,11,0.3548387096774194
year,upwelling_supported_domain,current_only,103,28,0.27184466019417475,0.5790773939627366,0.30723273376856186,True,2008,11,8,0.2857142857142857,21,13,0.4642857142857143
year,upwelling_supported_domain,current_only,103,44,0.42718446601941745,0.554179204832245,0.12699473881282758,True,2009,11,5,0.11363636363636363,21,12,0.2727272727272727
year,upwelling_supported_domain,current_only,102,61,0.5980392156862745,0.707668418593637,0.10962920290736256,True,2010,11,8,0.13114754098360656,21,16,0.26229508196721313
year,upwelling_supported_domain,current_only,96,30,0.3125,0.4613047120428684,0.14880471204286838,True,2011,10,5,0.16666666666666666,20,10,0.3333333333333333
year,upwelling_supported_domain,current_only,98,12,0.12244897959183673,0.5268177874535306,0.4043688078616938,True,2012,10,5,0.4166666666666667,20,8,0.6666666666666666
year,upwelling_supported_domain,current_only,107,88,0.822429906542056,0.8859886356403653,0.06355872909830929,True,2013,11,11,0.125,22,21,0.23863636363636365
year,upwelling_supported_domain,current_only,87,32,0.367816091954023,0.5049362377043656,0.1371201457503426,True,2014,9,5,0.15625,18,9,0.28125
year,upwelling_supported_domain,current_only,72,22,0.3055555555555556,0.5401711780944687,0.2346156225389131,True,2015,8,5,0.22727272727272727,15,6,0.2727272727272727
year,upwelling_supported_domain,current_only,76,32,0.42105263157894735,0.7656008268619251,0.34454819528297775,True,2016,8,7,0.21875,16,13,0.40625
year,upwelling_supported_domain,current_only,80,13,0.1625,0.22374513869696372,0.061245138696963713,True,2017,8,3,0.23076923076923078,16,4,0.3076923076923077
year,upwelling_supported_domain,current_only,82,72,0.8780487804878049,0.9419430791310042,0.06389429864319929,True,2018,9,9,0.125,17,16,0.2222222222222222
year,upwelling_supported_domain,current_only,57,8,0.14035087719298245,0.15702097387933575,0.016670096686353303,True,2019,6,0,0.0,12,2,0.25
year,upwelling_supported_domain,current_only,77,25,0.3246753246753247,0.372182022634675,0.04750669795935031,True,2020,8,3,0.12,16,5,0.2
year,upwelling_supported_domain,current_only,83,21,0.25301204819277107,0.3527253650941451,0.09971331690137403,True,2021,9,4,0.19047619047619047,17,8,0.38095238095238093
year,upwelling_supported_domain,current_only,77,61,0.7922077922077922,0.8881548253076126,0.09594703309982033,True,2022,8,8,0.13114754098360656,16,14,0.22950819672131148
year,upwelling_supported_domain,current_only,53,3,0.05660377358490566,0.21150097465886938,0.1548972010739637,True,2023,6,1,0.3333333333333333,11,1,0.3333333333333333
year,upwelling_supported_domain,current_only,70,11,0.15714285714285714,0.2065920825950055,0.04944922545214836,True,2024,7,0,0.0,14,1,0.09090909090909091
year,upwelling_supported_domain,current_plus_trajectory,89,53,0.5955056179775281,0.6375512724308183,0.04204565445329023,True,2005,9,4,0.07547169811320754,18,11,0.20754716981132076
year,upwelling_supported_domain,current_plus_trajectory,85,14,0.16470588235294117,0.5966971605986663,0.43199127824572514,True,2006,9,6,0.42857142857142855,17,9,0.6428571428571429
year,upwelling_supported_domain,current_plus_trajectory,101,31,0.3069306930693069,0.511516610594844,0.20458591752553706,True,2007,11,9,0.2903225806451613,21,12,0.3870967741935484
year,upwelling_supported_domain,current_plus_trajectory,103,28,0.27184466019417475,0.633921741914739,0.3620770817205643,True,2008,11,9,0.32142857142857145,21,15,0.5357142857142857
year,upwelling_supported_domain,current_plus_trajectory,103,44,0.42718446601941745,0.48940606296003836,0.062221596940620905,True,2009,11,5,0.11363636363636363,21,11,0.25
