requested_oisst_lat,requested_oisst_lon,oisst_source_lat,oisst_source_lon,oisst_source_distance_km,oisst_endpoint,temporal_resolution
33.375,-118.625,33.375,-118.625,0.0,https://comet.nefsc.noaa.gov/erddap/griddap/noaa_psl_62b6_f192_98f7.nc,weekly
33.375,-117.625,33.375,-117.625,0.0,https://comet.nefsc.noaa.gov/erddap/griddap/noaa_psl_62b6_f192_98f7.nc,weekly
33.375,-117.375,33.125,-117.375,27.798770058383226,https://comet.nefsc.noaa.gov/erddap/griddap/noaa_psl_62b6_f192_98f7.nc,weekly
33.625,-118.375,33.625,-118.375,0.0,https://comet.nefsc.noaa.gov/erddap/griddap/noaa_psl_62b6_f192_98f7.nc,weekly
33.625,-117.875,33.625,-117.875,0.0,https://comet.nefsc.noaa.gov/erddap/griddap/noaa_psl_62b6_f192_98f7.nc,weekly
33.875,-120.375,33.875,-120.375,0.0,https://comet.nefsc.noaa.gov/erddap/griddap/noaa_psl_62b6_f192_98f7.nc,weekly
33.875,-120.125,33.875,-120.125,0.0,https://comet.nefsc.noaa.gov/erddap/griddap/noaa_psl_62b6_f192_98f7.nc,weekly
33.875,-119.875,33.875,-119.875,0.0,https://comet.nefsc.noaa.gov/erddap/griddap/noaa_psl_62b6_f192_98f7.nc,weekly
33.875,-118.375,33.875,-118.375,0.0,https://comet.nefsc.noaa.gov/erddap/griddap/noaa_psl_62b6_f192_98f7.nc,weekly
34.125,-120.375,34.125,-120.375,0.0,https://comet.nefsc.noaa.gov/erddap/griddap/noaa_psl_62b6_f192_98f7.nc,weekly
34.125,-120.125,34.125,-120.125,0.0,https://comet.nefsc.noaa.gov/erddap/griddap/noaa_psl_62b6_f192_98f7.nc,weekly
34.125,-119.875,34.125,-119.875,0.0,https://comet.nefsc.noaa.gov/erddap/griddap/noaa_psl_62b6_f192_98f7.nc,weekly
34.125,-119.625,34.125,-119.625,0.0,https://comet.nefsc.noaa.gov/erddap/griddap/noaa_psl_62b6_f192_98f7.nc,weekly
34.125,-119.375,34.125,-119.375,0.0,https://comet.nefsc.noaa.gov/erddap/griddap/noaa_psl_62b6_f192_98f7.nc,weekly
34.125,-118.875,33.875,-118.875,27.798770058383226,https://comet.nefsc.noaa.gov/erddap/griddap/noaa_psl_62b6_f192_98f7.nc,weekly
34.125,-118.625,33.875,-118.625,27.798770058383226,https://comet.nefsc.noaa.gov/erddap/griddap/noaa_psl_62b6_f192_98f7.nc,weekly
34.375,-120.375,34.375,-120.375,0.0,https://comet.nefsc.noaa.gov/erddap/griddap/noaa_psl_62b6_f192_98f7.nc,weekly
34.375,-120.125,34.375,-120.125,0.0,https://comet.nefsc.noaa.gov/erddap/griddap/noaa_psl_62b6_f192_98f7.nc,weekly
34.375,-119.875,34.375,-119.875,0.0,https://comet.nefsc.noaa.gov/erddap/griddap/noaa_psl_62b6_f192_98f7.nc,weekly
34.375,-119.625,34.375,-119.625,0.0,https://comet.nefsc.noaa.gov/erddap/griddap/noaa_psl_62b6_f192_98f7.nc,weekly
34.625,-120.625,34.625,-120.625,0.0,https://comet.nefsc.noaa.gov/erddap/griddap/noaa_psl_62b6_f192_98f7.nc,weekly
35.125,-120.875,35.125,-120.875,0.0,https://comet.nefsc.noaa.gov/erddap/griddap/noaa_psl_62b6_f192_98f7.nc,weekly
35.125,-120.625,35.125,-120.625,0.0,https://comet.nefsc.noaa.gov/erddap/griddap/noaa_psl_62b6_f192_98f7.nc,weekly
35.375,-121.125,35.375,-121.125,0.0,https://comet.nefsc.noaa.gov/erddap/griddap/noaa_psl_62b6_f192_98f7.nc,weekly
35.375,-120.875,35.375,-120.875,0.0,https://comet.nefsc.noaa.gov/erddap/griddap/noaa_psl_62b6_f192_98f7.nc,weekly
35.625,-121.375,35.625,-121.375,0.0,https://comet.nefsc.noaa.gov/erddap/griddap/noaa_psl_62b6_f192_98f7.nc,weekly
35.625,-121.125,35.625,-121.125,0.0,https://comet.nefsc.noaa.gov/erddap/griddap/noaa_psl_62b6_f192_98f7.nc,weekly
35.875,-121.625,35.875,-121.625,0.0,https://comet.nefsc.noaa.gov/erddap/griddap/noaa_psl_62b6_f192_98f7.nc,weekly
35.875,-121.375,35.875,-121.375,0.0,https://comet.nefsc.noaa.gov/erddap/griddap/noaa_psl_62b6_f192_98f7.nc,weekly
36.125,-121.875,36.125,-121.875,0.0,https://comet.nefsc.noaa.gov/erddap/griddap/noaa_psl_62b6_f192_98f7.nc,weekly
36.125,-121.625,36.125,-121.625,0.0,https://comet.nefsc.noaa.gov/erddap/griddap/noaa_psl_62b6_f192_98f7.nc,weekly
36.375,-121.875,36.375,-121.875,0.0,https://comet.nefsc.noaa.gov/erddap/griddap/noaa_psl_62b6_f192_98f7.nc,weekly
36.625,-121.875,36.625,-121.875,0.0,https://comet.nefsc.noaa.gov/erddap/griddap/noaa_psl_62b6_f192_98f7.nc,weekly
36.875,-122.125,36.875,-122.125,0.0,https://comet.nefsc.noaa.gov/erddap/griddap/noaa_psl_62b6_f192_98f7.nc,weekly
36.875,-121.875,36.875,-121.875,0.0,https://comet.nefsc.noaa.gov/erddap/griddap/noaa_psl_62b6_f192_98f7.nc,weekly
38.375,-123.375,38.375,-123.375,0.0,https://comet.nefsc.noaa.gov/erddap/griddap/noaa_psl_62b6_f192_98f7.nc,weekly
38.375,-123.125,38.375,-123.125,0.0,https://comet.nefsc.noaa.gov/erddap/griddap/noaa_psl_62b6_f192_98f7.nc,weekly
38.625,-123.375,38.625,-123.375,0.0,https://comet.nefsc.noaa.gov/erddap/griddap/noaa_psl_62b6_f192_98f7.nc,weekly
38.875,-123.625,38.875,-123.625,0.0,https://comet.nefsc.noaa.gov/erddap/griddap/noaa_psl_62b6_f192_98f7.nc,weekly
39.125,-123.875,39.125,-123.875,0.0,https://comet.nefsc.noaa.gov/erddap/griddap/noaa_psl_62b6_f192_98f7.nc,weekly
39.125,-123.625,38.875,-123.625,27.798770058383226,https://comet.nefsc.noaa.gov/erddap/griddap/noaa_psl_62b6_f192_98f7.nc,weekly
39.375,-123.875,39.375,-123.875,0.0,https://comet.nefsc.noaa.gov/erddap/griddap/noaa_psl_62b6_f192_98f7.nc,weekly
42.375,-124.375,42.375,-124.375,0.0,https://comet.nefsc.noaa.gov/erddap/griddap/noaa_psl_62b6_f192_98f7.nc,weekly
42.625,-124.375,42.625,-124.375,0.0,https://comet.nefsc.noaa.gov/erddap/griddap/noaa_psl_62b6_f192_98f7.nc,weekly
42.875,-124.625,42.875,-124.625,0.0,https://comet.nefsc.noaa.gov/erddap/griddap/noaa_psl_62b6_f192_98f7.nc,weekly
47.875,-124.625,47.875,-124.625,0.0,https://comet.nefsc.noaa.gov/erddap/griddap/noaa_psl_62b6_f192_98f7.nc,weekly
48.125,-124.625,48.125,-124.625,0.0,https://comet.nefsc.noaa.gov/erddap/griddap/noaa_psl_62b6_f192_98f7.nc,weekly
48.125,-124.375,48.125,-124.625,18.555885590739063,https://comet.nefsc.noaa.gov/erddap/griddap/noaa_psl_62b6_f192_98f7.nc,weekly
48.125,-124.125,48.375,-124.125,27.798770058383226,https://comet.nefsc.noaa.gov/erddap/griddap/noaa_psl_62b6_f192_98f7.nc,weekly
48.125,-123.875,48.375,-123.875,27.798770058383226,https://comet.nefsc.noaa.gov/erddap/griddap/noaa_psl_62b6_f192_98f7.nc,weekly
48.125,-123.625,48.125,-123.375,18.555885590739063,https://comet.nefsc.noaa.gov/erddap/griddap/noaa_psl_62b6_f192_98f7.nc,weekly
48.375,-124.625,48.375,-124.625,0.0,https://comet.nefsc.noaa.gov/erddap/griddap/noaa_psl_62b6_f192_98f7.nc,weekly
48.375,-124.375,48.375,-124.375,0.0,https://comet.nefsc.noaa.gov/erddap/griddap/noaa_psl_62b6_f192_98f7.nc,weekly
