target,evaluation_subset,current_canopy_threshold,feature_set,model,split,n_observations,n_positive_events,event_prevalence,precision,recall,f1,pr_auc,roc_auc,accuracy,true_negatives,false_positives,false_negatives,true_positives
new_decline_event_next,current_canopy_gt_0.01,0.01,canopy_only,SVM,test,138,25,0.18115942028985507,0.0,0.0,0.0,0.41636543935372233,0.7412389380530973,0.8188405797101449,113,0,25,0
new_decline_event_next,current_canopy_gt_0.01,0.01,canopy_only,Random Forest,test,138,25,0.18115942028985507,0.4230769230769231,0.44,0.43137254901960786,0.38804318553589257,0.7263716814159292,0.7898550724637681,98,15,14,11
new_decline_event_next,current_canopy_gt_0.01,0.01,canopy_only,XGBoost,test,138,25,0.18115942028985507,0.35135135135135137,0.52,0.41935483870967744,0.4147673949909725,0.7026548672566372,0.7391304347826086,89,24,12,13
new_decline_event_next,current_canopy_gt_0.01,0.01,canopy_only,LightGBM,test,138,25,0.18115942028985507,0.2962962962962963,0.32,0.3076923076923077,0.26824651220309087,0.656283185840708,0.7391304347826086,94,19,17,8
new_decline_event_next,current_canopy_gt_0.01,0.01,oisst_only,Logistic Regression,test,138,25,0.18115942028985507,0.03125,0.04,0.03508771929824561,0.183343575445577,0.523362831858407,0.6014492753623188,82,31,24,1
new_decline_event_next,current_canopy_gt_0.01,0.01,oisst_only,SVM,test,138,25,0.18115942028985507,0.0,0.0,0.0,0.12706275978745277,0.2631858407079646,0.8188405797101449,113,0,25,0
new_decline_event_next,current_canopy_gt_0.01,0.01,oisst_only,Random Forest,test,138,25,0.18115942028985507,0.0,0.0,0.0,0.1365579561750977,0.3346902654867257,0.5869565217391305,81,32,25,0
new_decline_event_next,current_canopy_gt_0.01,0.01,oisst_only,XGBoost,test,138,25,0.18115942028985507,0.06382978723404255,0.12,0.08333333333333333,0.12781581378709733,0.2798230088495575,0.5217391304347826,69,44,22,3
new_decline_event_next,current_canopy_gt_0.01,0.01,oisst_only,LightGBM,test,138,25,0.18115942028985507,0.07142857142857142,0.12,0.08955223880597014,0.1398427969647762,0.35309734513274343,0.5579710144927537,74,39,22,3
new_decline_event_next,current_canopy_gt_0.01,0.01,canopy_noaa,Logistic Regression,test,138,25,0.18115942028985507,0.09090909090909091,0.12,0.10344827586206896,0.22042613096653077,0.6067256637168141,0.6231884057971014,83,30,22,3
new_decline_event_next,current_canopy_gt_0.01,0.01,canopy_noaa,SVM,test,138,25,0.18115942028985507,1.0,0.08,0.14814814814814814,0.41497580572936127,0.7490265486725662,0.8333333333333334,113,0,23,2
new_decline_event_next,current_canopy_gt_0.01,0.01,canopy_noaa,Random Forest,test,138,25,0.18115942028985507,0.5,0.04,0.07407407407407407,0.23915012038261493,0.5260176991150443,0.8188405797101449,112,1,24,1
new_decline_event_next,current_canopy_gt_0.01,0.01,canopy_noaa,XGBoost,test,138,25,0.18115942028985507,0.17391304347826086,0.16,0.16666666666666666,0.18845020706961296,0.5260176991150443,0.7101449275362319,94,19,21,4
new_decline_event_next,current_canopy_gt_0.01,0.01,canopy_noaa,LightGBM,test,138,25,0.18115942028985507,0.1111111111111111,0.04,0.058823529411764705,0.2196280192909833,0.5568141592920355,0.7681159420289855,105,8,24,1
new_decline_event_next,current_canopy_gt_0.05,0.05,canopy_only,Logistic Regression,test,93,18,0.1935483870967742,0.47619047619047616,0.5555555555555556,0.5128205128205128,0.4466031951176704,0.7562962962962964,0.7956989247311828,64,11,8,10
new_decline_event_next,current_canopy_gt_0.05,0.05,canopy_only,SVM,test,93,18,0.1935483870967742,0.0,0.0,0.0,0.4963499085838482,0.7740740740740741,0.8064516129032258,75,0,18,0
