,annual_max_sst,annual_max_sst_anomaly,annual_mean_beuti,annual_mean_cuti,annual_mean_sst,annual_mean_sst_anomaly,annual_min_sst,annual_sst_std,beuti_anomaly,center_lat,center_lon,count_cells_historic_footprint,count_cells_kelp,count_cells_no_clouds,cuti_anomaly,historical_footprint_area_m2,hot_days_p90,hot_days_p95,kelp_area_m2,lag1_annual_mean_sst_anomaly,lag1_beuti_anomaly,lag1_cuti_anomaly,lag1_hot_days_p90,lag1_relative_canopy,relative_canopy,relative_canopy_change_lag1,spring_mean_beuti,spring_mean_cuti,summer_mean_beuti,summer_mean_cuti
hot_days_p95,0.6314159257303767,0.8276229173741902,-0.29549262356575323,-0.23945081026146542,0.490243225002984,0.8234554065160807,0.1610058823476714,0.7440950035624253,-0.43196862973013206,-0.000560970905672199,0.0013240021658033874,-0.001942973320297646,-0.07826339000503751,-0.0040419605831837815,-0.3486832702581538,-0.001942973320297643,0.9625787071606251,1.0,-0.06439834251117281,0.3998208039189337,-0.1803033585475273,-0.23605251947421424,0.47794191301103095,-0.05040408492714849,-0.08929938491244985,-0.04394338454235363,-0.2917178005800792,-0.25389948215241026,-0.19213608143318364,-0.21241044675084575
kelp_area_m2,0.15148489307109458,-0.09797773612900451,-0.2193502560710365,-0.20054437000880476,0.22466720925067254,-0.09469076333194046,0.2605547983044487,0.052472759200601904,0.04512901813002647,-0.3363221138841012,0.3179293034587965,0.6142194537488946,0.9095476123071033,0.6140288914682122,0.08561606498106063,0.6142194537488928,-0.07516308620259277,-0.06439834251117281,1.0,-0.0673323314525755,0.005833423603130459,0.07959469158868335,-0.06314420006027643,0.4845141797878088,0.7589620943088184,0.30947761159999515,-0.08996699988102298,-0.09738846746872692,-0.301607278527067,-0.2815356119193833
lag1_annual_mean_sst_anomaly,0.3098173018084339,0.39267856711580706,-0.20953294552360086,-0.11971700305251154,0.3405466427129216,0.5526493276190209,0.16155936380673183,0.20668132291994346,-0.292122069190476,-0.014964126625705513,0.015020414465115109,0.00507962126287501,-0.08770959083540955,0.004054364139558471,-0.1596925593613908,0.0050796212628750215,0.4508251423824626,0.3998208039189337,-0.0673323314525755,1.0,-0.6986136585398492,-0.5309938411157723,0.8862806245552125,-0.14835838942696464,-0.08193177832334912,0.07612118436184438,-0.25985869262265326,-0.19379499222857632,-0.10541604420777903,-0.08461485367198884
lag1_beuti_anomaly,-0.15383991000416436,-0.18802190960789375,0.21769467132817436,0.09602954226439629,-0.21132919637942066,-0.3305856175959469,-0.09929418748700598,-0.039369763367281665,0.29375240061458874,0.02212138559532342,-0.02358028238676482,-0.0023936757025546907,0.027003124443278296,-0.001778317111461975,0.10890731412331611,-0.0023936757025547384,-0.23656460195733925,-0.1803033585475273,0.005833423603130459,-0.6986136585398492,1.0,0.6996234504969694,-0.5029913113274815,0.10099399755644628,0.0031601797428599584,-0.11157411334213502,0.31979908611737257,0.25478220355632614,0.09254136175833066,0.023785948657102693
lag1_cuti_anomaly,-0.18408302363869086,-0.3000677483309859,0.19607701269725802,0.24688231843687336,-0.20373789247105334,-0.4372362628847754,-0.07604849412631609,-0.010822425854388622,0.3623383090355735,-0.06719971310516017,0.065152483462095,0.02060184340546372,0.11826216905875456,0.02039642592822973,0.4482788654254638,0.020601843405463647,-0.29167270545022606,-0.23605251947421424,0.07959469158868335,-0.5309938411157723,0.6996234504969694,1.0,-0.41736379474326796,0.13614155457308819,0.1123645872845669,-0.02762723274149037,0.3293076476123069,0.36568796362337197,0.006720280667302525,0.10117629988295561
lag1_hot_days_p90,0.3169230332221002,0.40967291061970923,-0.20736602557338363,-0.11296103052642617,0.3373702038313435,0.5604234816102128,0.10556543967147215,0.29277773711640104,-0.29841637604438365,-0.005294928504245462,0.006291687526260316,7.301826512199582e-05,-0.08571199090959306,-0.0014210616121028083,-0.15959199768612684,7.301826512201597e-05,0.5089747042718992,0.47794191301103095,-0.06314420006027643,0.8862806245552125,-0.5029913113274815,-0.41736379474326796,1.0,-0.12297045265627717,-0.07211127199529734,0.058324724767089615,-0.20345530435053427,-0.12099790242290215,-0.1476340300678001,-0.1378881859100958
lag1_relative_canopy,0.2035883785924365,-0.0496172469258504,-0.3267020195304129,-0.30277496593043857,0.2894012772895124,-0.02057554961199617,0.3321621257999715,0.022212521890051223,-0.08342927312179263,-0.36369583181637505,0.34415709351826984,0.1846079752365559,0.4236419884500838,0.18458320460659797,-0.03182519647959831,0.18460797523655467,-0.04196363775383708,-0.05040408492714849,0.4845141797878088,-0.14835838942696464,0.10099399755644628,0.13614155457308819,-0.12297045265627717,1.0,0.6139249014129692,-0.44305104766834624,-0.16760767719252284,-0.11608546627217375,-0.3725060615410773,-0.3387329251635611
relative_canopy,0.14513082915823763,-0.12850647553081387,-0.2166660240625381,-0.19468088541901005,0.21788020515057668,-0.14421213675555408,0.2516181683220237,0.06402925598524989,0.082614634373674,-0.366655158242952,0.34751136316324854,0.18000755330650783,0.6086139521829437,0.18018266548224762,0.1326189074858975,0.18000755330650742,-0.10741456759450282,-0.08929938491244985,0.7589620943088184,-0.08193177832334912,0.0031601797428599584,0.1123645872845669,-0.07211127199529734,0.6139249014129692,1.0,0.4356622944099214,-0.058893032040522555,-0.07841529357283378,-0.3359685297394825,-0.30661299029966926
relative_canopy_change_lag1,-0.06732341754367865,-0.08936886132038707,0.12646568137305692,0.12415067008770683,-0.08255277407854582,-0.14032225428693693,-0.0929960032274553,0.04739037805003019,0.18896121155670592,-0.0016959182555732254,0.0022339136970042145,-0.006069946500843592,0.20813673268920563,-0.005842822347991911,0.1869080338753068,-0.006069946500843573,-0.0741417659495705,-0.04394338454235363,0.30947761159999515,0.07612118436184438,-0.11157411334213502,-0.02762723274149037,0.058324724767089615,-0.44305104766834624,0.4356622944099214,1.0,0.12423664427285495,0.04331419422150394,0.04320175821800416,0.038029990636823933
spring_mean_beuti,-0.4732499214468753,-0.2551180928601235,0.869440413794145,0.6679964000277512,-0.6707925836803,-0.56255769060008,-0.6400122290166746,-0.06628825185836723,0.7589812107301226,0.42468984683078875,-0.4260837260779315,-0.15676205694708117,-0.07411709111290171,-0.15652244591141887,0.4493582186197216,-0.15676205694708162,-0.34968075058577286,-0.2917178005800792,-0.08996699988102298,-0.25985869262265326,0.31979908611737257,0.3293076476123069,-0.20345530435053427,-0.16760767719252284,-0.058893032040522555,0.12423664427285495,1.0,0.8535470160108831,0.5494790197356706,0.44862610862911
spring_mean_cuti,-0.33567872062059545,-0.21165280412372967,0.7034713338348118,0.7606460012210107,-0.49060380819970123,-0.4494888244916468,-0.4682269029485935,-0.08723270640225582,0.5786400808683749,0.2827448499709091,-0.2857938508386686,-0.09732385916419514,-0.05513754772543463,-0.09745588035749657,0.5537228227529818,-0.09732385916419532,-0.3072433161319206,-0.25389948215241026,-0.09738846746872692,-0.19379499222857632,0.25478220355632614,0.36568796362337197,-0.12099790242290215,-0.11608546627217375,-0.07841529357283378,0.04331419422150394,0.8535470160108831,1.0,0.4005121111530401,0.4449065325375571
summer_mean_beuti,-0.5976633343458748,-0.14312628647796216,0.8501300954028465,0.646576700295108,-0.7290619019791774,-0.22628548429124545,-0.6678742373110113,-0.2952969951875802,0.39178365223764805,0.7511572212493501,-0.7519545139268988,-0.25531057057915846,-0.2975917809354842,-0.25435267026958386,0.10206370740437963,-0.25531057057916,-0.22176214501062982,-0.19213608143318364,-0.301607278527067,-0.10541604420777903,0.09254136175833066,0.006720280667302525,-0.1476340300678001,-0.3725060615410773,-0.3359685297394825,0.04320175821800416,0.5494790197356706,0.4005121111530401,1.0,0.8702304741585756
summer_mean_cuti,-0.545335485322722,-0.15903507567244335,0.7418317489727907,0.7896480345989301,-0.6568902394638,-0.21559874634579154,-0.6037216847027093,-0.3091316024996418,0.22942496506126442,0.6689415572467017,-0.670836732285573,-0.21748580461859174,-0.2556624862385528,-0.21701914602936226,0.21699738496577345,-0.2174858046185927,-0.2283904689096644,-0.21241044675084575,-0.2815356119193833,-0.08461485367198884,0.023785948657102693,0.10117629988295561,-0.1378881859100958,-0.3387329251635611,-0.30661299029966926,0.038029990636823933,0.44862610862911,0.4449065325375571,0.8702304741585756,1.0
