target,evaluation_subset,current_canopy_threshold,feature_set,model,split,n_observations,n_positive_events,event_prevalence,precision,recall,f1,pr_auc,roc_auc,accuracy,true_negatives,false_positives,false_negatives,true_positives
decline_event_next,current_canopy_gt_0,0.0,canopy_noaa,SVM,test,199,133,0.6683417085427136,0.8611111111111112,0.23308270676691728,0.3668639053254438,0.8397288706579579,0.7138300296195033,0.4623115577889447,61,5,102,31
decline_event_next,current_canopy_gt_0,0.0,canopy_noaa,Random Forest,test,199,133,0.6683417085427136,0.8636363636363636,0.14285714285714285,0.24516129032258063,0.8144227186744135,0.6801093643198907,0.4120603015075377,63,3,114,19
decline_event_next,current_canopy_gt_0,0.0,canopy_noaa,XGBoost,test,199,133,0.6683417085427136,0.868421052631579,0.49624060150375937,0.631578947368421,0.8210040296188649,0.6614262930052404,0.6130653266331658,56,10,67,66
decline_event_next,current_canopy_gt_0,0.0,canopy_noaa,LightGBM,test,199,133,0.6683417085427136,0.94,0.3533834586466165,0.5136612021857924,0.8423464080027931,0.6983367509683299,0.5527638190954773,63,3,86,47
decline_event_next,current_canopy_gt_0.01,0.01,canopy_only,Logistic Regression,test,138,74,0.5362318840579711,0.55,0.44594594594594594,0.4925373134328358,0.6009714882269347,0.5145692567567567,0.5072463768115942,37,27,41,33
decline_event_next,current_canopy_gt_0.01,0.01,canopy_only,SVM,test,138,74,0.5362318840579711,0.0,0.0,0.0,0.5003464550798535,0.4083614864864865,0.463768115942029,64,0,74,0
decline_event_next,current_canopy_gt_0.01,0.01,canopy_only,Random Forest,test,138,74,0.5362318840579711,0.6829268292682927,0.3783783783783784,0.48695652173913045,0.6977236321338891,0.6450591216216217,0.572463768115942,51,13,46,28
decline_event_next,current_canopy_gt_0.01,0.01,canopy_only,XGBoost,test,138,74,0.5362318840579711,0.75,0.36486486486486486,0.4909090909090909,0.6657967428382703,0.578125,0.5942028985507246,55,9,47,27
decline_event_next,current_canopy_gt_0.01,0.01,canopy_only,LightGBM,test,138,74,0.5362318840579711,0.6585365853658537,0.36486486486486486,0.46956521739130436,0.6289762197117437,0.5878378378378378,0.5579710144927537,50,14,47,27
decline_event_next,current_canopy_gt_0.01,0.01,oisst_only,Logistic Regression,test,138,74,0.5362318840579711,0.5,0.20270270270270271,0.28846153846153844,0.5285920040524137,0.4839527027027027,0.463768115942029,49,15,59,15
decline_event_next,current_canopy_gt_0.01,0.01,oisst_only,SVM,test,138,74,0.5362318840579711,0.0,0.0,0.0,0.4692422934986937,0.33921030405405406,0.45652173913043476,63,1,74,0
decline_event_next,current_canopy_gt_0.01,0.01,oisst_only,Random Forest,test,138,74,0.5362318840579711,0.4411764705882353,0.20270270270270271,0.2777777777777778,0.47408174911844947,0.366554054054054,0.43478260869565216,45,19,59,15
decline_event_next,current_canopy_gt_0.01,0.01,oisst_only,XGBoost,test,138,74,0.5362318840579711,0.42857142857142855,0.32432432432432434,0.36923076923076925,0.46834788392968996,0.34786739864864863,0.4057971014492754,32,32,50,24
decline_event_next,current_canopy_gt_0.01,0.01,oisst_only,LightGBM,test,138,74,0.5362318840579711,0.4883720930232558,0.28378378378378377,0.358974358974359,0.47710807431090324,0.37246621621621623,0.45652173913043476,42,22,53,21
decline_event_next,current_canopy_gt_0.01,0.01,canopy_noaa,Logistic Regression,test,138,74,0.5362318840579711,0.5192307692307693,0.36486486486486486,0.42857142857142855,0.5543229828226691,0.5044341216216216,0.4782608695652174,39,25,47,27
decline_event_next,current_canopy_gt_0.01,0.01,canopy_noaa,SVM,test,138,74,0.5362318840579711,0.5555555555555556,0.06756756756756757,0.12048192771084337,0.6178341158144381,0.5641891891891893,0.47101449275362317,60,4,69,5
decline_event_next,current_canopy_gt_0.01,0.01,canopy_noaa,Random Forest,test,138,74,0.5362318840579711,0.5555555555555556,0.06756756756756757,0.12048192771084337,0.5345454660648202,0.4505912162162163,0.47101449275362317,60,4,69,5
decline_event_next,current_canopy_gt_0.01,0.01,canopy_noaa,XGBoost,test,138,74,0.5362318840579711,0.65625,0.28378378378378377,0.39622641509433965,0.6020313565531884,0.5,0.5362318840579711,53,11,53,21
decline_event_next,current_canopy_gt_0.01,0.01,canopy_noaa,LightGBM,test,138,74,0.5362318840579711,0.6956521739130435,0.21621621621621623,0.32989690721649484,0.608283341202345,0.5109797297297298,0.5289855072463768,57,7,58,16
decline_event_next,current_canopy_gt_0.05,0.05,canopy_only,Logistic Regression,test,93,45,0.4838709677419355,0.4444444444444444,0.26666666666666666,0.3333333333333333,0.5113625279185817,0.4962962962962963,0.4838709677419355,33,15,33,12
decline_event_next,current_canopy_gt_0.05,0.05,canopy_only,SVM,test,93,45,0.4838709677419355,0.0,0.0,0.0,0.5449207328327619,0.4972222222222222,0.5161290322580645,48,0,45,0
