year,split,current_reference_state,next_reference_state,count,row_total,transition_probability,overall_share
1992,train,lower_mid_p25_p50,high_above_p75,3,16,0.187500,0.060000
1992,train,lower_mid_p25_p50,low_below_p25,5,16,0.312500,0.100000
1992,train,lower_mid_p25_p50,lower_mid_p25_p50,4,16,0.250000,0.080000
1992,train,lower_mid_p25_p50,upper_mid_p50_p75,4,16,0.250000,0.080000
1992,train,upper_mid_p50_p75,high_above_p75,1,11,0.090909,0.020000
1992,train,upper_mid_p50_p75,low_below_p25,5,11,0.454545,0.100000
1992,train,upper_mid_p50_p75,lower_mid_p25_p50,3,11,0.272727,0.060000
1992,train,upper_mid_p50_p75,upper_mid_p50_p75,2,11,0.181818,0.040000
1993,train,high_above_p75,high_above_p75,5,10,0.500000,0.100000
1993,train,high_above_p75,lower_mid_p25_p50,2,10,0.200000,0.040000
1993,train,high_above_p75,upper_mid_p50_p75,3,10,0.300000,0.060000
1993,train,low_below_p25,high_above_p75,2,16,0.125000,0.040000
1993,train,low_below_p25,low_below_p25,2,16,0.125000,0.040000
1993,train,low_below_p25,lower_mid_p25_p50,8,16,0.500000,0.160000
1993,train,low_below_p25,upper_mid_p50_p75,4,16,0.250000,0.080000
1993,train,lower_mid_p25_p50,high_above_p75,4,13,0.307692,0.080000
1993,train,lower_mid_p25_p50,low_below_p25,4,13,0.307692,0.080000
1993,train,lower_mid_p25_p50,lower_mid_p25_p50,3,13,0.230769,0.060000
1993,train,lower_mid_p25_p50,upper_mid_p50_p75,2,13,0.153846,0.040000
1993,train,upper_mid_p50_p75,high_above_p75,6,11,0.545455,0.120000
1993,train,upper_mid_p50_p75,low_below_p25,1,11,0.090909,0.020000
1993,train,upper_mid_p50_p75,lower_mid_p25_p50,1,11,0.090909,0.020000
1993,train,upper_mid_p50_p75,upper_mid_p50_p75,3,11,0.272727,0.060000
1994,train,high_above_p75,low_below_p25,11,17,0.647059,0.220000
1994,train,high_above_p75,lower_mid_p25_p50,5,17,0.294118,0.100000
1994,train,high_above_p75,upper_mid_p50_p75,1,17,0.058824,0.020000
1994,train,low_below_p25,low_below_p25,4,7,0.571429,0.080000
1994,train,low_below_p25,lower_mid_p25_p50,1,7,0.142857,0.020000
1994,train,low_below_p25,upper_mid_p50_p75,2,7,0.285714,0.040000
1994,train,lower_mid_p25_p50,low_below_p25,12,14,0.857143,0.240000
1994,train,lower_mid_p25_p50,lower_mid_p25_p50,2,14,0.142857,0.040000
1994,train,upper_mid_p50_p75,low_below_p25,8,12,0.666667,0.160000
1994,train,upper_mid_p50_p75,lower_mid_p25_p50,2,12,0.166667,0.040000
1994,train,upper_mid_p50_p75,upper_mid_p50_p75,2,12,0.166667,0.040000
1995,train,low_below_p25,high_above_p75,1,35,0.028571,0.020000
1995,train,low_below_p25,low_below_p25,15,35,0.428571,0.300000
1995,train,low_below_p25,lower_mid_p25_p50,14,35,0.400000,0.280000
1995,train,low_below_p25,upper_mid_p50_p75,5,35,0.142857,0.100000
1995,train,lower_mid_p25_p50,low_below_p25,5,10,0.500000,0.100000
1995,train,lower_mid_p25_p50,lower_mid_p25_p50,2,10,0.200000,0.040000
1995,train,lower_mid_p25_p50,upper_mid_p50_p75,3,10,0.300000,0.060000
1995,train,upper_mid_p50_p75,low_below_p25,4,5,0.800000,0.080000
1995,train,upper_mid_p50_p75,lower_mid_p25_p50,1,5,0.200000,0.020000
1996,train,high_above_p75,upper_mid_p50_p75,1,1,1.000000,0.020000
1996,train,low_below_p25,low_below_p25,5,24,0.208333,0.100000
1996,train,low_below_p25,lower_mid_p25_p50,15,24,0.625000,0.300000
1996,train,low_below_p25,upper_mid_p50_p75,4,24,0.166667,0.080000
1996,train,lower_mid_p25_p50,high_above_p75,4,17,0.235294,0.080000
1996,train,lower_mid_p25_p50,low_below_p25,2,17,0.117647,0.040000
1996,train,lower_mid_p25_p50,lower_mid_p25_p50,2,17,0.117647,0.040000
1996,train,lower_mid_p25_p50,upper_mid_p50_p75,9,17,0.529412,0.180000
1996,train,upper_mid_p50_p75,high_above_p75,2,8,0.250000,0.040000
1996,train,upper_mid_p50_p75,lower_mid_p25_p50,1,8,0.125000,0.020000
1996,train,upper_mid_p50_p75,upper_mid_p50_p75,5,8,0.625000,0.100000
1997,train,high_above_p75,low_below_p25,5,6,0.833333,0.100000
1997,train,high_above_p75,lower_mid_p25_p50,1,6,0.166667,0.020000
1997,train,low_below_p25,low_below_p25,6,7,0.857143,0.120000
1997,train,low_below_p25,lower_mid_p25_p50,1,7,0.142857,0.020000
1997,train,lower_mid_p25_p50,low_below_p25,17,18,0.944444,0.340000
1997,train,lower_mid_p25_p50,lower_mid_p25_p50,1,18,0.055556,0.020000
1997,train,upper_mid_p50_p75,high_above_p75,1,19,0.052632,0.020000
1997,train,upper_mid_p50_p75,low_below_p25,15,19,0.789474,0.300000
1997,train,upper_mid_p50_p75,lower_mid_p25_p50,2,19,0.105263,0.040000
1997,train,upper_mid_p50_p75,upper_mid_p50_p75,1,19,0.052632,0.020000
1998,train,high_above_p75,upper_mid_p50_p75,1,1,1.000000,0.020000
1998,train,low_below_p25,high_above_p75,19,43,0.441860,0.380000
1998,train,low_below_p25,low_below_p25,5,43,0.116279,0.100000
1998,train,low_below_p25,lower_mid_p25_p50,8,43,0.186047,0.160000
1998,train,low_below_p25,upper_mid_p50_p75,11,43,0.255814,0.220000
1998,train,lower_mid_p25_p50,high_above_p75,4,5,0.800000,0.080000
1998,train,lower_mid_p25_p50,lower_mid_p25_p50,1,5,0.200000,0.020000
1998,train,upper_mid_p50_p75,high_above_p75,1,1,1.000000,0.020000
1999,train,high_above_p75,high_above_p75,5,24,0.208333,0.100000
1999,train,high_above_p75,low_below_p25,5,24,0.208333,0.100000
1999,train,high_above_p75,lower_mid_p25_p50,8,24,0.333333,0.160000
1999,train,high_above_p75,upper_mid_p50_p75,6,24,0.250000,0.120000
1999,train,low_below_p25,low_below_p25,2,5,0.400000,0.040000
1999,train,low_below_p25,lower_mid_p25_p50,3,5,0.600000,0.060000
1999,train,lower_mid_p25_p50,high_above_p75,1,9,0.111111,0.020000
1999,train,lower_mid_p25_p50,low_below_p25,1,9,0.111111,0.020000
1999,train,lower_mid_p25_p50,lower_mid_p25_p50,5,9,0.555556,0.100000
1999,train,lower_mid_p25_p50,upper_mid_p50_p75,2,9,0.222222,0.040000
1999,train,upper_mid_p50_p75,high_above_p75,1,12,0.083333,0.020000
1999,train,upper_mid_p50_p75,low_below_p25,5,12,0.416667,0.100000
1999,train,upper_mid_p50_p75,lower_mid_p25_p50,5,12,0.416667,0.100000
1999,train,upper_mid_p50_p75,upper_mid_p50_p75,1,12,0.083333,0.020000
2000,train,high_above_p75,high_above_p75,4,7,0.571429,0.080000
2000,train,high_above_p75,lower_mid_p25_p50,2,7,0.285714,0.040000
2000,train,high_above_p75,upper_mid_p50_p75,1,7,0.142857,0.020000
2000,train,low_below_p25,high_above_p75,3,13,0.230769,0.060000
2000,train,low_below_p25,low_below_p25,2,13,0.153846,0.040000
2000,train,low_below_p25,lower_mid_p25_p50,4,13,0.307692,0.080000
2000,train,low_below_p25,upper_mid_p50_p75,4,13,0.307692,0.080000
2000,train,lower_mid_p25_p50,high_above_p75,8,21,0.380952,0.160000
2000,train,lower_mid_p25_p50,lower_mid_p25_p50,2,21,0.095238,0.040000
2000,train,lower_mid_p25_p50,upper_mid_p50_p75,11,21,0.523810,0.220000
2000,train,upper_mid_p50_p75,high_above_p75,6,9,0.666667,0.120000
2000,train,upper_mid_p50_p75,upper_mid_p50_p75,3,9,0.333333,0.060000
2001,train,high_above_p75,high_above_p75,10,21,0.476190,0.200000
2001,train,high_above_p75,low_below_p25,2,21,0.095238,0.040000
2001,train,high_above_p75,lower_mid_p25_p50,7,21,0.333333,0.140000
2001,train,high_above_p75,upper_mid_p50_p75,2,21,0.095238,0.040000
2001,train,low_below_p25,high_above_p75,1,2,0.500000,0.020000
2001,train,low_below_p25,lower_mid_p25_p50,1,2,0.500000,0.020000
2001,train,lower_mid_p25_p50,high_above_p75,2,8,0.250000,0.040000
2001,train,lower_mid_p25_p50,lower_mid_p25_p50,2,8,0.250000,0.040000
2001,train,lower_mid_p25_p50,upper_mid_p50_p75,4,8,0.500000,0.080000
2001,train,upper_mid_p50_p75,high_above_p75,8,19,0.421053,0.160000
2001,train,upper_mid_p50_p75,low_below_p25,1,19,0.052632,0.020000
2001,train,upper_mid_p50_p75,lower_mid_p25_p50,5,19,0.263158,0.100000
2001,train,upper_mid_p50_p75,upper_mid_p50_p75,5,19,0.263158,0.100000
2002,train,high_above_p75,high_above_p75,4,21,0.190476,0.080000
2002,train,high_above_p75,low_below_p25,10,21,0.476190,0.200000
2002,train,high_above_p75,lower_mid_p25_p50,5,21,0.238095,0.100000
2002,train,high_above_p75,upper_mid_p50_p75,2,21,0.095238,0.040000
2002,train,low_below_p25,lower_mid_p25_p50,3,3,1.000000,0.060000
2002,train,lower_mid_p25_p50,high_above_p75,2,15,0.133333,0.040000
2002,train,lower_mid_p25_p50,low_below_p25,7,15,0.466667,0.140000
2002,train,lower_mid_p25_p50,lower_mid_p25_p50,4,15,0.266667,0.080000
2002,train,lower_mid_p25_p50,upper_mid_p50_p75,2,15,0.133333,0.040000
2002,train,upper_mid_p50_p75,low_below_p25,8,11,0.727273,0.160000
2002,train,upper_mid_p50_p75,lower_mid_p25_p50,2,11,0.181818,0.040000
2002,train,upper_mid_p50_p75,upper_mid_p50_p75,1,11,0.090909,0.020000
2003,train,high_above_p75,high_above_p75,4,6,0.666667,0.080000
2003,train,high_above_p75,lower_mid_p25_p50,2,6,0.333333,0.040000
2003,train,low_below_p25,high_above_p75,3,25,0.120000,0.060000
2003,train,low_below_p25,low_below_p25,9,25,0.360000,0.180000
2003,train,low_below_p25,lower_mid_p25_p50,9,25,0.360000,0.180000
2003,train,low_below_p25,upper_mid_p50_p75,4,25,0.160000,0.080000
2003,train,lower_mid_p25_p50,high_above_p75,3,14,0.214286,0.060000
2003,train,lower_mid_p25_p50,lower_mid_p25_p50,5,14,0.357143,0.100000
2003,train,lower_mid_p25_p50,upper_mid_p50_p75,6,14,0.428571,0.120000
2003,train,upper_mid_p50_p75,high_above_p75,4,5,0.800000,0.080000
2003,train,upper_mid_p50_p75,upper_mid_p50_p75,1,5,0.200000,0.020000
2004,train,high_above_p75,high_above_p75,5,14,0.357143,0.100000
2004,train,high_above_p75,low_below_p25,1,14,0.071429,0.020000
2004,train,high_above_p75,lower_mid_p25_p50,2,14,0.142857,0.040000
2004,train,high_above_p75,upper_mid_p50_p75,6,14,0.428571,0.120000
2004,train,low_below_p25,low_below_p25,9,9,1.000000,0.180000
2004,train,lower_mid_p25_p50,high_above_p75,2,16,0.125000,0.040000
2004,train,lower_mid_p25_p50,low_below_p25,8,16,0.500000,0.160000
2004,train,lower_mid_p25_p50,lower_mid_p25_p50,4,16,0.250000,0.080000
