label_target,feature_set,model,split,evaluation_type,year,budget_type,budget_value,k_selected,n_candidates,n_positive,base_prevalence,hits,false_alerts,missed_declines,precision_at_k,recall_at_k,false_discovery_rate_at_k,lift_at_k,expected_random_hits,enrichment_over_random
decline_event_next,canopy_noaa,SVM,test,pooled_topk,,fixed_k,5.0,5,200,134,0.67,5,0,129,1.0,0.03731343283582089,0.0,1.4925373134328357,3.35,1.4925373134328357
decline_event_next,canopy_noaa,SVM,test,pooled_topk,,fixed_k,10.0,10,200,134,0.67,10,0,124,1.0,0.07462686567164178,0.0,1.4925373134328357,6.7,1.4925373134328357
decline_event_next,canopy_noaa,SVM,test,pooled_topk,,fixed_k,20.0,20,200,134,0.67,20,0,114,1.0,0.14925373134328357,0.0,1.4925373134328357,13.4,1.4925373134328357
decline_event_next,canopy_noaa,SVM,test,pooled_topk,,fixed_k,50.0,50,200,134,0.67,45,5,89,0.9,0.3358208955223881,0.1,1.3432835820895521,33.5,1.3432835820895523
decline_event_next,canopy_noaa,SVM,test,pooled_topk,,fixed_k,100.0,100,200,134,0.67,84,16,50,0.84,0.6268656716417911,0.16,1.253731343283582,67.0,1.2537313432835822
decline_event_next,canopy_noaa,SVM,test,pooled_topk,,percent,0.1,20,200,134,0.67,20,0,114,1.0,0.14925373134328357,0.0,1.4925373134328357,13.4,1.4925373134328357
decline_event_next,canopy_noaa,SVM,test,pooled_topk,,percent,0.2,40,200,134,0.67,35,5,99,0.875,0.26119402985074625,0.125,1.3059701492537312,26.8,1.3059701492537312
decline_event_next,canopy_noaa,SVM,test,pooled_topk,,percent,0.3,60,200,134,0.67,55,5,79,0.9166666666666666,0.41044776119402987,0.08333333333333333,1.3681592039800994,40.2,1.3681592039800994
decline_event_next,canopy_noaa,SVM,test,pooled_topk,,percent,0.4,80,200,134,0.67,71,9,63,0.8875,0.5298507462686567,0.1125,1.3246268656716416,53.6,1.3246268656716418
decline_event_next,canopy_noaa,SVM,test,pooled_topk,,percent,0.5,100,200,134,0.67,84,16,50,0.84,0.6268656716417911,0.16,1.253731343283582,67.0,1.2537313432835822
decline_event_next,canopy_noaa,XGBoost,test,pooled_topk,,fixed_k,5.0,5,200,134,0.67,5,0,129,1.0,0.03731343283582089,0.0,1.4925373134328357,3.35,1.4925373134328357
decline_event_next,canopy_noaa,XGBoost,test,pooled_topk,,fixed_k,10.0,10,200,134,0.67,10,0,124,1.0,0.07462686567164178,0.0,1.4925373134328357,6.7,1.4925373134328357
decline_event_next,canopy_noaa,XGBoost,test,pooled_topk,,fixed_k,20.0,20,200,134,0.67,20,0,114,1.0,0.14925373134328357,0.0,1.4925373134328357,13.4,1.4925373134328357
decline_event_next,canopy_noaa,XGBoost,test,pooled_topk,,fixed_k,50.0,50,200,134,0.67,41,9,93,0.82,0.30597014925373134,0.18,1.2238805970149251,33.5,1.2238805970149254
decline_event_next,canopy_noaa,XGBoost,test,pooled_topk,,fixed_k,100.0,100,200,134,0.67,79,21,55,0.79,0.5895522388059702,0.21,1.1791044776119404,67.0,1.1791044776119404
decline_event_next,canopy_noaa,XGBoost,test,pooled_topk,,percent,0.1,20,200,134,0.67,20,0,114,1.0,0.14925373134328357,0.0,1.4925373134328357,13.4,1.4925373134328357
decline_event_next,canopy_noaa,XGBoost,test,pooled_topk,,percent,0.2,40,200,134,0.67,35,5,99,0.875,0.26119402985074625,0.125,1.3059701492537312,26.8,1.3059701492537312
decline_event_next,canopy_noaa,XGBoost,test,pooled_topk,,percent,0.3,60,200,134,0.67,50,10,84,0.8333333333333334,0.373134328358209,0.16666666666666666,1.243781094527363,40.2,1.243781094527363
decline_event_next,canopy_noaa,XGBoost,test,pooled_topk,,percent,0.4,80,200,134,0.67,70,10,64,0.875,0.5223880597014925,0.125,1.3059701492537312,53.6,1.3059701492537312
decline_event_next,canopy_noaa,XGBoost,test,pooled_topk,,percent,0.5,100,200,134,0.67,79,21,55,0.79,0.5895522388059702,0.21,1.1791044776119404,67.0,1.1791044776119404
decline_event_next,canopy_only,LightGBM,test,pooled_topk,,fixed_k,5.0,5,200,134,0.67,5,0,129,1.0,0.03731343283582089,0.0,1.4925373134328357,3.35,1.4925373134328357
decline_event_next,canopy_only,LightGBM,test,pooled_topk,,fixed_k,10.0,10,200,134,0.67,10,0,124,1.0,0.07462686567164178,0.0,1.4925373134328357,6.7,1.4925373134328357
decline_event_next,canopy_only,LightGBM,test,pooled_topk,,fixed_k,20.0,20,200,134,0.67,20,0,114,1.0,0.14925373134328357,0.0,1.4925373134328357,13.4,1.4925373134328357
decline_event_next,canopy_only,LightGBM,test,pooled_topk,,fixed_k,50.0,50,200,134,0.67,48,2,86,0.96,0.3582089552238806,0.04,1.4328358208955223,33.5,1.4328358208955223
decline_event_next,canopy_only,LightGBM,test,pooled_topk,,fixed_k,100.0,100,200,134,0.67,86,14,48,0.86,0.6417910447761194,0.14,1.2835820895522387,67.0,1.2835820895522387
decline_event_next,canopy_only,LightGBM,test,pooled_topk,,percent,0.1,20,200,134,0.67,20,0,114,1.0,0.14925373134328357,0.0,1.4925373134328357,13.4,1.4925373134328357
decline_event_next,canopy_only,LightGBM,test,pooled_topk,,percent,0.2,40,200,134,0.67,39,1,95,0.975,0.291044776119403,0.025,1.4552238805970148,26.8,1.4552238805970148
decline_event_next,canopy_only,LightGBM,test,pooled_topk,,percent,0.3,60,200,134,0.67,56,4,78,0.9333333333333333,0.417910447761194,0.06666666666666667,1.3930348258706466,40.2,1.3930348258706466
decline_event_next,canopy_only,LightGBM,test,pooled_topk,,percent,0.4,80,200,134,0.67,71,9,63,0.8875,0.5298507462686567,0.1125,1.3246268656716416,53.6,1.3246268656716418
decline_event_next,canopy_only,LightGBM,test,pooled_topk,,percent,0.5,100,200,134,0.67,86,14,48,0.86,0.6417910447761194,0.14,1.2835820895522387,67.0,1.2835820895522387
decline_event_next,canopy_only,Logistic Regression,test,pooled_topk,,fixed_k,5.0,5,200,134,0.67,5,0,129,1.0,0.03731343283582089,0.0,1.4925373134328357,3.35,1.4925373134328357
decline_event_next,canopy_only,Logistic Regression,test,pooled_topk,,fixed_k,10.0,10,200,134,0.67,10,0,124,1.0,0.07462686567164178,0.0,1.4925373134328357,6.7,1.4925373134328357
decline_event_next,canopy_only,Logistic Regression,test,pooled_topk,,fixed_k,20.0,20,200,134,0.67,18,2,116,0.9,0.13432835820895522,0.1,1.3432835820895521,13.4,1.3432835820895521
decline_event_next,canopy_only,Logistic Regression,test,pooled_topk,,fixed_k,50.0,50,200,134,0.67,39,11,95,0.78,0.291044776119403,0.22,1.164179104477612,33.5,1.164179104477612
decline_event_next,canopy_only,Logistic Regression,test,pooled_topk,,fixed_k,100.0,100,200,134,0.67,83,17,51,0.83,0.6194029850746269,0.17,1.2388059701492535,67.0,1.2388059701492538
decline_event_next,canopy_only,Logistic Regression,test,pooled_topk,,percent,0.1,20,200,134,0.67,18,2,116,0.9,0.13432835820895522,0.1,1.3432835820895521,13.4,1.3432835820895521
decline_event_next,canopy_only,Logistic Regression,test,pooled_topk,,percent,0.2,40,200,134,0.67,33,7,101,0.825,0.2462686567164179,0.175,1.2313432835820894,26.8,1.2313432835820894
decline_event_next,canopy_only,Logistic Regression,test,pooled_topk,,percent,0.3,60,200,134,0.67,48,12,86,0.8,0.3582089552238806,0.2,1.1940298507462686,40.2,1.1940298507462686
decline_event_next,canopy_only,Logistic Regression,test,pooled_topk,,percent,0.4,80,200,134,0.67,67,13,67,0.8375,0.5,0.1625,1.25,53.6,1.25
decline_event_next,canopy_only,Logistic Regression,test,pooled_topk,,percent,0.5,100,200,134,0.67,83,17,51,0.83,0.6194029850746269,0.17,1.2388059701492535,67.0,1.2388059701492538
decline_event_next,canopy_only,Random Forest,test,pooled_topk,,fixed_k,5.0,5,200,134,0.67,5,0,129,1.0,0.03731343283582089,0.0,1.4925373134328357,3.35,1.4925373134328357
decline_event_next,canopy_only,Random Forest,test,pooled_topk,,fixed_k,10.0,10,200,134,0.67,10,0,124,1.0,0.07462686567164178,0.0,1.4925373134328357,6.7,1.4925373134328357
decline_event_next,canopy_only,Random Forest,test,pooled_topk,,fixed_k,20.0,20,200,134,0.67,20,0,114,1.0,0.14925373134328357,0.0,1.4925373134328357,13.4,1.4925373134328357
decline_event_next,canopy_only,Random Forest,test,pooled_topk,,fixed_k,50.0,50,200,134,0.67,49,1,85,0.98,0.3656716417910448,0.02,1.4626865671641789,33.5,1.462686567164179
decline_event_next,canopy_only,Random Forest,test,pooled_topk,,fixed_k,100.0,100,200,134,0.67,86,14,48,0.86,0.6417910447761194,0.14,1.2835820895522387,67.0,1.2835820895522387
