label_target,feature_set,model,split,threshold,n_obs,n_positive,n_negative,tp,fp,tn,fn,precision,recall,specificity,false_positive_rate,f1,f2,alerts,alerts_per_100_cell_years,false_alerts_per_100_cell_years,missed_declines_per_100_true_declines
decline_event_next,canopy_noaa,SVM,test,0.95,200,134,66,0,0,66,134,,0.0,1.0,0.0,,,0,0.0,0.0,100.0
decline_event_next,canopy_noaa,SVM,test,0.96,200,134,66,0,0,66,134,,0.0,1.0,0.0,,,0,0.0,0.0,100.0
decline_event_next,canopy_noaa,SVM,test,0.97,200,134,66,0,0,66,134,,0.0,1.0,0.0,,,0,0.0,0.0,100.0
decline_event_next,canopy_noaa,SVM,test,0.98,200,134,66,0,0,66,134,,0.0,1.0,0.0,,,0,0.0,0.0,100.0
decline_event_next,canopy_noaa,SVM,test,0.99,200,134,66,0,0,66,134,,0.0,1.0,0.0,,,0,0.0,0.0,100.0
decline_event_next,canopy_noaa,SVM,test,1.0,200,134,66,0,0,66,134,,0.0,1.0,0.0,,,0,0.0,0.0,100.0
decline_event_next,canopy_noaa,XGBoost,test,0.0,200,134,66,134,66,0,0,0.67,1.0,0.0,1.0,0.8023952095808384,0.9103260869565217,200,100.0,33.0,0.0
decline_event_next,canopy_noaa,XGBoost,test,0.01,200,134,66,134,66,0,0,0.67,1.0,0.0,1.0,0.8023952095808384,0.9103260869565217,200,100.0,33.0,0.0
decline_event_next,canopy_noaa,XGBoost,test,0.02,200,134,66,134,66,0,0,0.67,1.0,0.0,1.0,0.8023952095808384,0.9103260869565217,200,100.0,33.0,0.0
decline_event_next,canopy_noaa,XGBoost,test,0.03,200,134,66,134,66,0,0,0.67,1.0,0.0,1.0,0.8023952095808384,0.9103260869565217,200,100.0,33.0,0.0
decline_event_next,canopy_noaa,XGBoost,test,0.04,200,134,66,134,66,0,0,0.67,1.0,0.0,1.0,0.8023952095808384,0.9103260869565217,200,100.0,33.0,0.0
decline_event_next,canopy_noaa,XGBoost,test,0.05,200,134,66,134,66,0,0,0.67,1.0,0.0,1.0,0.8023952095808384,0.9103260869565217,200,100.0,33.0,0.0
decline_event_next,canopy_noaa,XGBoost,test,0.06,200,134,66,134,66,0,0,0.67,1.0,0.0,1.0,0.8023952095808384,0.9103260869565217,200,100.0,33.0,0.0
decline_event_next,canopy_noaa,XGBoost,test,0.07,200,134,66,134,66,0,0,0.67,1.0,0.0,1.0,0.8023952095808384,0.9103260869565217,200,100.0,33.0,0.0
decline_event_next,canopy_noaa,XGBoost,test,0.08,200,134,66,133,66,0,1,0.6683417085427136,0.9925373134328358,0.0,1.0,0.7987987987987988,0.9047619047619048,199,99.5,33.0,0.7462686567164178
decline_event_next,canopy_noaa,XGBoost,test,0.09,200,134,66,132,66,0,2,0.6666666666666666,0.9850746268656716,0.0,1.0,0.7951807228915662,0.8991825613079019,198,99.0,33.0,1.4925373134328357
decline_event_next,canopy_noaa,XGBoost,test,0.1,200,134,66,132,66,0,2,0.6666666666666666,0.9850746268656716,0.0,1.0,0.7951807228915662,0.8991825613079019,198,99.0,33.0,1.4925373134328357
decline_event_next,canopy_noaa,XGBoost,test,0.11,200,134,66,132,65,1,2,0.6700507614213198,0.9850746268656716,0.015151515151515152,0.9848484848484849,0.797583081570997,0.9004092769440655,197,98.5,32.5,1.4925373134328357
decline_event_next,canopy_noaa,XGBoost,test,0.12,200,134,66,130,65,1,4,0.6666666666666666,0.9701492537313433,0.015151515151515152,0.9848484848484849,0.7902735562310029,0.8891928864569083,195,97.5,32.5,2.9850746268656714
decline_event_next,canopy_noaa,XGBoost,test,0.13,200,134,66,129,64,2,5,0.6683937823834197,0.9626865671641791,0.030303030303030304,0.9696969696969697,0.7889908256880735,0.8847736625514404,193,96.5,32.0,3.731343283582089
decline_event_next,canopy_noaa,XGBoost,test,0.14,200,134,66,129,62,4,5,0.675392670157068,0.9626865671641791,0.06060606060606061,0.9393939393939394,0.7938461538461539,0.8872077028885832,191,95.5,31.0,3.731343283582089
decline_event_next,canopy_noaa,XGBoost,test,0.15,200,134,66,126,61,5,8,0.6737967914438503,0.9402985074626866,0.07575757575757576,0.9242424242424242,0.7850467289719626,0.8713692946058093,187,93.5,30.5,5.970149253731343
decline_event_next,canopy_noaa,XGBoost,test,0.16,200,134,66,126,58,8,8,0.6847826086956522,0.9402985074626866,0.12121212121212122,0.8787878787878788,0.7924528301886793,0.875,184,92.0,28.999999999999996,5.970149253731343
decline_event_next,canopy_noaa,XGBoost,test,0.17,200,134,66,123,56,10,11,0.6871508379888268,0.917910447761194,0.15151515151515152,0.8484848484848485,0.7859424920127795,0.8601398601398602,179,89.5,28.000000000000004,8.208955223880597
decline_event_next,canopy_noaa,XGBoost,test,0.18,200,134,66,119,55,11,15,0.6839080459770115,0.8880597014925373,0.16666666666666666,0.8333333333333334,0.7727272727272727,0.8380281690140845,174,87.0,27.500000000000004,11.194029850746269
decline_event_next,canopy_noaa,XGBoost,test,0.19,200,134,66,117,54,12,17,0.6842105263157895,0.8731343283582089,0.18181818181818182,0.8181818181818182,0.7672131147540984,0.8274398868458274,171,85.5,27.0,12.686567164179104
decline_event_next,canopy_noaa,XGBoost,test,0.2,200,134,66,114,53,13,20,0.6826347305389222,0.8507462686567164,0.19696969696969696,0.803030303030303,0.7574750830564785,0.8108108108108107,167,83.5,26.5,14.925373134328357
decline_event_next,canopy_noaa,XGBoost,test,0.21,200,134,66,113,50,16,21,0.6932515337423313,0.8432835820895522,0.24242424242424243,0.7575757575757576,0.7609427609427609,0.8082975679542204,163,81.5,25.0,15.671641791044777
decline_event_next,canopy_noaa,XGBoost,test,0.22,200,134,66,110,49,17,24,0.6918238993710691,0.8208955223880597,0.25757575757575757,0.7424242424242424,0.7508532423208191,0.7913669064748202,159,79.5,24.5,17.91044776119403
decline_event_next,canopy_noaa,XGBoost,test,0.23,200,134,66,107,47,19,27,0.6948051948051948,0.7985074626865671,0.2878787878787879,0.7121212121212122,0.7430555555555555,0.7753623188405796,154,77.0,23.5,20.149253731343283
decline_event_next,canopy_noaa,XGBoost,test,0.24,200,134,66,103,43,23,31,0.7054794520547946,0.7686567164179104,0.3484848484848485,0.6515151515151515,0.7357142857142858,0.7551319648093843,146,73.0,21.5,23.134328358208954
decline_event_next,canopy_noaa,XGBoost,test,0.25,200,134,66,101,41,25,33,0.7112676056338029,0.753731343283582,0.3787878787878788,0.6212121212121212,0.7318840579710145,0.7448377581120944,142,71.0,20.5,24.62686567164179
decline_event_next,canopy_noaa,XGBoost,test,0.26,200,134,66,99,39,27,35,0.717391304347826,0.7388059701492538,0.4090909090909091,0.5909090909090909,0.7279411764705882,0.7344213649851633,138,69.0,19.5,26.119402985074625
decline_event_next,canopy_noaa,XGBoost,test,0.27,200,134,66,95,37,29,39,0.7196969696969697,0.7089552238805971,0.4393939393939394,0.5606060606060606,0.7142857142857143,0.7110778443113772,132,66.0,18.5,29.1044776119403
decline_event_next,canopy_noaa,XGBoost,test,0.28,200,134,66,94,34,32,40,0.734375,0.7014925373134329,0.48484848484848486,0.5151515151515151,0.7175572519083969,0.7078313253012049,128,64.0,17.0,29.850746268656714
decline_event_next,canopy_noaa,XGBoost,test,0.29,200,134,66,91,32,34,43,0.7398373983739838,0.6791044776119403,0.5151515151515151,0.48484848484848486,0.708171206225681,0.6904400606980272,123,61.5,16.0,32.08955223880597
decline_event_next,canopy_noaa,XGBoost,test,0.3,200,134,66,90,28,38,44,0.7627118644067796,0.6716417910447762,0.5757575757575758,0.42424242424242425,0.7142857142857143,0.6880733944954128,118,59.0,14.000000000000002,32.83582089552239
decline_event_next,canopy_noaa,XGBoost,test,0.31,200,134,66,89,26,40,45,0.7739130434782608,0.664179104477612,0.6060606060606061,0.3939393939393939,0.714859437751004,0.6835637480798771,115,57.49999999999999,13.0,33.582089552238806
decline_event_next,canopy_noaa,XGBoost,test,0.32,200,134,66,86,25,41,48,0.7747747747747747,0.6417910447761194,0.6212121212121212,0.3787878787878788,0.7020408163265306,0.6646058732612056,111,55.50000000000001,12.5,35.82089552238806
decline_event_next,canopy_noaa,XGBoost,test,0.33,200,134,66,83,25,41,51,0.7685185185185185,0.6194029850746269,0.6212121212121212,0.3787878787878788,0.6859504132231405,0.6444099378881988,108,54.0,12.5,38.059701492537314
decline_event_next,canopy_noaa,XGBoost,test,0.34,200,134,66,82,25,41,52,0.7663551401869159,0.6119402985074627,0.6212121212121212,0.3787878787878788,0.6804979253112032,0.6376360808709175,107,53.5,12.5,38.80597014925373
decline_event_next,canopy_noaa,XGBoost,test,0.35,200,134,66,82,23,43,52,0.780952380952381,0.6119402985074627,0.6515151515151515,0.3484848484848485,0.6861924686192468,0.6396255850234009,105,52.5,11.5,38.80597014925373
decline_event_next,canopy_noaa,XGBoost,test,0.36,200,134,66,79,21,45,55,0.79,0.5895522388059702,0.6818181818181818,0.3181818181818182,0.6752136752136753,0.6210691823899371,100,50.0,10.5,41.04477611940299
