support_m,feature_set,year,matched_rows,new_ap_lift,old_ap_lift
300,trajectory_plus_paper_environment,2017,35,0.3250046685340803,0.3356383712905452
300,trajectory_plus_paper_environment,2018,44,0.024407008132382613,0.02256597318577469
300,trajectory_plus_paper_environment,2019,30,0.35185568591365707,0.441425120772947
300,trajectory_plus_paper_environment,2020,36,0.18590122739428644,0.14764571599249016
300,trajectory_plus_paper_environment,2021,21,0.6261904761904762,0.6504329004329005
300,trajectory_plus_paper_full,2008,80,0.15495082878551708,0.13047996828759778
300,trajectory_plus_paper_full,2009,56,0.17991584569158653,0.1251023629299468
300,trajectory_plus_paper_full,2010,71,0.21690409730525007,0.1795628359291217
300,trajectory_plus_paper_full,2011,68,0.3017253782902662,0.18341553704534702
300,trajectory_plus_paper_full,2012,44,0.08620314956990377,0.11827419066674705
300,trajectory_plus_paper_full,2013,39,0.019963546434681678,0.020912464618157545
300,trajectory_plus_paper_full,2014,43,0.07720995465886643,0.13136814815534387
300,trajectory_plus_paper_full,2015,37,0.17345568854107757,0.21943807851702585
300,trajectory_plus_paper_full,2016,37,0.03479413725359459,-0.03368814633297201
300,trajectory_plus_paper_full,2017,35,0.46824841824841823,0.3028336940836941
300,trajectory_plus_paper_full,2018,44,0.06100991872368211,0.05326525427722928
300,trajectory_plus_paper_full,2019,30,0.320112842857941,0.2531563570779258
300,trajectory_plus_paper_full,2020,36,0.23475337017824943,0.12401576311376888
300,trajectory_plus_paper_full,2021,21,0.48730158730158724,0.7595238095238095
1000,trajectory,2008,96,0.11434776942786046,0.19197869447401122
1000,trajectory,2009,74,0.08339359472667734,0.2910803279633185
1000,trajectory,2010,85,-0.019531331163932575,-0.046013501649969424
1000,trajectory,2011,89,0.30213447764312756,0.28720045299882563
1000,trajectory,2012,66,0.24618650788784574,0.2865001998360219
1000,trajectory,2013,50,-0.03977287648435324,0.010597522493622558
1000,trajectory,2014,54,0.05146975876555443,-0.013462938151329484
1000,trajectory,2015,45,0.27281840817134934,0.2382633831368947
1000,trajectory,2016,46,-0.039627722483184746,-0.038044700954195154
1000,trajectory,2017,50,0.007725321496837467,-0.03164227648418158
1000,trajectory,2018,56,0.05074303457976459,0.03597755684715498
1000,trajectory,2019,48,0.05866724738675955,0.019655195857592456
1000,trajectory,2020,47,0.40684632483565314,0.48749424230243493
1000,trajectory,2021,25,0.72,0.13519138755980858
1000,trajectory_plus_field_state,2008,96,0.08413678798327873,0.1595427396707843
1000,trajectory_plus_field_state,2009,74,0.04914622606296948,0.20742328046151115
1000,trajectory_plus_field_state,2010,85,0.06045356383530476,0.012144189604953448
1000,trajectory_plus_field_state,2011,89,0.13823061068262893,0.055575153557620494
1000,trajectory_plus_field_state,2012,66,0.2805021658180317,0.2443277810202153
1000,trajectory_plus_field_state,2013,50,-0.069430598220252,0.030417163564615546
1000,trajectory_plus_field_state,2014,54,0.036282815929897905,0.04655233574915846
1000,trajectory_plus_field_state,2015,45,0.11614946134903331,-0.03685232071986683
1000,trajectory_plus_field_state,2016,46,0.08080421083098305,0.017789113046187965
1000,trajectory_plus_field_state,2017,50,0.13936034934155234,0.13965539168537067
1000,trajectory_plus_field_state,2018,56,0.06004343443212501,0.03261312390328508
1000,trajectory_plus_field_state,2019,48,0.16267123722521026,0.06542329355963655
1000,trajectory_plus_field_state,2020,47,0.27232571945904543,0.14132528578793646
1000,trajectory_plus_field_state,2021,25,0.667845804988662,0.31253246753246744
1000,trajectory_plus_full_regime,2008,96,0.035006403876621295,0.08678582129137652
1000,trajectory_plus_full_regime,2009,74,0.01250251008927783,0.20946735004943234
1000,trajectory_plus_full_regime,2010,85,0.09609330937843275,0.016265801967365046
1000,trajectory_plus_full_regime,2011,89,0.15595561840408723,0.07811940977257353
1000,trajectory_plus_full_regime,2012,66,0.07208435448852141,0.1913069153760229
1000,trajectory_plus_full_regime,2013,50,-0.043320309697459924,0.03207358735334842
1000,trajectory_plus_full_regime,2014,54,-0.002877652416115317,0.1307389383771882
1000,trajectory_plus_full_regime,2015,45,0.049309608567280505,0.0451065314396179
1000,trajectory_plus_full_regime,2016,46,0.09623624275954007,-0.07269762521121481
1000,trajectory_plus_full_regime,2017,50,0.2918817470918311,0.4019311963916
1000,trajectory_plus_full_regime,2018,56,0.0641875191908754,0.059468367932110744
1000,trajectory_plus_full_regime,2019,48,0.19070929611113152,0.13887317023583623
1000,trajectory_plus_full_regime,2020,47,0.04814472121139313,-0.007913256759996767
1000,trajectory_plus_full_regime,2021,25,0.05828792761123586,0.13863553113553112
1000,trajectory_plus_paper_environment,2008,96,0.04757805341325477,0.08668425441493965
1000,trajectory_plus_paper_environment,2009,74,-0.028764824048861715,0.18051475580674792
1000,trajectory_plus_paper_environment,2010,85,0.0993456567238371,0.02404987958031024
1000,trajectory_plus_paper_environment,2011,89,0.2226244295155247,0.11131885854325169
1000,trajectory_plus_paper_environment,2012,66,0.06501281714891977,0.12787265825606886
1000,trajectory_plus_paper_environment,2013,50,-0.06878828326992126,0.05103033688378211
1000,trajectory_plus_paper_environment,2014,54,-0.023862879302441187,0.11008038772650436
1000,trajectory_plus_paper_environment,2015,45,-0.020731351103541185,-0.04477587436840408
1000,trajectory_plus_paper_environment,2016,46,0.24769418757067269,0.18379403063686023
1000,trajectory_plus_paper_environment,2017,50,0.0523602488532276,0.23674094675289015
1000,trajectory_plus_paper_environment,2018,56,0.05440878654423831,0.046211694124945524
1000,trajectory_plus_paper_environment,2019,48,0.40148267145218375,0.3107108732224366
1000,trajectory_plus_paper_environment,2020,47,0.16613658270973813,0.17709471308696906
1000,trajectory_plus_paper_environment,2021,25,0.4081562881562881,0.49871572871572867
1000,trajectory_plus_paper_full,2008,96,0.035006403876621295,0.08678582129137652
1000,trajectory_plus_paper_full,2009,74,0.01250251008927783,0.20946735004943234
1000,trajectory_plus_paper_full,2010,85,0.09609330937843275,0.016265801967365046
1000,trajectory_plus_paper_full,2011,89,0.15595561840408723,0.07811940977257353
1000,trajectory_plus_paper_full,2012,66,0.07208435448852141,0.1913069153760229
1000,trajectory_plus_paper_full,2013,50,-0.043320309697459924,0.03207358735334842
1000,trajectory_plus_paper_full,2014,54,-0.002877652416115317,0.1307389383771882
1000,trajectory_plus_paper_full,2015,45,0.04739754176441291,-0.023051898739336718
1000,trajectory_plus_paper_full,2016,46,0.1749795821895655,0.0724996234983159
1000,trajectory_plus_paper_full,2017,50,0.20986594683295545,0.3801774271129108
1000,trajectory_plus_paper_full,2018,56,0.06788440466020085,0.06272839992888968
1000,trajectory_plus_paper_full,2019,48,0.3715143023805305,0.09792803294324592
1000,trajectory_plus_paper_full,2020,47,0.1524677224915187,0.13838112367151728
1000,trajectory_plus_paper_full,2021,25,0.44048872180451126,0.654065934065934
