support_m,feature_set,year,n,events,prevalence,ap,ap_lift
300,trajectory_plus_full_regime,2009,56,17,0.30357142857142855,0.4834872742630151,0.17991584569158653
300,trajectory_plus_full_regime,2010,71,45,0.6338028169014085,0.8507069142066586,0.21690409730525007
300,trajectory_plus_full_regime,2011,68,29,0.4264705882352941,0.7281959665255603,0.3017253782902662
300,trajectory_plus_full_regime,2012,44,12,0.2727272727272727,0.3589304222971765,0.08620314956990377
300,trajectory_plus_full_regime,2013,39,31,0.7948717948717948,0.8148353413064765,0.019963546434681678
300,trajectory_plus_full_regime,2014,43,18,0.4186046511627907,0.49581460582165715,0.07720995465886643
300,trajectory_plus_full_regime,2015,37,13,0.35135135135135137,0.5303802237879318,0.17902887243658044
300,trajectory_plus_full_regime,2016,37,22,0.5945945945945946,0.6059318102945888,0.01133721569999413
300,trajectory_plus_full_regime,2017,35,10,0.2857142857142857,0.5120833333333333,0.22636904761904764
300,trajectory_plus_full_regime,2018,44,35,0.7954545454545454,0.8511459801860597,0.05569143473151428
300,trajectory_plus_full_regime,2019,30,9,0.3,0.6597222222222223,0.35972222222222233
300,trajectory_plus_full_regime,2020,36,14,0.3888888888888889,0.6283127934154751,0.23942390452658618
300,trajectory_plus_full_regime,2021,21,4,0.19047619047619047,0.4041666666666667,0.2136904761904762
300,trajectory_plus_paper_environment,2008,87,34,0.39080459770114945,0.6595296224557132,0.2687250247545638
300,trajectory_plus_paper_environment,2009,56,17,0.30357142857142855,0.4118861522927083,0.10831472372127976
300,trajectory_plus_paper_environment,2010,71,45,0.6338028169014085,0.8401111908388846,0.20630837393747614
300,trajectory_plus_paper_environment,2011,68,29,0.4264705882352941,0.7740083988977613,0.3475378106624672
300,trajectory_plus_paper_environment,2012,44,12,0.2727272727272727,0.34150226135520256,0.06877498862792986
300,trajectory_plus_paper_environment,2013,39,31,0.7948717948717948,0.7932260052148501,-0.0016457896569447295
300,trajectory_plus_paper_environment,2014,43,18,0.4186046511627907,0.4520213389162334,0.0334166877534427
300,trajectory_plus_paper_environment,2015,37,13,0.35135135135135137,0.358550320279695,0.007198968928343652
300,trajectory_plus_paper_environment,2016,37,22,0.5945945945945946,0.6622146657344857,0.0676200711398911
300,trajectory_plus_paper_environment,2017,35,10,0.2857142857142857,0.610718954248366,0.3250046685340803
300,trajectory_plus_paper_environment,2018,44,35,0.7954545454545454,0.819861553586928,0.024407008132382613
300,trajectory_plus_paper_environment,2019,30,9,0.3,0.6518556859136571,0.35185568591365707
300,trajectory_plus_paper_environment,2020,36,14,0.3888888888888889,0.5747901162831753,0.18590122739428644
300,trajectory_plus_paper_environment,2021,21,4,0.19047619047619047,0.8166666666666667,0.6261904761904762
300,trajectory_plus_paper_full,2008,87,34,0.39080459770114945,0.6526215968478452,0.2618169991466957
300,trajectory_plus_paper_full,2009,56,17,0.30357142857142855,0.4834872742630151,0.17991584569158653
300,trajectory_plus_paper_full,2010,71,45,0.6338028169014085,0.8507069142066586,0.21690409730525007
300,trajectory_plus_paper_full,2011,68,29,0.4264705882352941,0.7281959665255603,0.3017253782902662
300,trajectory_plus_paper_full,2012,44,12,0.2727272727272727,0.3589304222971765,0.08620314956990377
300,trajectory_plus_paper_full,2013,39,31,0.7948717948717948,0.8148353413064765,0.019963546434681678
300,trajectory_plus_paper_full,2014,43,18,0.4186046511627907,0.49581460582165715,0.07720995465886643
300,trajectory_plus_paper_full,2015,37,13,0.35135135135135137,0.5248070398924289,0.17345568854107757
300,trajectory_plus_paper_full,2016,37,22,0.5945945945945946,0.6293887318481892,0.03479413725359459
300,trajectory_plus_paper_full,2017,35,10,0.2857142857142857,0.7539627039627039,0.46824841824841823
300,trajectory_plus_paper_full,2018,44,35,0.7954545454545454,0.8564644641782275,0.06100991872368211
300,trajectory_plus_paper_full,2019,30,9,0.3,0.620112842857941,0.320112842857941
300,trajectory_plus_paper_full,2020,36,14,0.3888888888888889,0.6236422590671383,0.23475337017824943
300,trajectory_plus_paper_full,2021,21,4,0.19047619047619047,0.6777777777777777,0.48730158730158724
1000,trajectory,2008,103,44,0.42718446601941745,0.6482543803925378,0.22106991437312035
1000,trajectory,2009,74,21,0.28378378378378377,0.3671773785104611,0.08339359472667734
1000,trajectory,2010,85,50,0.5882352941176471,0.5687039629537145,-0.019531331163932575
1000,trajectory,2011,89,26,0.29213483146067415,0.5942693091038017,0.30213447764312756
1000,trajectory,2012,66,21,0.3181818181818182,0.5643683260696639,0.24618650788784574
1000,trajectory,2013,50,40,0.8,0.7602271235156468,-0.03977287648435324
1000,trajectory,2014,54,20,0.37037037037037035,0.4218401291359248,0.05146975876555443
1000,trajectory,2015,45,15,0.3333333333333333,0.6061517415046827,0.27281840817134934
1000,trajectory,2016,46,21,0.45652173913043476,0.41689401664725,-0.039627722483184746
1000,trajectory,2017,50,14,0.28,0.2877253214968375,0.007725321496837467
1000,trajectory,2018,56,51,0.9107142857142857,0.9614573202940503,0.05074303457976459
1000,trajectory,2019,48,12,0.25,0.30866724738675955,0.05866724738675955
1000,trajectory,2020,47,16,0.3404255319148936,0.7472718567505467,0.40684632483565314
1000,trajectory,2021,25,7,0.28,1.0,0.72
1000,trajectory_plus_field_state,2008,103,44,0.42718446601941745,0.630401190396167,0.2032167243767496
1000,trajectory_plus_field_state,2009,74,21,0.28378378378378377,0.33293000984675325,0.04914622606296948
1000,trajectory_plus_field_state,2010,85,50,0.5882352941176471,0.6486888579529518,0.06045356383530476
1000,trajectory_plus_field_state,2011,89,26,0.29213483146067415,0.4303654421433031,0.13823061068262893
1000,trajectory_plus_field_state,2012,66,21,0.3181818181818182,0.5986839839998499,0.2805021658180317
1000,trajectory_plus_field_state,2013,50,40,0.8,0.730569401779748,-0.069430598220252
1000,trajectory_plus_field_state,2014,54,20,0.37037037037037035,0.40665318630026825,0.036282815929897905
1000,trajectory_plus_field_state,2015,45,15,0.3333333333333333,0.4494827946823666,0.11614946134903331
1000,trajectory_plus_field_state,2016,46,21,0.45652173913043476,0.5373259499614178,0.08080421083098305
1000,trajectory_plus_field_state,2017,50,14,0.28,0.41936034934155236,0.13936034934155234
1000,trajectory_plus_field_state,2018,56,51,0.9107142857142857,0.9707577201464107,0.06004343443212501
1000,trajectory_plus_field_state,2019,48,12,0.25,0.41267123722521026,0.16267123722521026
1000,trajectory_plus_field_state,2020,47,16,0.3404255319148936,0.612751251373939,0.27232571945904543
1000,trajectory_plus_field_state,2021,25,7,0.28,0.947845804988662,0.667845804988662
1000,trajectory_plus_full_regime,2008,103,44,0.42718446601941745,0.5857195380743296,0.15853507205491219
1000,trajectory_plus_full_regime,2009,74,21,0.28378378378378377,0.2962862938730616,0.01250251008927783
1000,trajectory_plus_full_regime,2010,85,50,0.5882352941176471,0.6843286034960798,0.09609330937843275
1000,trajectory_plus_full_regime,2011,89,26,0.29213483146067415,0.4480904498647614,0.15595561840408723
1000,trajectory_plus_full_regime,2012,66,21,0.3181818181818182,0.3902661726703396,0.07208435448852141
1000,trajectory_plus_full_regime,2013,50,40,0.8,0.7566796903025401,-0.043320309697459924
1000,trajectory_plus_full_regime,2014,54,20,0.37037037037037035,0.36749271795425503,-0.002877652416115317
1000,trajectory_plus_full_regime,2015,45,15,0.3333333333333333,0.3826429419006138,0.049309608567280505
1000,trajectory_plus_full_regime,2016,46,21,0.45652173913043476,0.5527579818899748,0.09623624275954007
1000,trajectory_plus_full_regime,2017,50,14,0.28,0.5718817470918311,0.2918817470918311
1000,trajectory_plus_full_regime,2018,56,51,0.9107142857142857,0.9749018049051611,0.0641875191908754
1000,trajectory_plus_full_regime,2019,48,12,0.25,0.4407092961111315,0.19070929611113152
1000,trajectory_plus_full_regime,2020,47,16,0.3404255319148936,0.38857025312628674,0.04814472121139313
1000,trajectory_plus_full_regime,2021,25,7,0.28,0.3382879276112359,0.05828792761123586
1000,trajectory_plus_paper_environment,2008,103,44,0.42718446601941745,0.5967346403334975,0.1695501743140801
1000,trajectory_plus_paper_environment,2009,74,21,0.28378378378378377,0.25501895973492206,-0.028764824048861715
1000,trajectory_plus_paper_environment,2010,85,50,0.5882352941176471,0.6875809508414842,0.0993456567238371
1000,trajectory_plus_paper_environment,2011,89,26,0.29213483146067415,0.5147592609761988,0.2226244295155247
1000,trajectory_plus_paper_environment,2012,66,21,0.3181818181818182,0.38319463533073794,0.06501281714891977
