evaluation_context,target,oisst_matching_variant,feature_set,model_family,model_variant,n_observations,n_positive_events,event_prevalence,precision,recall,f1,f2,pr_auc,roc_auc,false_positives,false_negatives,true_positives,true_negatives
at_risk_current_canopy_gt_0.05,decline_event_next,nearest,canopy_current_plus_trajectory_plus_environment,Logistic Regression,cost_sensitive,93,45,0.4838709677419355,0.5555555555555556,0.4444444444444444,0.49382716049382713,0.46296296296296297,0.55298739043565,0.5263888888888889,16,25,20,32
at_risk_current_canopy_gt_0.05,decline_event_next,nearest,canopy_current_plus_trajectory_plus_environment,SVM,cost_sensitive,93,45,0.4838709677419355,0.6428571428571429,0.2,0.3050847457627119,0.23195876288659795,0.482768845549016,0.4259259259259259,5,36,9,43
at_risk_current_canopy_gt_0.05,decline_event_next,nearest,canopy_current_plus_trajectory_plus_environment,Random Forest,cost_sensitive,93,45,0.4838709677419355,0.0,0.0,0.0,0.0,0.4558796976741802,0.35,0,45,0,48
at_risk_current_canopy_gt_0.05,decline_event_next,nearest,canopy_current_plus_trajectory_plus_environment,XGBoost,cost_sensitive,93,45,0.4838709677419355,0.2,0.08888888888888889,0.12307692307692308,0.1,0.41494182929603707,0.3425925925925926,16,41,4,32
at_risk_current_canopy_gt_0.05,decline_event_next,nearest,canopy_current_plus_trajectory_plus_environment,LightGBM,cost_sensitive,93,45,0.4838709677419355,0.36363636363636365,0.08888888888888889,0.14285714285714285,0.10471204188481675,0.4451179574514918,0.38055555555555554,7,41,4,41
new_decline_transition,new_decline_event_next,nearest,canopy_current_only,Logistic Regression,cost_sensitive,200,26,0.13,0.42857142857142855,0.46153846153846156,0.4444444444444444,0.45454545454545453,0.4068378667799805,0.7756410256410257,16,14,12,158
new_decline_transition,new_decline_event_next,nearest,canopy_current_only,SVM,cost_sensitive,200,26,0.13,0.0,0.0,0.0,0.0,0.4363538122364465,0.7986295313881521,0,26,0,174
new_decline_transition,new_decline_event_next,nearest,canopy_current_only,Random Forest,cost_sensitive,200,26,0.13,0.5384615384615384,0.2692307692307692,0.358974358974359,0.29914529914529914,0.34992474180467825,0.758841732979664,6,19,7,168
new_decline_transition,new_decline_event_next,nearest,canopy_current_only,XGBoost,cost_sensitive,200,26,0.13,0.3404255319148936,0.6153846153846154,0.4383561643835616,0.5298013245033113,0.44681853826977475,0.7851458885941645,31,10,16,143
new_decline_transition,new_decline_event_next,nearest,canopy_current_only,LightGBM,cost_sensitive,200,26,0.13,0.3333333333333333,0.4230769230769231,0.3728813559322034,0.40145985401459855,0.42829705095786413,0.765473032714412,22,15,11,152
new_decline_transition,new_decline_event_next,nearest,environment_only,Logistic Regression,cost_sensitive,200,26,0.13,0.0821917808219178,0.23076923076923078,0.12121212121212122,0.1694915254237288,0.09679306793870723,0.3195181255526083,67,20,6,107
new_decline_transition,new_decline_event_next,nearest,environment_only,SVM,cost_sensitive,200,26,0.13,0.0,0.0,0.0,0.0,0.12760731794011076,0.4912687886825818,15,26,0,159
new_decline_transition,new_decline_event_next,nearest,environment_only,Random Forest,cost_sensitive,200,26,0.13,0.0,0.0,0.0,0.0,0.1016502772550151,0.35775862068965514,0,26,0,174
