target,feature_set,model_family,model_variant,model,selection_rule,threshold,precision_floor_target,precision_floor_used,precision_floor_fallback_used,validation_precision,validation_recall,validation_f1,validation_f2,test_precision,test_recall,test_f1,test_f2,test_pr_auc,test_roc_auc,test_false_positives,test_false_negatives,test_true_positives,test_true_negatives,test_predicted_positive_rate
decline_event_next,canopy_current_only,Random Forest,unweighted,Random Forest (unweighted),default_0.5,0.5,,,False,0.8518518518518519,0.44660194174757284,0.5859872611464968,0.49356223175965663,0.9347826086956522,0.3208955223880597,0.4777777777777778,0.3694158075601375,0.8735653124737967,0.7618724559023067,3,91,43,63,0.23
decline_event_next,canopy_current_only,Random Forest,unweighted,Random Forest (unweighted),max_f1,0.2,,,False,0.5870967741935483,0.883495145631068,0.7054263565891473,0.8024691358024691,0.7564102564102564,0.8805970149253731,0.8137931034482758,0.8526011560693642,0.8735653124737967,0.7618724559023067,38,16,118,28,0.78
decline_event_next,canopy_current_only,Random Forest,unweighted,Random Forest (unweighted),max_f2,0.05,,,False,0.515,1.0,0.6798679867986799,0.8415032679738562,0.6717171717171717,0.9925373134328358,0.8012048192771084,0.9059945504087193,0.8735653124737967,0.7618724559023067,65,1,133,1,0.99
decline_event_next,canopy_current_only,Random Forest,unweighted,Random Forest (unweighted),recall_ge_0.70_then_max_f1,0.2,,,False,0.5870967741935483,0.883495145631068,0.7054263565891473,0.8024691358024691,0.7564102564102564,0.8805970149253731,0.8137931034482758,0.8526011560693642,0.8735653124737967,0.7618724559023067,38,16,118,28,0.78
decline_event_next,canopy_current_only,Random Forest,unweighted,Random Forest (unweighted),max_recall_precision_ge_0.65,0.35,0.65,0.65,False,0.71,0.6893203883495146,0.6995073891625616,0.693359375,0.8316831683168316,0.6268656716417911,0.7148936170212766,0.6593406593406593,0.8735653124737967,0.7618724559023067,17,50,84,49,0.505
decline_event_next,canopy_current_only,Random Forest,cost_sensitive,Random Forest (cost_sensitive),default_0.5,0.5,,,False,0.75,0.5825242718446602,0.6557377049180327,0.6097560975609756,0.8970588235294118,0.4552238805970149,0.6039603960396039,0.5049668874172185,0.8764210960825551,0.7654907281772954,7,73,61,59,0.34
decline_event_next,canopy_current_only,Random Forest,cost_sensitive,Random Forest (cost_sensitive),max_f1,0.35,,,False,0.6412213740458015,0.8155339805825242,0.717948717948718,0.7734806629834254,0.8095238095238095,0.7611940298507462,0.7846153846153846,0.770392749244713,0.8764210960825551,0.7654907281772954,24,32,102,42,0.63
decline_event_next,canopy_current_only,Random Forest,cost_sensitive,Random Forest (cost_sensitive),max_f2,0.05,,,False,0.515,1.0,0.6798679867986799,0.8415032679738562,0.67,1.0,0.8023952095808383,0.9103260869565217,0.8764210960825551,0.7654907281772954,66,0,134,0,1.0
decline_event_next,canopy_current_only,Random Forest,cost_sensitive,Random Forest (cost_sensitive),recall_ge_0.70_then_max_f1,0.35,,,False,0.6412213740458015,0.8155339805825242,0.717948717948718,0.7734806629834254,0.8095238095238095,0.7611940298507462,0.7846153846153846,0.770392749244713,0.8764210960825551,0.7654907281772954,24,32,102,42,0.63
decline_event_next,canopy_current_only,Random Forest,cost_sensitive,Random Forest (cost_sensitive),max_recall_precision_ge_0.65,0.4,0.65,0.65,False,0.65,0.7572815533980582,0.6995515695067265,0.7330827067669173,0.8303571428571429,0.6940298507462687,0.7560975609756098,0.7175925925925926,0.8764210960825551,0.7654907281772954,19,41,93,47,0.56
decline_event_next,canopy_current_only,XGBoost,unweighted,XGBoost (unweighted),default_0.5,0.5,,,False,0.9302325581395349,0.3883495145631068,0.547945205479452,0.43956043956043955,0.9512195121951219,0.291044776119403,0.44571428571428573,0.3379549393414211,0.8907807038128097,0.7894617819990953,2,95,39,64,0.205
decline_event_next,canopy_current_only,XGBoost,unweighted,XGBoost (unweighted),max_f1,0.25,,,False,0.6521739130434783,0.8737864077669902,0.7468879668049793,0.8181818181818182,0.7785714285714286,0.8134328358208955,0.7956204379562044,0.8062130177514792,0.8907807038128097,0.7894617819990953,31,25,109,35,0.7
decline_event_next,canopy_current_only,XGBoost,unweighted,XGBoost (unweighted),max_f2,0.05,,,False,0.515,1.0,0.6798679867986799,0.8415032679738562,0.67,1.0,0.8023952095808383,0.9103260869565217,0.8907807038128097,0.7894617819990953,66,0,134,0,1.0
decline_event_next,canopy_current_only,XGBoost,unweighted,XGBoost (unweighted),recall_ge_0.70_then_max_f1,0.25,,,False,0.6521739130434783,0.8737864077669902,0.7468879668049793,0.8181818181818182,0.7785714285714286,0.8134328358208955,0.7956204379562044,0.8062130177514792,0.8907807038128097,0.7894617819990953,31,25,109,35,0.7
decline_event_next,canopy_current_only,XGBoost,unweighted,XGBoost (unweighted),max_recall_precision_ge_0.65,0.25,0.65,0.65,False,0.6521739130434783,0.8737864077669902,0.7468879668049793,0.8181818181818182,0.7785714285714286,0.8134328358208955,0.7956204379562044,0.8062130177514792,0.8907807038128097,0.7894617819990953,31,25,109,35,0.7
decline_event_next,canopy_current_only,XGBoost,cost_sensitive,XGBoost (cost_sensitive),default_0.5,0.5,,,False,0.7551020408163265,0.7184466019417476,0.736318407960199,0.7254901960784313,0.8529411764705882,0.6492537313432836,0.7372881355932204,0.6818181818181818,0.8854584122618577,0.7834690185436454,15,47,87,51,0.51
decline_event_next,canopy_current_only,XGBoost,cost_sensitive,XGBoost (cost_sensitive),max_f1,0.45,,,False,0.7016129032258065,0.8446601941747572,0.7665198237885462,0.8115671641791045,0.8153846153846154,0.7910447761194029,0.803030303030303,0.7957957957957958,0.8854584122618577,0.7834690185436454,24,28,106,42,0.65
decline_event_next,canopy_current_only,XGBoost,cost_sensitive,XGBoost (cost_sensitive),max_f2,0.05,,,False,0.515,1.0,0.6798679867986799,0.8415032679738562,0.67,1.0,0.8023952095808383,0.9103260869565217,0.8854584122618577,0.7834690185436454,66,0,134,0,1.0
