model,feature_set,selection_rule,selected_threshold,precision_floor_target,precision_floor_used,precision_floor_fallback_used,validation_precision,validation_recall,validation_f1,validation_f2,validation_false_positives,validation_false_negatives,test_precision,test_recall,test_f1,test_f2,test_pr_auc,test_roc_auc,test_false_positives,test_false_negatives,test_true_positives,test_true_negatives,test_predicted_positive_rate
SVM,oisst_only,recall_ge_0.70_then_max_f1,0.25,,,False,0.5439560439560439,0.9611650485436893,0.6947368421052632,0.8333333333333334,83,4,0.6486486486486487,0.5373134328358209,0.5877551020408164,0.5564142194744977,0.7412263285153959,0.5102894617819991,39,62,72,27,0.555
SVM,oisst_only,max_recall_precision_ge_0.65,0.4,0.65,0.65,False,0.7323943661971831,0.5048543689320388,0.5977011494252874,0.5383022774327122,19,51,0.8285714285714286,0.21641791044776118,0.3431952662721893,0.2539404553415061,0.7412263285153959,0.5102894617819991,6,105,29,60,0.175
Random Forest,oisst_only,default_0.5,0.5,,,False,0.6219512195121951,0.49514563106796117,0.5513513513513514,0.5161943319838057,31,52,0.7090909090909091,0.291044776119403,0.4126984126984127,0.3299492385786802,0.7043859037607086,0.5076888285843509,16,95,39,50,0.275
Random Forest,oisst_only,max_f1,0.3,,,False,0.5368421052631579,0.9902912621359223,0.6962457337883959,0.8471760797342193,88,1,0.6666666666666666,0.6417910447761194,0.6539923954372624,0.6466165413533834,0.7043859037607086,0.5076888285843509,43,48,86,23,0.645
Random Forest,oisst_only,max_f2,0.3,,,False,0.5368421052631579,0.9902912621359223,0.6962457337883959,0.8471760797342193,88,1,0.6666666666666666,0.6417910447761194,0.6539923954372624,0.6466165413533834,0.7043859037607086,0.5076888285843509,43,48,86,23,0.645
Random Forest,oisst_only,recall_ge_0.70_then_max_f1,0.3,,,False,0.5368421052631579,0.9902912621359223,0.6962457337883959,0.8471760797342193,88,1,0.6666666666666666,0.6417910447761194,0.6539923954372624,0.6466165413533834,0.7043859037607086,0.5076888285843509,43,48,86,23,0.645
Random Forest,oisst_only,max_recall_precision_ge_0.65,0.55,0.65,0.65,False,0.7121212121212122,0.4563106796116505,0.5562130177514792,0.4916317991631799,19,56,0.8048780487804879,0.2462686567164179,0.37714285714285717,0.28596187175043325,0.7043859037607086,0.5076888285843509,8,101,33,58,0.205
XGBoost,oisst_only,default_0.5,0.5,,,False,0.5769230769230769,0.7281553398058253,0.6437768240343348,0.6918819188191881,55,28,0.7228915662650602,0.44776119402985076,0.5529953917050692,0.48465266558966075,0.7182896444345532,0.5091587516960651,23,74,60,43,0.415
XGBoost,oisst_only,max_f1,0.4,,,False,0.5470588235294118,0.9029126213592233,0.6813186813186813,0.7989690721649485,77,10,0.6486486486486487,0.5373134328358209,0.5877551020408164,0.5564142194744977,0.7182896444345532,0.5091587516960651,39,62,72,27,0.555
XGBoost,oisst_only,max_f2,0.05,,,False,0.515,1.0,0.6798679867986799,0.8415032679738562,97,0,0.6632653061224489,0.9701492537313433,0.7878787878787878,0.8879781420765027,0.7182896444345532,0.5091587516960651,66,4,130,0,0.98
XGBoost,oisst_only,recall_ge_0.70_then_max_f1,0.4,,,False,0.5470588235294118,0.9029126213592233,0.6813186813186813,0.7989690721649485,77,10,0.6486486486486487,0.5373134328358209,0.5877551020408164,0.5564142194744977,0.7182896444345532,0.5091587516960651,39,62,72,27,0.555
XGBoost,oisst_only,max_recall_precision_ge_0.65,0.65,0.65,0.65,False,0.6621621621621622,0.47572815533980584,0.5536723163841808,0.5041152263374485,25,54,0.7058823529411765,0.26865671641791045,0.3891891891891892,0.30664395229982966,0.7182896444345532,0.5091587516960651,15,98,36,51,0.255
LightGBM,oisst_only,default_0.5,0.5,,,False,0.5047619047619047,0.5145631067961165,0.5096153846153846,0.5125725338491296,52,50,0.6825396825396826,0.3208955223880597,0.4365482233502538,0.3589315525876461,0.6735824616294275,0.4562415196743555,20,91,43,46,0.315
LightGBM,oisst_only,max_f1,0.2,,,False,0.5513513513513514,0.9902912621359223,0.7083333333333334,0.8542713567839196,83,1,0.6223776223776224,0.664179104477612,0.6425992779783394,0.6553755522827688,0.6735824616294275,0.4562415196743555,54,45,89,12,0.715
LightGBM,oisst_only,max_f2,0.2,,,False,0.5513513513513514,0.9902912621359223,0.7083333333333334,0.8542713567839196,83,1,0.6223776223776224,0.664179104477612,0.6425992779783394,0.6553755522827688,0.6735824616294275,0.4562415196743555,54,45,89,12,0.715
LightGBM,oisst_only,recall_ge_0.70_then_max_f1,0.2,,,False,0.5513513513513514,0.9902912621359223,0.7083333333333334,0.8542713567839196,83,1,0.6223776223776224,0.664179104477612,0.6425992779783394,0.6553755522827688,0.6735824616294275,0.4562415196743555,54,45,89,12,0.715
LightGBM,oisst_only,max_recall_precision_ge_0.65,0.85,0.65,0.65,False,0.8235294117647058,0.13592233009708737,0.23333333333333334,0.16317016317016317,3,89,1.0,0.022388059701492536,0.043795620437956206,0.027829313543599257,0.6735824616294275,0.4562415196743555,0,131,3,66,0.015
Logistic Regression,canopy_noaa,default_0.5,0.5,,,False,0.5580110497237569,0.9805825242718447,0.7112676056338029,0.851602023608769,80,2,0.7636363636363637,0.6268656716417911,0.6885245901639344,0.6501547987616099,0.7823845480849092,0.6296924468566261,26,50,84,40,0.55
Logistic Regression,canopy_noaa,max_f1,0.5,,,False,0.5580110497237569,0.9805825242718447,0.7112676056338029,0.851602023608769,80,2,0.7636363636363637,0.6268656716417911,0.6885245901639344,0.6501547987616099,0.7823845480849092,0.6296924468566261,26,50,84,40,0.55
Logistic Regression,canopy_noaa,max_f2,0.5,,,False,0.5580110497237569,0.9805825242718447,0.7112676056338029,0.851602023608769,80,2,0.7636363636363637,0.6268656716417911,0.6885245901639344,0.6501547987616099,0.7823845480849092,0.6296924468566261,26,50,84,40,0.55
Logistic Regression,canopy_noaa,recall_ge_0.70_then_max_f1,0.5,,,False,0.5580110497237569,0.9805825242718447,0.7112676056338029,0.851602023608769,80,2,0.7636363636363637,0.6268656716417911,0.6885245901639344,0.6501547987616099,0.7823845480849092,0.6296924468566261,26,50,84,40,0.55
Logistic Regression,canopy_noaa,max_recall_precision_ge_0.65,0.65,0.65,0.65,False,0.6829268292682927,0.5436893203883495,0.6054054054054054,0.5668016194331984,26,47,0.7384615384615385,0.3582089552238806,0.4824120603015075,0.39933444259567386,0.7823845480849092,0.6296924468566261,17,86,48,49,0.325
SVM,canopy_noaa,default_0.5,0.5,,,False,0.5697674418604651,0.47572815533980584,0.5185185185185185,0.4919678714859438,37,54,0.868421052631579,0.2462686567164179,0.38372093023255816,0.2874564459930314,0.8459373329066522,0.714947987336047,5,101,33,61,0.19
