threshold,precision,recall,f1,f2,false_positives,false_negatives,true_positives,true_negatives,predicted_positive_rate,target,feature_set,model_family,model_variant,model,selection_split
0.6,0.9047619047619048,0.36893203883495146,0.5241379310344828,0.4185022026431718,4,65,38,93,0.21,decline_event_next,canopy_current_only,Random Forest,unweighted,Random Forest (unweighted),validation
0.65,0.9333333333333333,0.27184466019417475,0.42105263157894735,0.3167420814479638,2,75,28,95,0.15,decline_event_next,canopy_current_only,Random Forest,unweighted,Random Forest (unweighted),validation
0.7,0.9090909090909091,0.1941747572815534,0.32,0.2304147465437788,2,83,20,95,0.11,decline_event_next,canopy_current_only,Random Forest,unweighted,Random Forest (unweighted),validation
0.75,0.9,0.17475728155339806,0.2926829268292683,0.20833333333333334,2,85,18,95,0.1,decline_event_next,canopy_current_only,Random Forest,unweighted,Random Forest (unweighted),validation
0.8,0.9285714285714286,0.1262135922330097,0.2222222222222222,0.15258215962441316,1,90,13,96,0.07,decline_event_next,canopy_current_only,Random Forest,unweighted,Random Forest (unweighted),validation
0.85,0.9285714285714286,0.1262135922330097,0.2222222222222222,0.15258215962441316,1,90,13,96,0.07,decline_event_next,canopy_current_only,Random Forest,unweighted,Random Forest (unweighted),validation
0.9,1.0,0.11650485436893204,0.20869565217391303,0.14150943396226415,0,91,12,97,0.06,decline_event_next,canopy_current_only,Random Forest,unweighted,Random Forest (unweighted),validation
0.95,0.0,0.0,0.0,0.0,0,103,0,97,0.0,decline_event_next,canopy_current_only,Random Forest,unweighted,Random Forest (unweighted),validation
0.05,0.515,1.0,0.6798679867986799,0.8415032679738562,97,0,103,0,1.0,decline_event_next,canopy_current_only,Random Forest,cost_sensitive,Random Forest (cost_sensitive),validation
0.1,0.5181347150259067,0.970873786407767,0.6756756756756757,0.8264462809917356,93,3,100,4,0.965,decline_event_next,canopy_current_only,Random Forest,cost_sensitive,Random Forest (cost_sensitive),validation
0.15,0.5243243243243243,0.941747572815534,0.6736111111111112,0.8123953098827471,88,6,97,9,0.925,decline_event_next,canopy_current_only,Random Forest,cost_sensitive,Random Forest (cost_sensitive),validation
0.2,0.5555555555555556,0.9223300970873787,0.6934306569343066,0.8147512864493996,76,8,95,21,0.855,decline_event_next,canopy_current_only,Random Forest,cost_sensitive,Random Forest (cost_sensitive),validation
0.25,0.5786163522012578,0.8932038834951457,0.7022900763358778,0.8056042031523643,67,11,92,30,0.795,decline_event_next,canopy_current_only,Random Forest,cost_sensitive,Random Forest (cost_sensitive),validation
0.3,0.5933333333333334,0.8640776699029126,0.7035573122529645,0.791814946619217,61,14,89,36,0.75,decline_event_next,canopy_current_only,Random Forest,cost_sensitive,Random Forest (cost_sensitive),validation
0.35,0.6412213740458015,0.8155339805825242,0.717948717948718,0.7734806629834254,47,19,84,50,0.655,decline_event_next,canopy_current_only,Random Forest,cost_sensitive,Random Forest (cost_sensitive),validation
0.4,0.65,0.7572815533980582,0.6995515695067265,0.7330827067669173,42,25,78,55,0.6,decline_event_next,canopy_current_only,Random Forest,cost_sensitive,Random Forest (cost_sensitive),validation
0.45,0.7083333333333334,0.6601941747572816,0.6834170854271356,0.6692913385826772,28,35,68,69,0.48,decline_event_next,canopy_current_only,Random Forest,cost_sensitive,Random Forest (cost_sensitive),validation
0.5,0.75,0.5825242718446602,0.6557377049180327,0.6097560975609756,20,43,60,77,0.4,decline_event_next,canopy_current_only,Random Forest,cost_sensitive,Random Forest (cost_sensitive),validation
0.55,0.828125,0.5145631067961165,0.6347305389221557,0.5567226890756303,11,50,53,86,0.32,decline_event_next,canopy_current_only,Random Forest,cost_sensitive,Random Forest (cost_sensitive),validation
0.6,0.8518518518518519,0.44660194174757284,0.5859872611464968,0.49356223175965663,8,57,46,89,0.27,decline_event_next,canopy_current_only,Random Forest,cost_sensitive,Random Forest (cost_sensitive),validation
0.65,0.9166666666666666,0.42718446601941745,0.5827814569536424,0.4782608695652174,4,59,44,93,0.24,decline_event_next,canopy_current_only,Random Forest,cost_sensitive,Random Forest (cost_sensitive),validation
0.7,0.926829268292683,0.36893203883495146,0.5277777777777778,0.4194260485651214,3,65,38,94,0.205,decline_event_next,canopy_current_only,Random Forest,cost_sensitive,Random Forest (cost_sensitive),validation
0.75,0.8928571428571429,0.24271844660194175,0.3816793893129771,0.2840909090909091,3,78,25,94,0.14,decline_event_next,canopy_current_only,Random Forest,cost_sensitive,Random Forest (cost_sensitive),validation
0.8,0.9,0.17475728155339806,0.2926829268292683,0.20833333333333334,2,85,18,95,0.1,decline_event_next,canopy_current_only,Random Forest,cost_sensitive,Random Forest (cost_sensitive),validation
0.85,0.9285714285714286,0.1262135922330097,0.2222222222222222,0.15258215962441316,1,90,13,96,0.07,decline_event_next,canopy_current_only,Random Forest,cost_sensitive,Random Forest (cost_sensitive),validation
0.9,0.9285714285714286,0.1262135922330097,0.2222222222222222,0.15258215962441316,1,90,13,96,0.07,decline_event_next,canopy_current_only,Random Forest,cost_sensitive,Random Forest (cost_sensitive),validation
0.95,1.0,0.038834951456310676,0.07476635514018691,0.04807692307692308,0,99,4,97,0.02,decline_event_next,canopy_current_only,Random Forest,cost_sensitive,Random Forest (cost_sensitive),validation
0.05,0.515,1.0,0.6798679867986799,0.8415032679738562,97,0,103,0,1.0,decline_event_next,canopy_current_only,XGBoost,unweighted,XGBoost (unweighted),validation
0.1,0.5125628140703518,0.9902912621359223,0.6754966887417219,0.8346972176759411,97,1,102,0,0.995,decline_event_next,canopy_current_only,XGBoost,unweighted,XGBoost (unweighted),validation
0.15,0.520618556701031,0.9805825242718447,0.6801346801346801,0.8333333333333334,93,2,101,4,0.97,decline_event_next,canopy_current_only,XGBoost,unweighted,XGBoost (unweighted),validation
