target,feature_set,model_family,f1_cost_sensitive,f1_unweighted,f2_cost_sensitive,f2_unweighted,false_negatives_cost_sensitive,false_negatives_unweighted,false_positives_cost_sensitive,false_positives_unweighted,pr_auc_cost_sensitive,pr_auc_unweighted,precision_cost_sensitive,precision_unweighted,recall_cost_sensitive,recall_unweighted,roc_auc_cost_sensitive,roc_auc_unweighted,delta_precision_cost_sensitive_minus_unweighted,delta_recall_cost_sensitive_minus_unweighted,delta_f1_cost_sensitive_minus_unweighted,delta_f2_cost_sensitive_minus_unweighted,delta_pr_auc_cost_sensitive_minus_unweighted,delta_roc_auc_cost_sensitive_minus_unweighted,delta_false_negatives_cost_sensitive_minus_unweighted,delta_false_positives_cost_sensitive_minus_unweighted
decline_event_next,canopy_plus_environment,Logistic Regression,0.6891385767790262,0.5893719806763285,0.6875934230194319,0.5008210180623974,42,73,41,12,0.8017616395445619,0.8298957636699715,0.6917293233082706,0.8356164383561644,0.6865671641791045,0.4552238805970149,0.6287878787878787,0.6526458616010854,-0.14388711504789375,0.23134328358208955,0.09976659610269778,0.1867724049570345,-0.02813412412540961,-0.023857982813206724,-31,29
decline_event_next,canopy_plus_environment,Random Forest,0.08391608391608392,0.26582278481012656,0.05504587155963303,0.1875,128,113,3,3,0.7818685740011313,0.8150800993587355,0.6666666666666666,0.875,0.04477611940298507,0.15671641791044777,0.6097919493441881,0.6477838082315693,-0.20833333333333337,-0.1119402985074627,-0.18190670089404265,-0.13245412844036697,-0.03321152535760419,-0.037991858887381214,15,0
decline_event_next,canopy_plus_environment,SVM,0.22641509433962265,0.4482758620689655,0.16042780748663102,0.3385416666666667,116,95,7,1,0.778701499395152,0.8212328506295751,0.72,0.975,0.13432835820895522,0.291044776119403,0.6472184531886024,0.6538896426956129,-0.255,-0.15671641791044777,-0.22186076772934288,-0.17811385918003567,-0.04253135123442309,-0.006671189507010511,21,6
decline_event_next,canopy_plus_environment,XGBoost,0.5154639175257731,0.38202247191011235,0.41946308724832215,0.29310344827586204,84,100,10,10,0.7954220052258505,0.783848590529574,0.8333333333333334,0.7727272727272727,0.373134328358209,0.2537313432835821,0.7039800995024876,0.6962912709181366,0.06060606060606066,0.11940298507462688,0.1334414456156608,0.1263596389724601,0.011573414696276485,0.0076888285843510484,-16,0
decline_event_next,canopy_plus_trajectory_plus_environment,LightGBM,0.23170731707317074,0.16666666666666666,0.16784452296819788,0.11648745519713262,115,121,11,9,0.7033972972045279,0.6940254703418594,0.6333333333333333,0.5909090909090909,0.1417910447761194,0.09701492537313433,0.5616236996834012,0.5633197648123021,0.042424242424242364,0.044776119402985065,0.06504065040650409,0.05135706777106526,0.009371826862668575,-0.0016960651289008588,-6,2
decline_event_next,canopy_plus_trajectory_plus_environment,Logistic Regression,0.6536964980544747,0.47715736040609136,0.637329286798179,0.39232053422370616,50,87,39,16,0.7213069687326359,0.7333513789818996,0.6829268292682927,0.746031746031746,0.6268656716417911,0.35074626865671643,0.5511080958842154,0.5581184984170059,-0.06310491676345331,0.27611940298507465,0.17653913764838336,0.24500875257447285,-0.012044410249263726,-0.007010402532790505,-37,23
decline_event_next,canopy_plus_trajectory_plus_environment,Random Forest,0.08450704225352113,0.0979020979020979,0.05514705882352941,0.06422018348623854,128,127,2,2,0.6807466013626274,0.7489150414043936,0.75,0.7777777777777778,0.04477611940298507,0.05223880597014925,0.5254409769335142,0.6039122568973315,-0.02777777777777779,-0.00746268656716418,-0.013395055648576779,-0.009073124662709126,-0.06816844004176614,-0.07847127996381731,1,0
decline_event_next,canopy_plus_trajectory_plus_environment,SVM,0.24358974358974358,0.3333333333333333,0.17025089605734767,0.2393617021276596,115,107,3,1,0.7996351905673693,0.8034423030308788,0.8636363636363636,0.9642857142857143,0.1417910447761194,0.20149253731343283,0.6764473089099954,0.6429217548620534,-0.10064935064935066,-0.05970149253731344,-0.08974358974358973,-0.06911080607031192,-0.00380711246350951,0.033525554047942,8,2
decline_event_next,canopy_plus_trajectory_plus_environment,XGBoost,0.455026455026455,0.2787878787878788,0.3637901861252115,0.20282186948853614,91,111,12,8,0.7498325665692843,0.7603519063080435,0.7818181818181819,0.7419354838709677,0.3208955223880597,0.17164179104477612,0.6534373586612392,0.6483491632745364,0.03988269794721411,0.14925373134328357,0.1762385762385762,0.16096831663667538,-0.010519339738759181,0.0050881953867027985,-20,4
decline_event_next,canopy_trajectory_only,LightGBM,0.4057971014492754,0.2988505747126437,0.3448275862068966,0.22569444444444445,92,108,31,14,0.6123267349869121,0.6288653998654046,0.5753424657534246,0.65,0.31343283582089554,0.19402985074626866,0.39529624604251473,0.41576209859791946,-0.0746575342465754,0.11940298507462688,0.10694652673663169,0.11913314176245213,-0.016538664878492426,-0.02046585255540473,-16,17
